# t = 3.38671e-05
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
3.0488133263451700e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.0976266526903400e-04 4.4835485155584779e-04 1 2.6820082944764658e+03 3.1021132053412597e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2068123867073632e+02 2.4105110992037456e+02 2.5926640392672606e+01 1.3351848917932818e+02 -6.2959119287988145e+01 0.0000000000000000e+00 4.1487058551575747e+03 4.1487058551575747e+03 4.2504216975080332e-14
9.1478235611952368e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1003938170097946e-04 4.4199518179621435e-04 1 2.7318624331226965e+03 3.1597764057697937e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2363341979019560e+02 2.4427741551708414e+02 2.5323860864294460e+01 1.2492345255366939e+02 -6.8081994979802886e+01 0.0000000000000000e+00 3.9487167176142775e+03 3.9487167176142775e+03 -4.4895910798459742e-16
1.5248267565311070e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1004941912218714e-04 4.2586666220755214e-04 1 2.7876996384303548e+03 3.2243598495611370e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2702049790842108e+02 2.4268793759865028e+02 2.5125387212895522e+01 1.2785447043353719e+02 -7.4222352994905464e+01 0.0000000000000000e+00 4.0509467843473831e+03 4.0509467843473831e+03 1.2864594413239477e-14
2.1347197051944959e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.0973647820459034e-04 4.1268266642479425e-04 1 2.8366168044836245e+03 3.2809393117105408e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3024170044447015e+02 2.4165868287004909e+02 2.3960880924379385e+01 1.1616348088980621e+02 -7.9404971312690222e+01 0.0000000000000000e+00 3.8083740757490004e+03 3.8083740757490004e+03 6.9006652788263022e-14
2.7449090492957786e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1064220999797539e-04 4.0163712223687231e-04 1 2.8679094597699682e+03 3.3171335917185039e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3283889410451110e+02 2.3965524951882082e+02 2.1958899117078712e+01 9.1744923619043092e+01 -8.2535167051383823e+01 0.0000000000000000e+00 3.2791534335067463e+03 3.2791534335067463e+03 6.3496300465980507e-14
3.3568870480643626e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1331378753919259e-04 3.8846985701460225e-04 1 2.8651738714132680e+03 3.3139695057672509e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3301536038436143e+02 2.3170007082352095e+02 1.9090021439551865e+01 5.6745444191022116e+01 -8.2088248442552484e+01 0.0000000000000000e+00 1.3368000184747668e+03 1.3368000184747668e+03 -3.2469775488279091e-14
3.9720574294536144e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1702697523931000e-04 3.8964403965450155e-04 1 3.0422796217280656e+03 3.5188167793289642e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.4443216710739011e+02 2.5522573475556410e+02 3.7782035366641836e+01 3.6247738342389908e+02 -5.0073910864515980e+01 0.0000000000000000e+00 3.6011473221477531e+03 3.6011473221477531e+03 5.1254537608795703e-15
4.5914129795306784e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.2168412491481976e-04 3.9007484502905879e-04 1 3.1649856974497666e+03 3.6607433120156185e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5249170719238776e+02 2.7203337738510953e+02 3.4947489331604572e+01 2.9165021130248357e+02 -7.1437746719565112e+01 0.0000000000000000e+00 2.8158522972048008e+03 2.8158522972048008e+03 1.1888979343398664e-15
5.2155515991520150e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.2659311432785355e-04 3.8800066287864726e-04 1 3.2425575108102294e+03 3.7504658334124932e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5894623732952374e+02 2.8229497870867414e+02 3.1802630859239617e+01 2.3202004409401016e+02 -7.9662195944711840e+01 0.0000000000000000e+00 2.0591966578394313e+03 2.0591966578394313e+03 -1.0949434465657180e-14
5.8446382254221932e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.3158013821250185e-04 3.8408483456943746e-04 1 3.2758118166724648e+03 3.7889290333817667e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.6402106394570444e+02 2.8630320672587601e+02 2.8541145439485067e+01 1.8239833310435353e+02 -8.1015717806853829e+01 0.0000000000000000e+00 1.5623088148580939e+03 1.5623088148580939e+03 2.3677622522210314e-14
