# t = 2.27627e-05
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
6.2745098039215699e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277141e-04 1 2.6714610880217801e+03 3.0899139036128044e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2022559259829006e+02 4.7733480644239211e+02 4.4891501869096821e+01 1.0943597786029845e+02 -2.4287474531755581e+01 0.0000000000000000e+00 3.0781185131945590e+03 3.0781185131945590e+03 -4.0690102094118823e-15
1.8823529411764709e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277152e-04 1 2.7187804588248791e+03 3.1446452947643685e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2302613240528188e+02 4.9003828378969473e+02 4.6860604866186186e+01 1.1719572826646451e+02 -2.5895288775598484e+01 0.0000000000000000e+00 3.0969526925869973e+03 3.0969526925869973e+03 -3.2724926451607071e-15
3.1372549019607846e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843129e-03 8.9261590267277131e-04 1 2.7679550404075389e+03 3.2015224935444252e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2596855539051643e+02 5.0344606679207902e+02 4.9022353456601763e+01 1.2600641292134108e+02 -2.7713416931898141e+01 0.0000000000000000e+00 3.0589264815268180e+03 3.0589264815268180e+03 -3.7629171150621157e-99
4.3921568627450979e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277174e-04 1 2.8178010012537784e+03 3.2591762352172218e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2906780771878954e+02 5.1738511472108166e+02 5.1357497817087086e+01 1.3588343615264478e+02 -2.9727621856732416e+01 0.0000000000000000e+00 2.9836483978741448e+03 2.9836483978741448e+03 -5.0134299465182905e-15
5.6470588235294130e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843151e-03 8.9261590267277272e-04 1 2.8687263762867187e+03 3.3180784685555714e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3234509637909241e+02 5.3198160405828605e+02 5.3886355938532787e+01 1.4697912008407030e+02 -3.1963240923818518e+01 0.0000000000000000e+00 2.8665057562860929e+03 2.8665057562860929e+03 -3.1706960685543434e-91
6.9019607843137272e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843133e-03 8.9261590267277131e-04 1 2.9206821727457655e+03 3.3781725266617907e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.3582232332215494e+02 5.4728314674689329e+02 5.6617216385515178e+01 1.5941562623443247e+02 -3.4435456011731262e+01 0.0000000000000000e+00 2.6944829899717888e+03 2.6944829899717888e+03 6.3784916110806098e-15
8.1568627450980397e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.9261590267277131e-04 1 2.9735078443221964e+03 3.4392727155447840e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3952218001803055e+02 5.6332036512383570e+02 5.9553305388330216e+01 1.7330227188218450e+02 -3.7156830674693801e+01 0.0000000000000000e+00 2.4470038751103084e+03 2.4470038751103084e+03 -8.3883754776368300e-15
9.4117647058823521e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277131e-04 1 3.0276705734919806e+03 3.5019193962955261e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4347829117275853e+02 5.8026466646260860e+02 6.2708275879683612e+01 1.8877919244875179e+02 -4.0152885073399688e+01 0.0000000000000000e+00 2.0981175138347289e+03 2.0981175138347289e+03 -1.3469649659904707e-14
1.0666666666666665e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843107e-03 8.9261590267277033e-04 1 3.0835201394576115e+03 3.5665171368958699e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4772492531332114e+02 5.9827495752273535e+02 6.6091757857963941e+01 2.0597747379884407e+02 -4.3439155596488675e+01 0.0000000000000000e+00 1.6250388315097960e+03 1.6250388315097960e+03 1.6662896036791795e-14
1.1921568627450981e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.9261590267277131e-04 1 3.1414286892751652e+03 3.6334963768412339e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5229853864424268e+02 6.1752743970755807e+02 6.9712377877052276e+01 2.2502497772368514e+02 -4.7027796592834150e+01 0.0000000000000000e+00 9.9209459917901438e+02 9.9209459917901438e+02 -1.7050103010627459e-15
1.3176470588235295e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9261590267276935e-04 1 3.2018050301993712e+03 3.7033299582126616e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.5723780942194003e+02 6.3822015191996627e+02 7.3578189636570457e+01 2.4604549725173101e+02 -5.0926476415467086e+01 0.0000000000000000e+00 1.5494446053951538e+02 1.5494446053951538e+02 -1.1438897692231020e-14
1.4431372549019609e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843211e-03 8.9261590267277510e-04 1 3.2650594898771001e+03 3.7764924816348008e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6258298432572906e+02 6.6056678218819502e+02 7.7696396693551222e+01 2.6915623376696226e+02 -5.5139960667190003e+01 0.0000000000000000e+00 -9.4115450223304856e+02 -9.4115450223304856e+02 -1.4957804216789964e-67
1.5686274509803925e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9261590267277131e-04 1 3.3315946691257600e+03 3.8534496105863000e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6837554225878358e+02 6.8479591258490018e+02 8.2074033248706201e+01 2.9447113521961569e+02 -5.9669034553609634e+01 0.0000000000000000e+00 -2.3634581496728629e+03 -2.3634581496728629e+03 1.0797715905269438e-14
1.6941176470588234e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9261590267276751e-04 1 3.4017960098523777e+03 3.9346471618948477e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.7465795684741568e+02 7.1115037048366116e+02 8.6718655897754203e+01 3.2210596489081348e+02 -6.4507772307028077e+01 0.0000000000000000e+00 -4.1944808675505637e+03 -4.1944808675505637e+03 7.7472182376984089e-14
1.8196078431372550e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843229e-03 8.9261590267277694e-04 1 3.4760353845736463e+03 4.0205152575131277e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.8147330237294676e+02 7.3988896571065357e+02 9.1637497685643865e+01 3.5216997354515217e+02 -6.9647112335923040e+01 0.0000000000000000e+00 -6.5359941796990324e+03 -6.5359941796990324e+03 1.1276853683655967e-13
1.9450980392156866e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9218289153094980e-04 1 3.5553577840940929e+03 4.1122625737084216e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.8891318193614291e+02 7.7115816055934806e+02 9.6886926212677167e+01 3.8546678354302384e+02 -7.5160009164193440e+01 0.0000000000000000e+00 -9.5381451458293886e+03 -9.5381451458293886e+03 1.9698349701077790e-14
2.0705882352941175e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9070400736845185e-04 1 3.6414241102495344e+03 4.2118101729652385e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.9712619582896963e+02 8.0516854113378963e+02 1.0255889591129184e+02 4.2337128945457005e+02 -8.1164157313306049e+01 0.0000000000000000e+00 -1.3438201280998008e+04 -1.3438201280998008e+04 8.2719950169061358e-14
2.1960784313725487e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.8922266364725657e-04 1 3.7336929204045041e+03 4.3185318020565196e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 4.0609897822941986e+02 8.4281956575956963e+02 1.0855501604522848e+02 4.6444174566251507e+02 -8.7414505770649129e+01 0.0000000000000000e+00 -1.8437305612408938e+04 -1.8437305612408938e+04 -5.9690632158027411e-47
2.3215686274509803e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.8773884805476888e-04 1 3.8320998850426095e+03 4.4323530550071967e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 4.1587576625582477e+02 8.8438069304181397e+02 1.1485465372273721e+02 5.0859654050781558e+02 -9.3823786737110908e+01 0.0000000000000000e+00 -2.4792423614947227e+04 -2.4792423614947227e+04 -2.2447926598899500e-14
2.4470588235294119e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.8625254817535171e-04 1 3.9364204797450739e+03 4.5530142383010903e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 4.2649016186911712e+02 9.3008275039290277e+02 1.2142684343221126e+02 5.5565379644125289e+02 -1.0027408256071820e+02 0.0000000000000000e+00 -3.2820194250993816e+04 -3.2820194250993816e+04 1.3701418294490290e-13
2.5725490196078435e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.8476375148906087e-04 1 4.0433556606897341e+03 4.6766995518801598e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 4.3794261220626231e+02 9.7935481560263258e+02 1.2812365378651896e+02 6.0476231393354487e+02 -1.0646570904061782e+02 0.0000000000000000e+00 -4.2852524193762874e+04 -4.2852524193762874e+04 1.7592143431935521e-38
2.6980392156862744e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.8327244537045096e-04 1 4.1483684232587584e+03 4.7981613229588077e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 4.5021264705255373e+02 1.0312009058267838e+03 1.3474026405662062e+02 6.5463681662894692e+02 -1.1211940718866953e+02 0.0000000000000000e+00 -5.5213965822187536e+04 -5.5213965822187536e+04 6.9921692484828436e-36
2.8235294117647053e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.8177861708729863e-04 1 4.2472869459697749e+03 4.9125742635103560e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 4.6326132737389128e+02 1.0845530651025183e+03 1.4106499304432455e+02 7.0377885306926055e+02 -1.1701916598721068e+02 0.0000000000000000e+00 -7.0204208781087873e+04 -7.0204208781087873e+04 1.9334295824381263e-33
2.9490196078431369e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.8028225379936035e-04 1 4.3370493210243285e+03 5.0163968540567733e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 4.7703357201679069e+02 1.1384628015336250e+03 1.4687895437547593e+02 7.5034224223038689e+02 -1.2096864634804896e+02 0.0000000000000000e+00 -8.8045117274962467e+04 -8.8045117274962467e+04 -3.0884397105152004e-14
