# t = 0.000448699
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
6.2745098039215699e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277141e-04 1 2.6714615681716382e+03 3.0899144589724634e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2022560125174215e+02 4.7733490513424886e+02 4.4891510763081797e+01 1.0943600046183313e+02 -2.4287484712938213e+01 0.0000000000000000e+00 3.0781118167720115e+03 3.0781118167720115e+03 2.6490870173138497e-15
1.8823529411764709e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277152e-04 1 2.7187862998287255e+03 3.1446520506924543e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2302638926879564e+02 4.9003972625246456e+02 4.6860636719553213e+01 1.1719562946685056e+02 -2.5895297060805724e+01 0.0000000000000000e+00 3.0969085527570996e+03 3.0969085527570996e+03 1.8753176417122063e-14
3.1372549019607846e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843129e-03 8.9261590267277131e-04 1 2.7679607343345087e+03 3.2015290793577802e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2596867267008781e+02 5.0344728355913952e+02 4.9022451724676905e+01 1.2600665013666800e+02 -2.7713510823973028e+01 0.0000000000000000e+00 3.0589007624309183e+03 3.0589007624309183e+03 -2.1411301611854117e-51
4.3921568627450979e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277174e-04 1 2.8178048631917277e+03 3.2591807020821213e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2906780979555100e+02 5.1738582708864010e+02 5.1357611341680354e+01 1.3588384686060121e+02 -2.9727729869299150e+01 0.0000000000000000e+00 2.9836518626089824e+03 2.9836518626089824e+03 -4.1731429052426821e-15
5.6470588235294130e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843151e-03 8.9261590267277272e-04 1 2.8687285645859729e+03 3.3180809996260482e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3234507490964540e+02 5.3198197549433837e+02 5.3886440397244165e+01 1.4697946991300694e+02 -3.1963311167319713e+01 0.0000000000000000e+00 2.8665217909498124e+03 2.8665217909498124e+03 4.7936342952457341e-44
6.9019607843137272e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843133e-03 8.9261590267277131e-04 1 2.9206835518432126e+03 3.3781741217785585e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.3582232450368855e+02 5.4728340709039776e+02 5.6617268068986874e+01 1.5941584565987256e+02 -3.4435485718396407e+01 0.0000000000000000e+00 2.6944966476606678e+03 2.6944966476606678e+03 1.8740591439346333e-14
8.1568627450980397e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.9261590267277131e-04 1 2.9735091981957366e+03 3.4392742814866178e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.3952220666455668e+02 5.6332066582107984e+02 5.9553344375691211e+01 1.7330242396353987e+02 -3.7156843383908054e+01 0.0000000000000000e+00 2.4470096659655992e+03 2.4470096659655992e+03 -1.2024729372790965e-15
9.4117647058823521e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277131e-04 1 3.0276724375860827e+03 3.5019215523779443e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4347834030580265e+02 5.8026510672772031e+02 6.2708321527291069e+01 1.8877935510763302e+02 -4.0152899771691040e+01 0.0000000000000000e+00 2.0981172696424796e+03 2.0981172696424796e+03 1.4213226951148681e-14
1.0666666666666665e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843107e-03 8.9261590267277033e-04 1 3.0835230841504972e+03 3.5665205428401035e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4772500741850251e+02 5.9827567012741963e+02 6.6091824201516346e+01 2.0597769500268299e+02 -4.3439180537742033e+01 0.0000000000000000e+00 1.6250319148190188e+03 1.6250319148190188e+03 4.1173809235822513e-14
1.1921568627450981e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.9261590267277131e-04 1 3.1414334806899228e+03 3.6335019187745017e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5229867822037744e+02 6.1752862623836018e+02 6.9712476124286482e+01 2.2502527400434133e+02 -4.7027832389758849e+01 0.0000000000000000e+00 9.9207629284111010e+02 9.9207629284111010e+02 3.7720278547773189e-14
