"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -5.014442018,       -15.7316576,      -17.88900627,       1.677729532,               -32
          0,           0,           1,      -5.034154164,     -0.4101925684,      -1.311064452,       3.787667484,               -32
          0,           0,           2,      -5.034796894,     -0.7496410326,      -1.657723272,       3.313128178,               -32
          0,           0,           3,       -5.05137265,     -0.8066787158,      -1.721128592,       3.298571677,               -32
          0,           0,           4,      -5.066989855,     -0.8335774938,      -1.752469207,       3.296346023,               -32
          0,           0,           5,      -5.080736162,     -0.8512904487,      -1.777718856,        3.29617565,               -32
          0,           0,           6,      -5.092883256,     -0.8663643465,       -1.80311331,       3.296280932,               -32
          0,           0,           7,      -5.103827401,      -0.880672769,      -1.829145373,       3.296323728,               -32
          0,           0,           8,      -5.113893497,     -0.8946614715,      -1.855032309,       3.296261113,               -32
          0,           0,           9,      -5.123309978,     -0.9083995283,      -1.880022005,       3.296113312,               -32
          0,           0,          10,      -5.132230992,     -0.9218763267,      -1.903660889,       3.295909119,               -32
          0,           0,          11,      -5.140759987,     -0.9350813653,      -1.925780865,       3.295672778,               -32
          0,           0,          12,      -5.148966725,     -0.9480182789,      -1.946411028,        3.29542194,               -32
          0,           0,          13,      -5.156899198,     -0.9607009613,      -1.965689001,       3.295168575,               -32
          0,           0,          14,      -5.164590937,     -0.9731472786,      -1.983792187,       3.294920402,               -32
          0,           0,          15,      -5.172065853,     -0.9853740516,      -2.000893874,       3.294682156,               -32
          0,           0,          16,       -5.17934112,     -0.9973941722,      -2.017142471,       3.294456542,               -32
          0,           0,          17,      -5.186429226,      -1.009215142,      -2.032653127,       3.294244924,               -32
          0,           0,          18,      -5.193339637,      -1.020838769,      -2.047507694,       3.294047793,               -32
          0,           0,          19,      -5.200079432,       -1.03226187,      -2.061758994,       3.293865081,               -32
          0,           0,          20,      -5.206654181,      -1.043477234,      -2.075438063,       3.293696379,               -32
          0,           0,          21,       -5.21306817,      -1.054474619,      -2.088558773,       3.293541071,               -32
          0,           0,          22,      -5.219325121,      -1.065241905,      -2.101124064,       3.293398432,               -32
          0,           0,          23,      -5.225428056,      -1.075766108,      -2.113129234,       3.293267681,               -32
          0,           0,          24,      -5.231379868,      -1.086033984,      -2.124566482,       3.293148021,               -32
          0,           0,          25,      -5.237182884,      -1.096032803,      -2.135426526,       3.293038664,               -32
          0,           0,          26,      -5.242839439,      -1.105750767,      -2.145700387,       3.292938844,               -32
          0,           0,          27,      -5.248351449,      -1.115177225,      -2.155380834,       3.292847829,               -32
          0,           0,          28,      -5.253720899,       -1.12430291,      -2.164464598,       3.292764922,               -32
          0,           0,          29,      -5.258949732,      -1.133120067,      -2.172950852,        3.29268947,               -32
          0,           0,          30,       -5.26403955,      -1.141622505,      -2.180843542,        3.29262086,               -32
          0,           0,          31,      -5.268992045,      -1.149805618,      -2.188150106,       3.292558521,               -32
          0,           0,          32,      -5.273808838,      -1.157666475,      -2.194882971,       3.292501923,               -32
          0,           0,          33,       -5.27849139,      -1.165203594,      -2.201058403,       3.292450575,               -32
          0,           0,          34,      -5.283041399,      -1.172416968,      -2.206696581,       3.292404023,               -32
          0,           0,          35,      -5.287484931,      -1.179368932,      -2.212056154,       3.292361227,               -32
