"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -4.281547659,      -6.306001873,      -6.147944489,      -9.158989512,      -4.800585866,      -14.65951765,      -16.88518538,        3.18034698,      0.2842542511
          0,           0,           1,      -4.297382514,      -6.273309089,      -6.104864398,      -7.865685882,      -4.816609339,    -0.03879021163,     -0.8108360273,       4.519476445,       1.405817924
          0,           0,           2,      -4.426844352,      -6.437781284,      -6.260327383,      -7.653060504,      -4.946129407,     -0.3469570327,      -1.073079515,       3.780665855,      0.7696351707
          0,           0,           3,      -4.454421041,      -6.468088838,      -6.295318303,       -7.85058562,      -4.973632874,     -0.5697608275,      -1.152901373,       3.390281279,      0.3705850251
          0,           0,           4,      -4.474243361,      -6.492034502,      -6.319821886,       -7.91072746,      -4.993444459,      -0.733597766,      -1.338561515,       3.236530842,     0.08199707453
          0,           0,           5,      -4.485854561,       -6.50438516,       -6.33302736,       -7.98565952,       -5.00504727,     -0.9041451971,      -1.446148506,       3.071585796,    -0.08011076416
          0,           0,           6,      -4.493493729,      -6.511674627,      -6.341036475,      -8.031827208,      -5.012679507,      -1.028802189,       -1.53203061,       2.920365176,     -0.1759191102
          0,           0,           7,      -4.498671962,      -6.516147104,      -6.346038398,      -8.068610278,      -5.017852596,      -1.119320364,      -1.602261434,       2.812330018,     -0.2210144473
          0,           0,           8,      -4.502199652,      -6.518769045,       -6.34907684,      -8.099298125,      -5.021376373,      -1.185206619,       -1.65543654,       2.727174522,     -0.2416511992
          0,           0,           9,       -4.50442608,      -6.519956898,      -6.350606154,      -8.123979663,      -5.023599773,      -1.232605236,      -1.696246103,       2.661117348,      -0.251080471
          0,           0,          10,      -4.505636006,      -6.520034679,      -6.350963149,      -8.143463582,      -5.024807525,      -1.266706289,      -1.728560963,       2.611088922,     -0.2551092036
          0,           0,          11,      -4.506044372,      -6.519241535,      -6.350394207,      -8.158536564,      -5.025214483,      -1.291907844,      -1.753313987,        2.57345746,     -0.2565244429
          0,           0,          12,      -4.505772135,      -6.517716751,      -6.349047196,       -8.16982344,      -5.024941492,       -1.31041757,      -1.772539739,       2.545621892,     -0.2564755522
