"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677656263e-03,1.084911764337e-05,1.561048702570e-05,1.509417479895e-08,3.473608812783e-04,9.244610786438e+00,5.398642883847e-07,0.000000000000e+00,3.455439062500e+04,4.552040100098e+01,7.543001770973e-01,7.130478508770e-03,1.025984250009e-02,9.920501724991e-06,2.282996028662e-01,4.760064392090e+02,9.010123901367e+02,9.010002441406e+02,8.979939460754e+00,2.297327199585e-07,3.909079896403e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.837860912085e-02,4.893845319748e-02,0.000000000000e+00
1.147677656263e-03,1.084914219973e-05,1.561047793075e-05,1.508991154253e-08,3.473608521745e-04,9.244609832764e+00,8.391491945758e-08,0.000000000000e+00,3.455438671875e+04,4.552040100098e+01,7.543001770973e-01,7.130494806916e-03,1.025983691216e-02,9.917700481310e-06,2.282995879650e-01,4.760066528320e+02,9.010128173828e+02,9.010002441406e+02,8.979937553406e+00,2.369288552018e-07,3.909081351594e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.999999865890e-02,0.000000000000e+00,0.000000000000e+00
1.147677539848e-03,1.084896575776e-05,1.561053431942e-05,1.511904201834e-08,3.473609685898e-04,9.244609832764e+00,7.825048697896e-08,0.000000000000e+00,3.455438671875e+04,4.552038955688e+01,7.543001174927e-01,7.130378857255e-03,1.025987509638e-02,9.936845344782e-06,2.282996922731e-01,4.760050964355e+02,9.010098266602e+02,9.010001831055e+02,8.979951858521e+00,1.816204928673e-07,3.909072256647e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.989104509354e-02,5.077295936644e-03,0.000000000000e+00
1.147677423432e-03,1.084879204427e-05,1.561059070809e-05,1.514777814293e-08,3.473611141089e-04,9.244609832764e+00,6.649215578136e-08,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130265235901e-03,1.025991234928e-02,9.955732821254e-06,2.282997816801e-01,4.760035705566e+02,9.010068969727e+02,9.010001220703e+02,8.979966163635e+00,1.271793337310e-07,3.909063525498e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.955864861608e-02,1.014483999461e-02,0.000000000000e+00
1.147677423432e-03,1.084875020751e-05,1.561060526001e-05,1.515479475245e-08,3.473611432128e-04,9.244609832764e+00,7.520992539867e-08,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130237296224e-03,1.025992166251e-02,9.960343959392e-06,2.282998114824e-01,4.760032043457e+02,9.010061645508e+02,9.010001220703e+02,8.979969978333e+00,1.139099623515e-07,3.909061342711e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.899550020695e-02,1.519192568958e-02,0.000000000000e+00
1.147677423432e-03,1.084873929358e-05,1.561060889799e-05,1.515661018914e-08,3.473611432128e-04,9.244609832764e+00,9.437437853421e-08,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130230311304e-03,1.025992352515e-02,9.961538125935e-06,2.282998114824e-01,4.760031127930e+02,9.010059814453e+02,9.010001220703e+02,8.979970932007e+00,1.104960034581e-07,3.909060978913e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.819588899612e-02,2.020695805550e-02,0.000000000000e+00
1.147677539848e-03,1.084883206204e-05,1.561057797517e-05,1.514117542456e-08,3.473610850051e-04,9.244609832764e+00,1.624192265126e-07,0.000000000000e+00,3.455439062500e+04,4.552038574219e+01,7.543001174927e-01,7.130291312933e-03,1.025990396738e-02,9.951392712537e-06,2.282997667789e-01,4.760039367676e+02,9.010075683594e+02,9.010001220703e+02,8.979963302612e+00,1.397607576337e-07,3.909065708285e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.587431415915e-02,3.009165637195e-02,0.000000000000e+00
1.147677423432e-03,1.084876930690e-05,1.561059798405e-05,1.515151559772e-08,3.473611432128e-04,9.244609832764e+00,1.211054865280e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130250334740e-03,1.025991700590e-02,9.958188456949e-06,2.282997965813e-01,4.760033874512e+02,9.010065307617e+02,9.010001220703e+02,8.979968070984e+00,1.201576793619e-07,3.909062434104e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.715603008866e-02,2.517771720886e-02,0.000000000000e+00
1.147677656263e-03,1.084908399207e-05,1.561049612064e-05,1.509945946054e-08,3.473608812783e-04,9.244609832764e+00,3.223740066005e-07,0.000000000000e+00,3.455438671875e+04,4.552039718628e+01,7.543001174927e-01,7.130456622690e-03,1.025984901935e-02,9.923975994752e-06,2.282996177673e-01,4.760061645508e+02,9.010118408203e+02,9.010002441406e+02,8.979942321777e+00,2.189888590465e-07,3.909078441211e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.435146391392e-02,3.493629023433e-02,0.000000000000e+00
1.147677772678e-03,1.084923678718e-05,1.561044700793e-05,1.507448921245e-08,3.473607939668e-04,9.244609832764e+00,5.523876893676e-07,0.000000000000e+00,3.455438671875e+04,4.552040863037e+01,7.543001770973e-01,7.130556739867e-03,1.025981642306e-02,9.907563253364e-06,2.282995432615e-01,4.760075073242e+02,9.010144042969e+02,9.010003051758e+02,8.979928970337e+00,2.669551406598e-07,3.909086080967e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.059713870287e-02,4.437031224370e-02,0.000000000000e+00
1.147677539848e-03,1.084898212866e-05,1.561052886245e-05,1.511638281215e-08,3.473609685898e-04,9.244609832764e+00,3.339042109474e-07,0.000000000000e+00,3.455439062500e+04,4.552039337158e+01,7.543001174927e-01,7.130390033126e-03,1.025987137109e-02,9.935098205460e-06,2.282996773720e-01,4.760052490234e+02,9.010101318359e+02,9.010001831055e+02,8.979949951172e+00,1.870636054946e-07,3.909072984243e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.259059742093e-02,3.969957679510e-02,0.000000000000e+00
