"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677423432e-03,1.084876112145e-05,1.561060162203e-05,1.515300063204e-08,3.473611432128e-04,9.244609832764e+00,1.214315119569e-07,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130244746804e-03,1.025991886854e-02,9.959165254259e-06,2.282997965813e-01,4.760032958984e+02,9.010063476562e+02,9.010001220703e+02,8.979969024658e+00,1.173510284502e-07,3.909062070306e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130418181419e-02,2.939661964774e-03,0.000000000000e+00,0.000000000000e+00,-5.715603008866e-02,2.517771720886e-02,0.000000000000e+00
1.147677423432e-03,1.084874111257e-05,1.561060707900e-05,1.515621228521e-08,3.473611432128e-04,9.244609832764e+00,9.510460330375e-08,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130231708288e-03,1.025992352515e-02,9.961275281967e-06,2.282998114824e-01,4.760031127930e+02,9.010060424805e+02,9.010001220703e+02,8.979970932007e+00,1.112578900120e-07,3.909060978913e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130416691303e-02,2.939661033452e-03,0.000000000000e+00,0.000000000000e+00,-5.819588899612e-02,2.020695805550e-02,0.000000000000e+00
1.147677423432e-03,1.084876384994e-05,1.561059980304e-05,1.515241976335e-08,3.473611432128e-04,9.244609832764e+00,8.184682798174e-08,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130247075111e-03,1.025991886854e-02,9.958783266484e-06,2.282997965813e-01,4.760033264160e+02,9.010064086914e+02,9.010001220703e+02,8.979969024658e+00,1.184069660098e-07,3.909062070306e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130418181419e-02,2.939661964774e-03,0.000000000000e+00,0.000000000000e+00,-5.899550020695e-02,1.519192568958e-02,0.000000000000e+00
1.147677539848e-03,1.084899486159e-05,1.561052522447e-05,1.511425828937e-08,3.473609685898e-04,9.244609832764e+00,1.213741143147e-07,0.000000000000e+00,3.455438671875e+04,4.552039337158e+01,7.543001174927e-01,7.130397949368e-03,1.025986857712e-02,9.933702131093e-06,2.282996773720e-01,4.760053710938e+02,9.010103149414e+02,9.010001831055e+02,8.979948997498e+00,1.907249327360e-07,3.909073711839e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130436062813e-02,2.939672209322e-03,0.000000000000e+00,0.000000000000e+00,-5.955864861608e-02,1.014483999461e-02,0.000000000000e+00
1.147677423432e-03,1.084878294932e-05,1.561059434607e-05,1.514929692803e-08,3.473611141089e-04,9.244609832764e+00,6.334266888786e-09,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130259182304e-03,1.025991421193e-02,9.956730536942e-06,2.282997816801e-01,4.760034790039e+02,9.010067138672e+02,9.010001220703e+02,8.979967117310e+00,1.243118816774e-07,3.909063161700e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130419671535e-02,2.939662896097e-03,0.000000000000e+00,0.000000000000e+00,-5.989104509354e-02,5.077295936644e-03,0.000000000000e+00
1.147677656263e-03,1.084908672055e-05,1.561049612064e-05,1.509904912211e-08,3.473608812783e-04,9.244609832764e+00,7.476769781078e-08,0.000000000000e+00,3.455438671875e+04,4.552039718628e+01,7.543001174927e-01,7.130458485335e-03,1.025984901935e-02,9.923704965331e-06,2.282996177673e-01,4.760061645508e+02,9.010119018555e+02,9.010002441406e+02,8.979941368103e+00,2.195428123741e-07,3.909078441211e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130443140864e-02,2.939676167443e-03,0.000000000000e+00,0.000000000000e+00,-5.999999865890e-02,0.000000000000e+00,0.000000000000e+00
1.147677656263e-03,1.084903306037e-05,1.561051249155e-05,1.510790248460e-08,3.473609394860e-04,9.244609832764e+00,2.191764139070e-07,0.000000000000e+00,3.455438671875e+04,4.552039337158e+01,7.543001174927e-01,7.130423560739e-03,1.025986019522e-02,9.929523912433e-06,2.282996475697e-01,4.760057067871e+02,9.010109863281e+02,9.010001831055e+02,8.979946136475e+00,2.029024130934e-07,3.909075530828e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130439043045e-02,2.939673839137e-03,0.000000000000e+00,0.000000000000e+00,-5.587431415915e-02,3.009165637195e-02,0.000000000000e+00
1.147677539848e-03,1.084881296265e-05,1.561058525112e-05,1.514430181260e-08,3.473611141089e-04,9.244609832764e+00,2.377614691795e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543001174927e-01,7.130279205739e-03,1.025990769267e-02,9.953448170563e-06,2.282997667789e-01,4.760037536621e+02,9.010072631836e+02,9.010001220703e+02,8.979964256287e+00,1.340107758097e-07,3.909064616892e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130422279239e-02,2.939664293081e-03,0.000000000000e+00,0.000000000000e+00,-5.435146391392e-02,3.493629023433e-02,0.000000000000e+00
1.147677656263e-03,1.084910218196e-05,1.561049066368e-05,1.509653024812e-08,3.473608812783e-04,9.244609832764e+00,3.654168665435e-07,0.000000000000e+00,3.455438671875e+04,4.552040100098e+01,7.543001770973e-01,7.130468729883e-03,1.025984529406e-02,9.922049684974e-06,2.282996177673e-01,4.760063171387e+02,9.010121459961e+02,9.010002441406e+02,8.979940414429e+00,2.247515027420e-07,3.909079168807e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130444630980e-02,2.939676865935e-03,0.000000000000e+00,0.000000000000e+00,-5.259059742093e-02,3.969957679510e-02,0.000000000000e+00
1.147677539848e-03,1.084890300262e-05,1.561055614729e-05,1.512950653648e-08,3.473610267974e-04,9.244609832764e+00,3.663033396606e-07,0.000000000000e+00,3.455439062500e+04,4.552038955688e+01,7.543001174927e-01,7.130337879062e-03,1.025988813490e-02,9.943723853212e-06,2.282997220755e-01,4.760045471191e+02,9.010087890625e+02,9.010001831055e+02,8.979956626892e+00,1.623149898933e-07,3.909068982466e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130428984761e-02,2.939668251202e-03,0.000000000000e+00,0.000000000000e+00,-5.059713870287e-02,4.437031224370e-02,0.000000000000e+00
