"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -3.154633923,      -5.179087779,      -5.021030824,      -8.031535447,      -3.673672138,      -14.16677722,      -16.37547952,       4.318428948,        1.14514578
          0,           0,           1,      -3.112830001,      -5.136378588,      -4.962371554,      -6.583561012,      -3.632056669,      0.7448731542,    -0.03821995626,       5.440551743,       2.458808558
          0,           0,           2,      -3.200299737,      -5.224002749,      -5.045687715,      -6.616939521,      -3.719578431,      0.7227898279,     0.03604551587,       5.341937895,       2.341952046
          0,           0,           3,      -3.234752363,      -5.258567307,      -5.078744454,      -6.642382222,      -3.754049927,       0.669830967,     0.01491130206,       5.243035304,       2.232305282
          0,           0,           4,      -3.254723405,      -5.278587095,      -5.097674027,      -6.648865809,      -3.774034764,       0.609358127,    -0.02626571361,       5.143334681,       2.127190148
          0,           0,           5,      -3.267933958,      -5.291821314,      -5.110522836,      -6.652982055,      -3.787250229,      0.5459771747,    -0.07345634587,       5.043469568,       2.024262853
          0,           0,           6,      -3.277290037,      -5.301194144,      -5.120182522,      -6.662531413,      -3.796602957,      0.4817181382,     -0.1211934726,       4.943845257,       1.921016265
          0,           0,           7,       -3.28420915,      -5.308129453,      -5.127879887,      -6.678016648,      -3.803513026,      0.4177694093,       -0.16688303,       4.844732571,       1.815701698
          0,           0,           8,      -3.289451934,      -5.313388995,      -5.134166023,      -6.697763095,      -3.808743705,      0.3550181249,     -0.2092630917,       4.746327503,        1.70741204
          0,           0,           9,      -3.293482649,      -5.317436069,      -5.139330941,       -6.71983478,      -3.812761352,      0.2942623673,     -0.2479478787,         4.6487889,       1.595794136
          0,           0,          10,       -3.29660587,      -5.320573824,      -5.143557075,      -6.742585181,      -3.815871962,      0.2362874754,     -0.2830199259,        4.55227843,       1.480849592
          0,           0,          11,      -3.299007981,      -5.322987456,        -5.1469553,      -6.764778789,      -3.818262757,      0.1817148098,     -0.3147875399,       4.456977206,       1.363027049
          0,           0,          12,      -3.300841133,      -5.324828303,      -5.149643062,      -6.785592075,      -3.820086248,      0.1311440398,      -0.343631381,       4.363157811,       1.243742303
          0,           0,          13,      -3.302204905,      -5.326195527,      -5.151711556,      -6.804545989,      -3.821442063,      0.0850146534,     -0.3700453139,       4.271209167,       1.126550481
          0,           0,          14,      -3.303177681,      -5.327167439,      -5.153248503,      -6.821435423,      -3.822408449,     0.04360951814,     -0.3943643234,       4.181741001,       1.018909407
          0,           0,          15,      -3.303828231,      -5.327812966,       -5.15434027,      -6.836251753,      -3.823053954,    0.007011384092,     -0.4168973555,       4.095661871,      0.9326874684
          0,           0,          16,      -3.304205275,      -5.328181137,      -5.155055421,      -6.849107561,      -3.823427059,    -0.02494064943,     -0.4379438629,       4.014224917,      0.8789764037
          0,           0,          17,      -3.304346694,      -5.328310231,      -5.155451261,       -6.86017912,      -3.823565419,    -0.05257032536,     -0.4576535495,       3.939058602,      0.8585028355
          0,           0,          18,       -3.30428735,      -5.328235542,       -5.15558009,      -6.869663968,      -3.823503702,    -0.07623506575,     -0.4761491101,       3.872047484,      0.8609094526
          0,           0,          19,      -3.304061303,      -5.327991555,      -5.155490174,      -6.877754949,      -3.823275814,    -0.09640032582,     -0.4935788811,        3.81498173,      0.8741192571
          0,           0,          20,      -3.303689088,      -5.327599239,      -5.155213258,      -6.884622954,      -3.822902172,     -0.1135472579,     -0.5099958991,       3.769046565,      0.8903416221
          0,           0,          21,      -3.303189771,      -5.327078053,      -5.154777034,      -6.890413523,      -3.822401753,     -0.1281476176,     -0.5254589683,       3.734403452,      0.9058841715
          0,           0,          22,      -3.302581232,      -5.326446244,      -5.154205754,      -6.895247119,      -3.821792377,     -0.1406927395,     -0.5399902978,       3.710089438,       0.919399113
          0,           0,          23,      -3.301881158,      -5.325721819,      -5.153522023,      -6.899222652,      -3.821091683,     -0.1515419043,     -0.5536779625,       3.694361737,      0.9306209261
          0,           0,          24,      -3.301104088,      -5.324919611,      -5.152744129,      -6.902421022,      -3.820314177,     -0.1609667894,      -0.566552878,       3.685230755,      0.9397300704
          0,           0,          25,      -3.300262221,      -5.324052074,      -5.151886773,      -6.904907387,       -3.81947204,     -0.1692498799,     -0.5786121262,       3.680803298,      0.9470473768
          0,           0,          26,      -3.299367251,      -5.323131114,      -5.150963433,      -6.906735327,       -3.81857695,     -0.1766255178,     -0.5899188871,       3.679535538,      0.9529012355
          0,           0,          27,      -3.298428221,      -5.322165958,      -5.149984471,      -6.907949182,      -3.817637942,     -0.1832419701,     -0.6004782131,       3.680301517,      0.9576005713
          0,           0,          28,       -3.29745422,      -5.321165845,      -5.148959799,      -6.908585874,      -3.816664101,     -0.1892443121,     -0.6103260925,        3.68230091,      0.9614021557
          0,           0,          29,       -3.29645543,      -5.320141069,      -5.147900089,      -6.908676815,      -3.815665605,     -0.1947660021,     -0.6195295912,       3.684995251,      0.9645114358
          0,           0,          30,      -3.295440131,      -5.319099999,      -5.146813847,      -6.908248358,      -3.814650737,     -0.1999260878,     -0.6281046509,       3.688035385,      0.9670974891
          0,           0,          31,      -3.294415733,      -5.318050117,      -5.145708666,      -6.907323257,      -3.813626906,     -0.2047567176,     -0.6360718406,       3.691216355,      0.9692982373
          0,           0,          32,      -3.293388924,      -5.316998152,      -5.144591144,       -6.90592044,      -3.812600804,     -0.2093251227,     -0.6434613943,       3.694396693,      0.9712186136
          0,           0,          33,      -3.292366702,      -5.315951127,       -5.14346808,      -6.904056084,      -3.811579432,     -0.2136965242,     -0.6503230839,       3.697487804,       0.972937051
          0,           0,          34,       -3.29135496,      -5.314914944,      -5.142345143,      -6.901744192,      -3.810568685,      -0.217889201,     -0.6566715736,       3.700448837,      0.9745176993
          0,           0,          35,      -3.290359235,      -5.313895136,       -5.14122756,      -6.898996692,      -3.809574104,         -0.221921,     -0.6625246614,       3.703258845,      0.9760088112
