"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -3.154633922,       -5.17908702,      -5.021030822,      -8.022859303,      -3.673672141,      -14.03763998,      -16.25216913,       4.320339928,       1.082296155
          0,           0,           1,      -3.114014451,       -5.13744091,      -4.960261886,      -6.493668835,      -3.633278017,      0.6558753949,    -0.07489132655,         5.3480956,       2.330369138
          0,           0,           2,      -3.202434409,      -5.225982012,      -5.043535118,      -6.527065719,      -3.721762294,      0.6272233177,     0.01245131447,       5.246055053,        2.20993616
          0,           0,           3,      -3.236283542,      -5.259925164,      -5.075402559,      -6.550326872,      -3.755637987,      0.5665000073,   -0.009857382763,       5.145206567,       2.101177556
          0,           0,           4,      -3.255789938,      -5.279466238,      -5.093424462,      -6.554488881,      -3.775163757,      0.4985113171,    -0.05320843311,       5.043605275,       2.000112534
          0,           0,           5,      -3.268637632,      -5.292329626,      -5.105714334,      -6.557425321,      -3.788018649,      0.4282557593,      -0.102132296,       4.941713742,       1.902738304
          0,           0,           6,      -3.277640217,       -5.30134615,      -5.115028495,      -6.566311623,      -3.797017591,      0.3578010786,     -0.1509029899,       4.839844867,       1.804914276
          0,           0,           7,      -3.284190493,      -5.307913102,      -5.122497252,       -6.58122469,      -3.803556949,      0.2886325055,     -0.1970219351,       4.738192584,        1.70399963
          0,           0,           8,      -3.289062932,      -5.312804354,      -5.128622876,      -6.600340278,      -3.808414637,      0.2221090479,     -0.2395094338,       4.636883415,       1.598907307
          0,           0,           9,      -3.292697434,      -5.316457821,      -5.133627544,      -6.621699145,      -3.812033196,      0.1595684423,     -0.2780008795,       4.536022441,       1.489616915
          0,           0,          10,      -3.295397882,      -5.319175177,      -5.137659775,        -6.6436791,      -3.814718309,      0.1022484485,     -0.3127567385,       4.435724413,       1.376940946
          0,           0,          11,      -3.297364846,      -5.321155409,      -5.140831921,      -6.665095107,      -3.816671522,     0.05133659901,     -0.3440746643,       4.336205983,       1.262871084
          0,           0,          12,      -3.298740684,      -5.322539851,      -5.143241304,      -6.685157849,      -3.818035643,     0.00754663127,     -0.3724736645,       4.237839561,       1.151639726
          0,           0,          13,      -3.299638991,      -5.323441668,      -5.144993779,      -6.703418011,      -3.818924296,    -0.02884395712,     -0.3983440402,       4.141340756,       1.051053921
          0,           0,          14,      -3.300140557,      -5.323941634,      -5.146179922,       -6.71967634,      -3.819418112,    -0.05826130665,     -0.4220205894,       4.047909356,      0.9721841967
          0,           0,          15,      -3.300320963,       -5.32411558,      -5.146896158,      -6.733914148,      -3.819592398,    -0.08145138558,     -0.4439792183,       3.959462086,      0.9238452711
          0,           0,          16,      -3.300223588,       -5.32400737,      -5.147210439,      -6.746225981,      -3.819490239,    -0.09942164996,     -0.4642460921,       3.878765006,      0.9052014782
          0,           0,          17,      -3.299896554,       -5.32366565,      -5.147194339,      -6.756769318,      -3.819159486,     -0.1132212833,     -0.4829989871,       3.809166114,      0.9066297011
          0,           0,          18,      -3.299382776,      -5.323133864,      -5.146910478,      -6.765721198,      -3.818642831,      -0.123908299,     -0.5005532204,       3.753681685,      0.9176643507
          0,           0,          19,      -3.298704822,      -5.322435151,      -5.146398449,      -6.773256964,      -3.817962657,      -0.132247227,     -0.5168698427,       3.713874157,      0.9315835727
          0,           0,          20,      -3.297888421,      -5.321595756,      -5.145696968,      -6.779537287,      -3.817144561,     -0.1389744488,     -0.5319736117,       3.688927079,      0.9450814974
          0,           0,          21,      -3.296957436,      -5.320640012,      -5.144840385,      -6.784703889,      -3.816212299,     -0.1445328788,      -0.545942699,       3.676091425,      0.9568844665
          0,           0,          22,      -3.295934182,      -5.319590645,       -5.14385865,       -6.78887585,      -3.815188113,     -0.1493080315,     -0.5589152747,       3.671849566,      0.9666891009
          0,           0,          23,      -3.294839084,      -5.318468446,       -5.14277829,      -6.792155499,       -3.81409237,     -0.1535555837,       -0.57095305,       3.673066929,      0.9746125388
          0,           0,          24,      -3.293679219,      -5.317280818,      -5.141610214,      -6.794621365,      -3.812932117,     -0.1574330433,     -0.5819977326,       3.677375502,      0.9809489084
          0,           0,          25,      -3.292468956,      -5.316042391,      -5.140371732,      -6.796340711,      -3.811721698,      -0.161081879,     -0.5921094396,       3.683208242,      0.9859897011
          0,           0,          26,      -3.291220445,      -5.314765531,      -5.139077089,      -6.797369074,      -3.810473248,      -0.164579724,     -0.6013322008,        3.68961869,      0.9900097362
          0,           0,          27,      -3.289946092,      -5.313462811,      -5.137739973,      -6.797752706,      -3.809199164,     -0.1680281134,     -0.6097235792,       3.696052197,      0.9932401835
          0,           0,          28,      -3.288657747,      -5.312146209,      -5.136373074,      -6.797530185,      -3.807911294,     -0.1714885814,     -0.6173656058,       3.702214042,      0.9958710025
          0,           0,          29,      -3.287366315,      -5.310826728,      -5.134987908,       -6.79673504,      -3.806620541,     -0.1749787703,     -0.6243150835,       3.707974464,      0.9980570618
          0,           0,          30,      -3.286078144,      -5.309510783,      -5.133590953,      -6.795393912,      -3.805333252,     -0.1784810332,     -0.6305571053,       3.713286137,      0.9999329269
          0,           0,          31,      -3.284800713,      -5.308205894,      -5.132189516,      -6.793528628,      -3.804056913,     -0.1820116651,     -0.6361305125,       3.718138863,        1.00159686
          0,           0,          32,      -3.283542093,      -5.306920146,      -5.130791382,      -6.791158388,        -3.8027996,     -0.1855827582,     -0.6410848429,       3.722548614,       1.003122089
          0,           0,          33,       -3.28230912,      -5.305660367,      -5.129403028,      -6.788300097,      -3.801568152,     -0.1891828484,     -0.6454424495,       3.726549306,       1.004567399
          0,           0,          34,      -3.281109151,       -5.30443389,      -5.128031282,      -6.784968096,      -3.800369933,     -0.1928134092,     -0.6492500102,       3.730171932,       1.005973099
