"Mach","Points:0","Points:1","Points:2"
8.979940414429e+00,-5.592105444521e-03,2.967933379114e-02,0.000000000000e+00
8.979942321777e+00,-5.950419232249e-03,2.946001850069e-02,0.000000000000e+00
8.979942321777e+00,-6.306547205895e-03,2.923717536032e-02,0.000000000000e+00
8.979942321777e+00,-6.660421378911e-03,2.901076339185e-02,0.000000000000e+00
8.979943275452e+00,-7.011957932264e-03,2.878074161708e-02,0.000000000000e+00
8.979943275452e+00,-7.361078634858e-03,2.854707278311e-02,0.000000000000e+00
8.979943275452e+00,-7.707702927291e-03,2.830971591175e-02,0.000000000000e+00
8.979939460754e+00,-8.051748387516e-03,2.806863375008e-02,0.000000000000e+00
8.979938507080e+00,-8.393128402531e-03,2.782379090786e-02,0.000000000000e+00
8.979886054993e+00,-5.231682211161e-03,2.989516407251e-02,0.000000000000e+00
8.979946136475e+00,-3.028634237126e-03,3.111935406923e-02,0.000000000000e+00
8.979947090149e+00,-3.400309477001e-03,3.092353232205e-02,0.000000000000e+00
8.979947090149e+00,-3.770265728235e-03,3.072448633611e-02,0.000000000000e+00
8.979946136475e+00,-4.138444084674e-03,3.052216954529e-02,0.000000000000e+00
8.979943275452e+00,-4.504785407335e-03,3.031653910875e-02,0.000000000000e+00
8.979937553406e+00,-4.869218450040e-03,3.010755218565e-02,0.000000000000e+00
8.979872703552e+00,-2.655299147591e-03,3.131199255586e-02,0.000000000000e+00
8.979923248291e+00,-3.834749804810e-04,3.240342438221e-02,0.000000000000e+00
8.979922294617e+00,-7.656458183192e-04,3.222896903753e-02,0.000000000000e+00
8.979920387268e+00,-1.146467635408e-03,3.205159306526e-02,0.000000000000e+00
8.979916572571e+00,-1.525893574581e-03,3.187124803662e-02,0.000000000000e+00
8.979909896851e+00,-1.903875032440e-03,3.168789669871e-02,0.000000000000e+00
8.979898452759e+00,-2.280361251906e-03,3.150149062276e-02,0.000000000000e+00
8.979883193970e+00,0.000000000000e+00,3.257500007749e-02,0.000000000000e+00
8.979841232300e+00,-8.731752634048e-03,2.757515385747e-02,0.000000000000e+00
8.979908943176e+00,-1.005687192082e-02,2.654201723635e-02,0.000000000000e+00
8.979905128479e+00,-9.067531675100e-03,2.732268907130e-02,0.000000000000e+00
8.979907989502e+00,-9.400376118720e-03,2.706636115909e-02,0.000000000000e+00
