"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -4.355471784,      -6.379925045,      -6.221868486,      -9.216156822,      -4.874509982,      -14.78147796,      -16.86984227,       3.109045607,        0.60073422
          0,           0,           1,      -4.368030464,      -6.391433679,      -6.230777072,       -8.55913459,      -4.887100174,      0.4957593672,     -0.4218882047,       4.713898235,       1.764208609
          0,           0,           2,      -4.411183218,      -6.435025182,      -6.274163017,      -8.580386208,      -4.930254806,      0.5007253696,     -0.4376304385,       4.672947532,        1.70755509
          0,           0,           3,      -4.438576031,      -6.462681527,      -6.301612689,      -8.590670666,      -4.957649684,       0.491272671,     -0.4680032913,       4.627333088,        1.65519534
          0,           0,           4,      -4.460011201,       -6.48431598,      -6.322946347,      -8.582762352,      -4.979088166,      0.4778943155,     -0.5022671337,         4.5817733,       1.606617987
          0,           0,           5,      -4.477729089,      -6.502183887,      -6.340470633,      -8.566570483,      -4.996809937,      0.4625662011,       -0.53830544,       4.537363613,       1.561544669
          0,           0,           6,       -4.49277841,      -6.517343306,      -6.355288287,      -8.550498712,      -5.011863159,      0.4461252915,     -0.5751610309,       4.494576671,       1.519702218
          0,           0,           7,      -4.505783107,      -6.530425604,      -6.368053455,      -8.537657728,      -5.024871491,      0.4290173616,     -0.6122771063,       4.453646199,       1.480811427
          0,           0,           8,      -4.517162057,      -6.541855866,      -6.379199656,      -8.528369133,      -5.036253702,      0.4115107127,     -0.6492389058,       4.414684709,       1.444594374
          0,           0,           9,       -4.52721804,      -6.551942165,      -6.389035733,       -8.52200166,      -5.046312558,      0.3937798438,     -0.6856959763,       4.377730526,       1.410782003
          0,           0,          10,      -4.536179952,      -6.560917854,      -6.397792182,      -8.517733625,      -5.055276987,      0.3759437572,     -0.7213365978,       4.342771376,       1.379120416
          0,           0,          11,       -4.54422516,      -6.568964007,      -6.405646038,      -8.514855816,        -5.0633244,      0.3580873334,     -0.7558717103,       4.309758299,       1.349375573
          0,           0,          12,      -4.551499451,      -6.576229599,      -6.412742119,      -8.512809842,      -5.070600631,      0.3402717354,     -0.7890452843,       4.278614737,       1.321334997
          0,           0,          13,      -4.558122412,      -6.582836774,      -6.419198707,       -8.51119486,      -5.077225314,      0.3225430913,     -0.8206096718,       4.249244894,       1.294808985
          0,           0,          14,      -4.564189938,      -6.588883423,      -6.425110454,      -8.509751974,      -5.083294382,      0.3049362014,     -0.8503417485,       4.221540154,       1.269629971
          0,           0,          15,      -4.569781535,      -6.594450677,      -6.430555838,      -8.508326956,       -5.08888737,      0.2874774588,     -0.8780595063,       4.195383981,       1.245650737
          0,           0,          16,      -4.574960518,      -6.599603063,      -6.435597221,       -8.50684043,       -5.09406762,      0.2701875073,     -0.9036348535,       4.170656976,       1.222742926
          0,           0,          17,       -4.57977907,        -6.6043937,      -6.440285976,      -8.505262158,      -5.098887336,      0.2530825076,     -0.9269951283,       4.147240402,       1.200794867
          0,           0,          18,      -4.584280222,       -6.60886633,      -6.444664434,      -8.503585626,      -5.103389565,      0.2361748346,     -0.9481312592,       4.125019003,       1.179709467
          0,           0,          19,      -4.588501456,      -6.613059009,      -6.448769459,       -8.50182264,      -5.107611804,      0.2194740415,     -0.9670947922,       4.103883117,       1.159402278
          0,           0,          20,      -4.592475833,       -6.61700523,      -6.452633525,      -8.499991251,      -5.111587126,      0.2029874986,     -0.9839887597,       4.083730169,       1.139799849
          0,           0,          21,      -4.596231703,      -6.620733611,      -6.456284385,      -8.498110731,      -5.115343892,      0.1867210052,     -0.9989589534,       4.064465664,       1.120838339
          0,           0,          22,      -4.599794301,       -6.62426958,      -6.459746702,       -8.49619832,      -5.118907345,      0.1706789886,       -1.01218361,       4.046003338,       1.102462014
          0,           0,          23,      -4.603184478,       -6.62763408,      -6.463040803,      -8.494269869,      -5.122298344,      0.1548648312,      -1.023860826,       4.028265153,       1.084622096
          0,           0,          24,       -4.60641891,      -6.630843826,      -6.466182892,      -8.492337726,      -5.125533572,       0.139281017,      -1.034195339,       4.011180968,       1.067275754
          0,           0,          25,      -4.609511816,      -6.633913028,      -6.469186762,      -8.490411644,      -5.128627251,      0.1239292407,       -1.04338687,       3.994688158,       1.050385201
          0,           0,          26,       -4.61247592,      -6.636854382,       -6.47206475,       -8.48849902,       -5.13159211,      0.1088106272,      -1.051623679,        3.97873104,       1.033917026
          0,           0,          27,      -4.615322433,      -6.639679053,      -6.474827714,      -8.486605422,      -5.134439362,     0.09392579017,      -1.059079526,       3.963260211,       1.017841521
          0,           0,          28,      -4.618060796,       -6.64239643,      -6.477484786,      -8.484734212,      -5.137178453,     0.07927490368,      -1.065906164,       3.948231982,       1.002132202
          0,           0,          29,      -4.620699205,      -6.645014641,      -6.480043872,       -8.48288756,       -5.13981758,      0.0648577503,      -1.072236633,       3.933607766,      0.9867653641
          0,           0,          30,      -4.623244974,       -6.64754093,      -6.482512024,      -8.481066452,      -5.142364059,     0.05067385285,      -1.078184799,       3.919353481,      0.9717196993
          0,           0,          31,      -4.625704419,      -6.649981545,      -6.484895325,      -8.479270883,      -5.144824208,     0.03672242255,      -1.083845225,       3.905439069,      0.9569759761
          0,           0,          32,      -4.628083206,      -6.652342083,      -6.487199223,      -8.477500099,      -5.147203695,     0.02300247149,      -1.089297136,        3.89183799,      0.9425168133
          0,           0,          33,      -4.630386436,      -6.654627576,      -6.489428622,      -8.475752777,      -5.149507622,     0.00951279599,      -1.094606952,       3.878526785,      0.9283264305
          0,           0,          34,      -4.632618567,      -6.656842418,      -6.491587799,      -8.474027169,      -5.151740447,    -0.00374798458,      -1.099827381,       3.865484696,      0.9143904515
          0,           0,          35,      -4.634783794,      -6.658990742,      -6.493680788,      -8.472321533,      -5.153906367,     -0.0167814086,      -1.105000884,       3.852693375,      0.9006957617
          0,           0,          36,      -4.636885975,      -6.661076347,      -6.495711276,       -8.47063325,      -5.156009242,    -0.02958910655,      -1.110160446,       3.840136671,      0.8872303876
          0,           0,          37,      -4.638929049,      -6.663103119,      -6.497683025,      -8.468959952,       -5.15805301,    -0.04217255955,      -1.115331675,       3.827800536,       0.873983454
          0,           0,          38,      -4.640917598,      -6.665075587,      -6.499600406,      -8.467299216,      -5.160042257,    -0.05453253034,      -1.120533739,       3.815673401,      0.8609452685
          0,           0,          39,      -4.642853012,      -6.666995102,      -6.501464892,      -8.465649131,       -5.16197837,    -0.06667091592,      -1.125776786,       3.803728096,      0.8481040402
          0,           0,          40,      -4.644738212,      -6.668864537,      -6.503279204,      -8.464007092,      -5.163864272,    -0.07859205904,      -1.131076841,       3.791965851,      0.8354525724
          0,           0,          41,      -4.646575765,      -6.670686416,      -6.505045806,      -8.462370829,       -5.16570253,    -0.09029846616,      -1.136439718,       3.780377367,      0.8229829007
          0,           0,          42,      -4.648368527,      -6.672463551,      -6.506767268,       -8.46073795,      -5.167496004,     -0.1017921611,      -1.141871169,        3.76897199,      0.8106902125
          0,           0,          43,      -4.650118351,      -6.674197776,       -6.50844572,       -8.45910739,      -5.169246542,     -0.1130789634,        -1.1473678,       3.757707359,      0.7985631764
          0,           0,          44,      -4.651827395,      -6.675891209,       -6.51008306,      -8.457476709,      -5.170956305,     -0.1241593102,      -1.152931374,       3.746593387,      0.7865972172
          0,           0,          45,       -4.65349771,       -6.67754587,      -6.511681261,      -8.455844192,      -5.172627345,     -0.1350362096,      -1.158560257,        3.73562392,       0.774786429
          0,           0,          46,       -4.65513113,      -6.679163566,      -6.513242089,      -8.454208238,      -5.174261496,     -0.1457127214,      -1.164251911,       3.724793372,      0.7631253228
          0,           0,          47,      -4.656728905,      -6.680745522,      -6.514766757,      -8.452567373,      -5.175860008,     -0.1561920947,      -1.170004655,       3.714096614,      0.7516087476
          0,           0,          48,      -4.658292645,      -6.682293323,      -6.516256818,      -8.450920226,       -5.17742449,     -0.1664775292,      -1.175813817,       3.703529059,      0.7402319187
          0,           0,          49,      -4.659824123,      -6.683808721,       -6.51771398,      -8.449265479,      -5.178956717,      -0.176572189,      -1.181675486,       3.693086581,      0.7289903869
          0,           0,          50,      -4.661323585,      -6.685291946,      -6.519138536,      -8.447601903,      -5.180456934,     -0.1864847312,      -1.187587171,       3.682765341,      0.7178794187
          0,           0,          51,      -4.662793207,      -6.686745153,      -6.520532555,      -8.445928465,      -5.181927318,     -0.1962147986,      -1.193540283,       3.672560995,      0.7068954575
          0,           0,          52,      -4.664234362,      -6.688169695,      -6.521897365,      -8.444244152,      -5.183369241,     -0.2057660349,      -1.199529528,       3.662470232,      0.6960348238
          0,           0,          53,      -4.665648432,      -6.689566936,      -6.523234306,      -8.442548025,      -5.184784086,     -0.2151421575,      -1.205549269,       3.652490012,      0.6852940688
          0,           0,          54,      -4.667036656,      -6.690938101,      -6.524544578,      -8.440839224,      -5.186173093,     -0.2243469315,      -1.211593819,       3.642617519,      0.6746699632
          0,           0,          55,      -4.668400238,      -6.692284375,      -6.525829346,      -8.439116951,      -5.187537465,     -0.2333841573,      -1.217657668,       3.632850182,      0.6641594729
          0,           0,          56,      -4.669740322,      -6.693606891,       -6.52708972,      -8.437380473,      -5.188878347,     -0.2422576865,      -1.223735407,       3.623185615,      0.6537597572
          0,           0,          57,      -4.671057985,      -6.694906708,      -6.528326741,      -8.435629102,      -5.190196814,     -0.2509713901,      -1.229821784,       3.613621616,      0.6434681477
          0,           0,          58,      -4.672353834,      -6.696184422,      -6.529541005,      -8.433862228,      -5.191493477,     -0.2595292344,      -1.235912171,       3.604155984,      0.6332820708
          0,           0,          59,      -4.673628358,      -6.697440511,      -6.530732994,      -8.432079256,      -5.192768821,     -0.2679349341,      -1.242001151,        3.59478699,      0.6231991977
          0,           0,          60,      -4.674882317,      -6.698675722,      -6.531903447,      -8.430279631,      -5.194023609,     -0.2761923633,      -1.248084203,       3.585512902,      0.6132173168
          0,           0,          61,       -4.67611639,      -6.699890722,      -6.533053026,      -8.428462829,      -5.195258518,     -0.2843053981,      -1.254157259,       3.576332089,      0.6033343303
          0,           0,          62,      -4.677330494,       -6.70108542,      -6.534181666,      -8.426628381,      -5.196473466,     -0.2922778932,      -1.260216978,       3.567242864,       0.593548172
          0,           0,          63,      -4.678524881,      -6.702260058,      -6.535289623,      -8.424775798,      -5.197668703,     -0.3001134245,      -1.266258611,       3.558243998,      0.5838570354
          0,           0,          64,      -4.679700075,      -6.703415149,      -6.536377409,      -8.422904613,      -5.198844753,     -0.3078157149,      -1.272278095,       3.549334189,      0.5742591656
          0,           0,          65,      -4.680856554,      -6.704551162,      -6.537445493,      -8.421014364,      -5.200002097,     -0.3153884433,      -1.278271552,       3.540512218,      0.5647529055
          0,           0,          66,      -4.681994791,      -6.705668562,      -6.538494338,      -8.419104594,      -5.201141206,     -0.3228352323,      -1.284235475,       3.531776942,      0.5553366893
          0,           0,          67,      -4.683115179,      -6.706767725,      -6.539524308,      -8.417173788,      -5.202262472,     -0.3301596715,       -1.29016642,       3.523127281,      0.5460090368
          0,           0,          68,      -4.684218156,      -6.707849086,      -6.540535851,      -8.415222555,      -5.203366335,     -0.3373652746,      -1.296061389,       3.514562226,      0.5367685417
          0,           0,          69,      -4.685304621,       -6.70891354,       -6.54152982,      -8.413247027,      -5.204453692,     -0.3444554905,      -1.301917145,       3.506080814,      0.5276138793
          0,           0,          70,       -4.68637466,      -6.709961163,      -6.542506333,      -8.411250559,      -5.205524631,     -0.3514337097,      -1.307730935,       3.497682138,       0.518543778
          0,           0,          71,      -4.687428364,      -6.710992033,      -6.543465462,      -8.409232187,      -5.206579241,     -0.3583032542,      -1.313500086,       3.489365343,      0.5095570461
          0,           0,          72,      -4.688466045,      -6.712006455,      -6.544407509,      -8.407191378,      -5.207617836,     -0.3650673535,      -1.319221815,        3.48112961,      0.5006525474
          0,           0,          73,      -4.689487995,      -6.713004709,      -6.545332757,       -8.40512759,      -5.208640707,     -0.3717291584,      -1.324893768,        3.47297415,      0.4918291991
