"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -4.281547659,      -6.306001874,      -6.147944489,      -9.158989387,      -4.800585866,      -14.78380002,      -16.91745866,        3.18034698,      0.2842542511
          0,           0,           1,      -4.297497679,      -6.272031569,      -6.103773457,       -7.86547084,      -4.816722839,    -0.08200828709,     -0.9213769118,       4.508760382,       1.406419726
          0,           0,           2,      -4.426003294,       -6.44018713,      -6.266180604,      -7.715522528,      -4.945235178,     -0.4539505982,      -1.161494435,       3.596105749,       1.001858217
          0,           0,           3,      -4.462317876,      -6.480293831,      -6.307562188,      -7.872434562,      -4.981520368,     -0.6709288956,      -1.293931118,       3.239332212,       1.124781947
          0,           0,           4,      -4.480917001,      -6.501204293,       -6.32971413,      -7.966519933,      -5.000104986,     -0.8887505904,      -1.455802197,       3.086815653,      0.7782838245
          0,           0,           5,      -4.490526566,       -6.50880514,      -6.338374387,      -8.029095774,      -5.009708117,      -1.061362129,      -1.567482661,        2.89305053,      0.8164582558
          0,           0,           6,      -4.495734345,      -6.511359355,      -6.341819154,      -8.083536849,      -5.014910061,      -1.186081448,      -1.658232345,       2.758198048,      0.6615246105
          0,           0,           7,      -4.498392498,      -6.511550592,       -6.34250196,       -8.11878423,      -5.017565273,      -1.251734714,      -1.722789004,        2.66500569,      0.6413226649
          0,           0,           8,      -4.498982822,      -6.509540065,      -6.340890376,      -8.146074015,      -5.018153837,      -1.286548335,      -1.761941549,        2.59941472,      0.5587926437
          0,           0,           9,      -4.498119194,      -6.506066355,      -6.337672202,      -8.163493073,      -5.017289751,      -1.306257593,      -1.786443394,       2.557123452,      0.5202988063
          0,           0,          10,      -4.496264234,      -6.501576772,      -6.333411128,      -8.172631769,      -5.015434942,       -1.31679216,         -1.812833,       2.527440725,      0.4622631993
