"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147678354755e-03,1.085001258616e-05,1.561020326335e-05,1.494844958927e-08,3.473602409940e-04,9.244611740112e+00,2.196370815000e-06,0.000000000000e+00,3.455439062500e+04,4.552045822144e+01,7.543003559113e-01,7.131064310670e-03,1.025965251029e-02,9.824721928453e-06,2.282991260290e-01,4.760144348145e+02,9.010276489258e+02,9.010005493164e+02,8.979864120483e+00,5.143097041582e-07,3.909125371138e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130515038967e-02,2.939716679975e-03,0.000000000000e+00,0.000000000000e+00,-3.094151429832e-02,7.382453233004e-02,0.000000000000e+00
1.147678121924e-03,1.084953146346e-05,1.561035605846e-05,1.502682245302e-08,3.473606193438e-04,9.244611740112e+00,1.783857783266e-06,0.000000000000e+00,3.455439453125e+04,4.552043151855e+01,7.543002367020e-01,7.130748592317e-03,1.025975495577e-02,9.876232979877e-06,2.282993793488e-01,4.760101928711e+02,9.010194702148e+02,9.010003662109e+02,8.979904174805e+00,3.632620746430e-07,3.909100996680e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130477786064e-02,2.939695725217e-03,0.000000000000e+00,0.000000000000e+00,-2.385055460036e-02,8.109451830387e-02,0.000000000000e+00
1.147678121924e-03,1.084958148567e-05,1.561034150654e-05,1.501876489840e-08,3.473605902400e-04,9.244611740112e+00,1.845375322773e-06,0.000000000000e+00,3.455439453125e+04,4.552043533325e+01,7.543002367020e-01,7.130781654269e-03,1.025974471122e-02,9.870936992229e-06,2.282993495464e-01,4.760106506348e+02,9.010203247070e+02,9.010003662109e+02,8.979900360107e+00,3.790234472945e-07,3.909103543265e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130481511354e-02,2.939697820693e-03,0.000000000000e+00,0.000000000000e+00,-2.746168896556e-02,7.752354443073e-02,0.000000000000e+00
1.147678587586e-03,1.085025814973e-05,1.561012686579e-05,1.490898426937e-08,3.473600954749e-04,9.244612693787e+00,2.983443891935e-06,0.000000000000e+00,3.455439453125e+04,4.552047729492e+01,7.543004155159e-01,7.131224963814e-03,1.025960128754e-02,9.798782230064e-06,2.282989919186e-01,4.760166625977e+02,9.010317993164e+02,9.010006103516e+02,8.979844093323e+00,5.930313022873e-07,3.909137740266e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130533665419e-02,2.939727390185e-03,0.000000000000e+00,0.000000000000e+00,-2.011928521097e-02,8.453981578350e-02,0.000000000000e+00
1.147678471170e-03,1.084988434741e-05,1.561024691910e-05,1.496979962212e-08,3.473603865132e-04,9.244613647461e+00,2.742150400081e-06,0.000000000000e+00,3.455439843750e+04,4.552045822144e+01,7.543002963066e-01,7.130979560316e-03,1.025968044996e-02,9.838752703217e-06,2.282991856337e-01,4.760133972168e+02,9.010255126953e+02,9.010004882812e+02,8.979874610901e+00,4.769320867126e-07,3.909118822776e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130504980683e-02,2.939711092040e-03,0.000000000000e+00,0.000000000000e+00,-1.233739033341e-02,9.106584638357e-02,0.000000000000e+00
1.147678471170e-03,1.084993164113e-05,1.561023236718e-05,1.496227675091e-08,3.473603574093e-04,9.244613647461e+00,2.740209538388e-06,0.000000000000e+00,3.455439843750e+04,4.552046203613e+01,7.543002963066e-01,7.131010293961e-03,1.025967113674e-02,9.833809599513e-06,2.282991707325e-01,4.760137939453e+02,9.010263061523e+02,9.010004882812e+02,8.979870796204e+00,4.911102564620e-07,3.909121369361e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130508705974e-02,2.939713187516e-03,0.000000000000e+00,0.000000000000e+00,-1.627833396196e-02,8.786243200302e-02,0.000000000000e+00
1.147678121924e-03,1.084982613975e-05,1.561025965202e-05,1.497856949584e-08,3.473603574093e-04,9.244611740112e+00,1.655660867073e-06,0.000000000000e+00,3.455439062500e+04,4.552044677734e+01,7.543002963066e-01,7.130942773074e-03,1.025969162583e-02,9.844518899627e-06,2.282992154360e-01,4.760127563477e+02,9.010244750977e+02,9.010004882812e+02,8.979880332947e+00,4.537427287232e-07,3.909115912393e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130500510335e-02,2.939708530903e-03,0.000000000000e+00,0.000000000000e+00,-3.427821770310e-02,6.999596208334e-02,0.000000000000e+00
1.147677889094e-03,1.084946961782e-05,1.561037424835e-05,1.503661017921e-08,3.473606193438e-04,9.244610786438e+00,1.191778096654e-06,0.000000000000e+00,3.455439062500e+04,4.552042388916e+01,7.543002367020e-01,7.130709476769e-03,1.025976799428e-02,9.882666745398e-06,2.282994091511e-01,4.760095825195e+02,9.010184326172e+02,9.010003662109e+02,8.979909896851e+00,3.415615026370e-07,3.909097722499e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130472943187e-02,2.939692931250e-03,0.000000000000e+00,0.000000000000e+00,-3.745947778225e-02,6.603732705116e-02,0.000000000000e+00
1.147677423432e-03,1.084874929802e-05,1.561060526001e-05,1.515492975557e-08,3.473611432128e-04,9.244609832764e+00,1.433978695786e-07,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130236830562e-03,1.025992166251e-02,9.960433089873e-06,2.282998114824e-01,4.760032043457e+02,9.010061645508e+02,9.010001220703e+02,8.979969978333e+00,1.137319429745e-07,3.909061342711e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130417063832e-02,2.939661499113e-03,0.000000000000e+00,0.000000000000e+00,-5.587431415915e-02,3.009165637195e-02,0.000000000000e+00
1.147677423432e-03,1.084872292267e-05,1.561061435496e-05,1.515933334417e-08,3.473611723166e-04,9.244609832764e+00,1.148335186940e-07,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130219601095e-03,1.025992725044e-02,9.963327102014e-06,2.282998114824e-01,4.760029602051e+02,9.010056762695e+02,9.010001220703e+02,8.979971885681e+00,1.053729619116e-07,3.909059887519e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130415201187e-02,2.939660334960e-03,0.000000000000e+00,0.000000000000e+00,-5.715603008866e-02,2.517771720886e-02,0.000000000000e+00
1.147677423432e-03,1.084873929358e-05,1.561060889799e-05,1.515650360773e-08,3.473611432128e-04,9.244609832764e+00,1.000009959284e-07,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130230776966e-03,1.025992352515e-02,9.961467185349e-06,2.282998114824e-01,4.760031127930e+02,9.010059814453e+02,9.010001220703e+02,8.979970932007e+00,1.106970728415e-07,3.909060978913e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130416318774e-02,2.939661033452e-03,0.000000000000e+00,0.000000000000e+00,-5.819588899612e-02,2.020695805550e-02,0.000000000000e+00
1.147677539848e-03,1.084880841518e-05,1.561058707011e-05,1.514514380574e-08,3.473611141089e-04,9.244609832764e+00,1.879317892417e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543001174927e-01,7.130275480449e-03,1.025990862399e-02,9.954001143342e-06,2.282997667789e-01,4.760037231445e+02,9.010071411133e+02,9.010001220703e+02,8.979965209961e+00,1.322878091514e-07,3.909064253094e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130421906710e-02,2.939664060250e-03,0.000000000000e+00,0.000000000000e+00,-5.435146391392e-02,3.493629023433e-02,0.000000000000e+00
1.147677539848e-03,1.084896484826e-05,1.561053431942e-05,1.511921432495e-08,3.473609685898e-04,9.244609832764e+00,1.533851161639e-07,0.000000000000e+00,3.455438671875e+04,4.552038955688e+01,7.543001174927e-01,7.130378391594e-03,1.025987509638e-02,9.936959031620e-06,2.282996922731e-01,4.760050964355e+02,9.010098266602e+02,9.010001831055e+02,8.979951858521e+00,1.813504866277e-07,3.909072256647e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130433827639e-02,2.939670812339e-03,0.000000000000e+00,0.000000000000e+00,-5.899550020695e-02,1.519192568958e-02,0.000000000000e+00
