"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
7.358898874372e-03,2.773159167191e-06,2.377756800342e-06,2.062087645754e-03,2.978095784783e-03,5.528347301020e-15,2.388319847880e-14,0.000000000000e+00,1.197499296875e+05,2.604736022949e+02,5.932570695877e-01,2.235655556433e-04,1.916891487781e-04,1.662406325340e-01,2.400870621204e-01,2.232758300781e+03,4.504047546387e+02,8.150746459961e+02,3.784260722844e-15,6.255189329386e-02,2.492327985237e-05,5.899557378143e-03,1.931315200636e-04,0.000000000000e+00,4.323620721698e-02,1.122035551816e-03,3.633743750000e+05,5.586882591248e+00,0.000000000000e+00,4.500000178814e-02,0.000000000000e+00
9.596256539226e-03,5.192115622776e-06,4.112644546694e-06,2.539012348279e-03,3.834231756628e-03,3.843290448938e-15,1.231966866846e-13,0.000000000000e+00,1.515724375000e+05,3.560161437988e+02,6.005615592003e-01,3.249376313761e-04,2.573812089395e-04,1.588987559080e-01,2.399573475122e-01,3.512804443359e+03,5.531621704102e+02,8.367069091797e+02,1.337444694924e-14,1.081297770143e-01,2.862533801817e-05,5.545762833208e-03,1.815494761104e-04,0.000000000000e+00,4.950278624892e-02,1.372477039695e-03,3.476200625000e+05,7.228606700897e+00,-1.732156728394e-03,4.494329541922e-02,0.000000000000e+00
3.365716198459e-03,1.030759335663e-06,3.007480131600e-07,9.596500894986e-04,1.367739518173e-03,3.679241180420e+00,-4.167066141963e-02,0.000000000000e+00,6.076987500000e+04,8.115683593750e+02,5.910533666611e-01,1.810116227716e-04,5.281435005600e-05,1.685241311789e-01,2.401887029409e-01,2.817468994141e+03,1.235874389648e+03,1.970614624023e+03,7.460967898369e-01,8.337135612965e-02,5.029675230617e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.761510998011e-02,5.844731349498e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.509710147977e-02,0.000000000000e+00
2.935976022854e-03,9.750971230460e-07,3.625625879522e-07,8.216263959184e-04,1.188084715977e-03,4.561124801636e+00,2.856915257871e-02,0.000000000000e+00,5.467940625000e+04,9.586012573242e+02,5.934832096100e-01,1.971077872440e-04,7.328901847359e-05,1.660849601030e-01,2.401614636183e-01,2.943790771484e+03,1.489095825195e+03,2.322141357422e+03,9.709998965263e-01,8.786923438311e-02,5.751353455707e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.001009494066e-01,7.188440300524e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.520715773106e-02,0.000000000000e+00
5.611359141767e-03,1.809907871575e-06,9.289356057707e-07,1.647731289268e-03,2.295301062986e-03,-2.848188942724e-15,6.587747925293e-14,0.000000000000e+00,9.776685937500e+04,4.984499511719e+02,5.871384739876e-01,1.893777662190e-04,9.719817171572e-05,1.724085807800e-01,2.401663511992e-01,3.388535888672e+03,8.830969848633e+02,1.227886108398e+03,9.407620556591e-15,1.037050113082e-01,3.963799827034e-05,9.160164743662e-03,6.352884229273e-04,0.000000000000e+00,6.912584602833e-02,3.241971600801e-03,4.345989687500e+05,1.612558364868e+01,-2.943140920252e-03,4.490365087986e-02,0.000000000000e+00
9.417569264770e-03,5.233124284132e-06,3.768783926716e-06,2.460383577272e-03,3.752681892365e-03,-1.585113909976e-14,1.595440224161e-13,0.000000000000e+00,1.496532812500e+05,4.851060485840e+02,6.021603345871e-01,3.346065059304e-04,2.409764420008e-04,1.573171913624e-01,2.399468719959e-01,4.458414550781e+03,7.181455078125e+02,9.722877807617e+02,1.561132204953e-14,1.417995840311e-01,3.424069291214e-05,6.854822393507e-03,6.751411128789e-04,0.000000000000e+00,5.921173468232e-02,2.132776658982e-03,4.698242812500e+05,1.169237041473e+01,-4.464944358915e-03,4.475376754999e-02,0.000000000000e+00
3.480626735836e-03,1.125829385273e-06,3.324641681957e-07,9.887756314129e-04,1.413213205524e-03,3.670015811920e+00,1.591869145632e-01,0.000000000000e+00,6.307011718750e+04,8.465839233398e+02,5.915334820747e-01,1.913350279210e-04,5.650238017552e-05,1.680426895618e-01,2.401759773493e-01,3.140753662109e+03,1.333768310547e+03,1.979618774414e+03,6.940714716911e-01,9.488236904144e-02,5.312731082086e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.253860265017e-02,6.188783328980e-03,0.000000000000e+00,0.000000000000e+00,-1.799131976441e-03,4.505603015423e-02,0.000000000000e+00
2.985639497638e-03,1.035711648001e-06,4.020645008040e-07,8.270588004962e-04,1.205432112329e-03,4.993054389954e+00,1.515751332045e-01,0.000000000000e+00,5.583636718750e+04,1.029004638672e+03,5.948000550270e-01,2.063348074444e-04,8.009941666387e-05,1.647669225931e-01,2.401465773582e-01,3.072332275391e+03,1.533172729492e+03,2.394233642578e+03,1.033516764641e+00,9.244613349438e-02,5.873049303773e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.021549850702e-01,7.445621304214e-03,0.000000000000e+00,0.000000000000e+00,-1.548617961816e-03,4.517807066441e-02,0.000000000000e+00
2.447791863233e-03,5.350648848435e-07,1.906482935965e-07,7.141235982999e-04,1.000086660497e-03,5.040749549866e+00,8.813700824976e-02,0.000000000000e+00,4.922408203125e+04,1.078792602539e+03,5.880259275436e-01,1.285370817641e-04,4.579888627632e-05,1.715518385172e-01,2.402479201555e-01,2.943524658203e+03,1.762241455078e+03,2.762409912109e+03,1.169439077377e+00,8.785975724459e-02,6.510243838420e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.136716604233e-01,8.581586182117e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.533039778471e-02,0.000000000000e+00
4.201082978398e-03,1.468673417548e-06,4.523691643499e-07,1.178675564006e-03,1.700866385363e-03,4.025666236877e+00,2.965190708637e-01,0.000000000000e+00,7.569153906250e+04,1.020298889160e+03,5.931600332260e-01,2.073651849059e-04,6.387098255800e-05,1.664197593927e-01,2.401490062475e-01,3.979517822266e+03,1.405711059570e+03,1.978301025391e+03,6.176661849022e-01,1.247477680445e-01,5.516519377124e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.601805359125e-02,6.443431600928e-03,0.000000000000e+00,0.000000000000e+00,-3.345816163346e-03,4.496385157108e-02,0.000000000000e+00
4.469802137464e-03,1.599512415851e-06,5.080900677967e-07,1.236881711520e-03,1.804129802622e-03,3.982029914856e+00,4.226209819317e-01,0.000000000000e+00,7.981720312500e+04,1.073508666992e+03,5.949485898018e-01,2.129015338141e-04,6.762883276679e-05,1.646339297295e-01,2.401369214058e-01,4.289293945312e+03,1.430248535156e+03,1.967069091797e+03,5.731439590454e-01,1.357777863741e-01,5.584187238128e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.710931032896e-02,6.528681144118e-03,0.000000000000e+00,0.000000000000e+00,-4.683115053922e-03,4.482711479068e-02,0.000000000000e+00
9.887155145407e-03,5.598844381893e-06,4.264581093594e-06,2.589622512460e-03,3.941522911191e-03,-4.478364497274e-14,1.790764259969e-13,0.000000000000e+00,1.568664843750e+05,4.959756164551e+02,6.018417477608e-01,3.408076590858e-04,2.595896366984e-04,1.576330959797e-01,2.399247437716e-01,4.433649902344e+03,6.797269287109e+02,9.609364624023e+02,1.758545599992e-14,1.409177929163e-01,3.296473005321e-05,7.260905578732e-03,9.629249107093e-04,0.000000000000e+00,5.700498446822e-02,2.015684964135e-03,4.969330625000e+05,9.086054801941e+00,-5.873678717762e-03,4.461501911283e-02,0.000000000000e+00
3.455811413005e-03,1.054036829373e-06,4.038760721414e-07,9.772540070117e-04,1.401714165695e-03,5.076035976410e+00,3.792336583138e-01,0.000000000000e+00,6.500602343750e+04,1.136470703125e+03,5.921300053596e-01,1.806021173252e-04,6.920144369360e-05,1.674458831549e-01,2.401742935181e-01,3.725925781250e+03,1.595946777344e+03,2.331363037109e+03,8.866622447968e-01,1.157182678580e-01,6.050221054466e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.053925156593e-01,7.547169458121e-03,0.000000000000e+00,0.000000000000e+00,-3.005505772308e-03,4.509472101927e-02,0.000000000000e+00
