"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -3.183129919,      -5.207582871,       -5.04952697,      -8.057036635,      -3.702168154,      -13.92587007,       -16.1591844,       4.299505214,       1.354614173
          0,           0,           1,      -3.195888994,      -5.216690587,       -5.00500695,      -6.191118844,      -3.715589745,      0.5426447875,    -0.03845396362,       4.822456124,       2.022975561
          0,           0,           2,      -3.267043323,      -5.290362282,      -5.061553531,      -6.132816559,      -3.786941624,      0.4129299262,    -0.05907151762,       4.675908451,       2.003028949
          0,           0,           3,       -3.30154117,      -5.324474767,      -5.068178119,      -6.010930191,      -3.821792907,      0.3113877381,     -0.1231667632,       4.529548345,       2.022976671
          0,           0,           4,      -3.320530707,      -5.342278426,      -5.055255476,      -5.889519259,      -3.841177675,      0.2332890313,     -0.1785633412,       4.403752627,       2.075480497
          0,           0,           5,      -3.331977114,       -5.35221586,      -5.030140625,       -5.77073887,      -3.853064955,      0.1665187965,     -0.2203045649,       4.300798942,       2.147407971
          0,           0,           6,      -3.339474624,      -5.358028276,      -4.993550313,      -5.650084967,      -3.861080188,      0.1084045734,     -0.2519258545,       4.218356559,       2.229457801
          0,           0,           7,      -3.345352051,       -5.36221956,      -4.946024367,      -5.526391577,      -3.867567475,     0.05818923232,     -0.2761554553,       4.152521485,       2.316981586
          0,           0,           8,      -3.350980647,      -5.366574528,      -4.891578201,      -5.401331776,      -3.873853843,     0.01541281533,     -0.2949414043,       4.099388393,       2.403386106
          0,           0,           9,      -3.356735504,      -5.372124209,      -4.837159943,      -5.269672054,      -3.880180459,     -0.0206944078,     -0.3100067215,       4.056250507,       2.482270952
          0,           0,          10,      -3.362585072,      -5.378851112,      -4.800011914,      -5.145582439,      -3.886310918,    -0.05088077201,     -0.3223442605,       4.021176007,       2.538579764
          0,           0,          11,      -3.368628396,      -5.386313836,      -4.783167399,      -5.027634982,      -3.892264372,    -0.07564770458,     -0.3320286618,       3.992665531,       2.578005038
          0,           0,          12,      -3.374960749,      -5.393910141,      -4.783291621,       -4.92029135,      -3.898116617,    -0.09540498925,     -0.3389712414,       3.969533097,       2.605748937
          0,           0,          13,      -3.381615158,      -5.401054514,      -4.790532919,      -4.827734409,       -3.90394969,     -0.1107730162,     -0.3433714595,       3.950782669,       2.627431582
          0,           0,          14,      -3.388637135,      -5.407438968,      -4.794178151,      -4.752295028,      -3.909955263,     -0.1229394755,     -0.3453887755,        3.93559146,       2.647504112
          0,           0,          15,      -3.395440269,      -5.412173376,      -4.790277123,       -4.69407134,      -3.915865783,       -0.13204989,     -0.3453240735,       3.923689242,        2.66503214
          0,           0,          16,      -3.401584924,      -5.415971992,      -4.780459302,      -4.650205371,      -3.921406554,     -0.1391726518,     -0.3431918044,       3.915436482,       2.682497924
          0,           0,          17,      -3.407237994,      -5.420113836,      -4.767593197,      -4.614988646,      -3.926653908,      -0.143592706,       -0.33938331,       3.909978697,       2.706607605
          0,           0,          18,      -3.412948706,      -5.426003045,      -4.755806027,      -4.584033828,      -3.931896677,     -0.1431102607,     -0.3231799059,        3.90643991,       2.735371821
          0,           0,          19,      -3.419053977,      -5.433771486,      -4.748489042,      -4.557256654,      -3.937408069,     -0.1446868449,     -0.3230488909,       3.902551234,       2.764313692
          0,           0,          20,      -3.425083235,      -5.443515754,      -4.747187658,       -4.52944095,      -3.942189818,     -0.1449124315,     -0.3180109469,       3.900150271,        2.79345391
          0,           0,          21,      -3.431016363,      -5.454211809,       -4.75246048,      -4.499963134,      -3.946244141,     -0.1437447258,     -0.3109817714,       3.898764192,       2.820318457
          0,           0,          22,      -3.436732703,      -5.464426474,       -4.76646223,      -4.470113363,      -3.949718916,     -0.1419319636,       -0.30288637,       3.897962794,       2.842757424
          0,           0,          23,      -3.441813959,      -5.471562458,      -4.784802903,      -4.446078092,      -3.953150146,     -0.1392650938,     -0.2943224247,       3.896884834,       2.853283548
          0,           0,          24,      -3.445749304,      -5.475549018,      -4.797355971,      -4.425345678,      -3.955898317,     -0.1412893261,     -0.2862881576,        3.89599528,       2.857197417
          0,           0,          25,      -3.449100172,      -5.478715777,      -4.801048581,      -4.407190612,      -3.958316425,     -0.1424742013,     -0.2788295337,       3.896486746,        2.86118548
          0,           0,          26,      -3.452450433,      -5.482460184,      -4.801951893,      -4.392353588,      -3.960874463,     -0.1394425047,     -0.2715092053,       3.897500571,       2.866623662
          0,           0,          27,      -3.456114583,      -5.487226182,      -4.808449457,      -4.381181783,      -3.963581006,     -0.1349966573,     -0.2644453962,       3.898058527,        2.87292386
          0,           0,          28,         -3.460066,      -5.491783739,       -4.81843369,       -4.37467991,      -3.966445901,      -0.133664495,     -0.2574511835,       3.897534942,       2.876979448
          0,           0,          29,      -3.463547828,      -5.494750322,       -4.81785438,      -4.373862368,       -3.96921966,     -0.1358127777,     -0.2510651853,       3.897049819,       2.875356277
          0,           0,          30,      -3.466311493,      -5.496905432,      -4.807127755,      -4.373381195,        -3.9714699,     -0.1334398837,     -0.2437144945,       3.898283626,       2.876065048
          0,           0,          31,      -3.469085672,      -5.500011192,       -4.79738128,      -4.373855792,      -3.973875757,     -0.1288367378,     -0.2362695421,       3.899735516,        2.87881553
          0,           0,          32,      -3.471940595,      -5.505388426,      -4.796266421,      -4.374307133,      -3.976053814,       -0.12613312,      -0.229069071,       3.900960804,       2.882847731
          0,           0,          33,      -3.474897334,      -5.511725892,      -4.799602854,      -4.372053493,      -3.977571641,     -0.1221593092,     -0.2217765181,        3.90185662,       2.889443557
          0,           0,          34,      -3.478480889,      -5.517824263,      -4.800869897,      -4.367239542,      -3.979373847,     -0.1211946837,     -0.2150196584,        3.90189184,       2.896422539
          0,           0,          35,      -3.481802869,      -5.522006688,      -4.799449378,       -4.36146412,      -3.981211797,     -0.1159354314,     -0.2071573376,       3.902232448,       2.901638805
          0,           0,          36,      -3.484207426,      -5.524094897,      -4.798966595,       -4.35678164,      -3.982747879,     -0.1109441778,     -0.1984594146,       3.903539912,       2.902748283
          0,           0,          37,      -3.485829236,      -5.526357645,      -4.800316786,      -4.354565167,      -3.983781469,      -0.119524203,     -0.1907360548,       3.905668264,       2.899439284
          0,           0,          38,      -3.487258817,      -5.528514187,      -4.799528195,      -4.351421826,      -3.984487062,     -0.1253583667,     -0.1835062013,       3.907966994,       2.898471724
          0,           0,          39,      -3.489080712,      -5.531198443,      -4.797914595,      -4.347632149,      -3.985415785,     -0.1257728508,     -0.1767839725,       3.910490996,       2.900495939
          0,           0,          40,      -3.491670386,      -5.534813804,      -4.798897778,      -4.342959139,      -3.986759002,     -0.1250575079,     -0.1703652822,       3.912158341,       2.905361838
          0,           0,          41,      -3.494358149,      -5.537805356,      -4.803451844,      -4.337176155,      -3.987903036,     -0.1244313429,     -0.1636528934,       3.913464023,       2.911759995
          0,           0,          42,      -3.496566574,      -5.538309537,      -4.807530956,      -4.330835454,      -3.988794883,      -0.130190615,     -0.1571643068,        3.91461881,       2.916276739
          0,           0,          43,      -3.497941035,      -5.536217628,       -4.80471856,       -4.32523567,      -3.989774021,      -0.134253632,     -0.1504184674,       3.915514081,       2.917634917
          0,           0,          44,      -3.498929608,      -5.535035591,      -4.796034834,      -4.319373453,      -3.990780861,     -0.1352106713,     -0.1438504259,       3.917675056,       2.920343974
          0,           0,          45,      -3.500581514,       -5.53724312,      -4.789866903,      -4.313440662,      -3.992285874,     -0.1358785255,     -0.1371910694,       3.919732002,        2.92533534
          0,           0,          46,      -3.502339569,      -5.541455868,      -4.791252864,      -4.306991842,      -3.993362684,     -0.1387242289,     -0.1306152139,       3.921811838,       2.930903261
          0,           0,          47,      -3.504117411,      -5.546719131,      -4.796847674,      -4.300360926,      -3.993983344,     -0.1432284195,     -0.1242886581,        3.92323066,       2.935721091
