"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677539848e-03,1.084882933355e-05,1.561057979416e-05,1.514174918782e-08,3.473610850051e-04,9.244609832764e+00,-1.616416689387e-08,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543001174927e-01,7.130289450288e-03,1.025990489870e-02,9.951770152838e-06,2.282997667789e-01,4.760039062500e+02,9.010075073242e+02,9.010001220703e+02,8.979963302612e+00,1.386572847650e-07,3.909065344487e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.989104509354e-02,5.077295936644e-03,0.000000000000e+00
1.147677656263e-03,1.084913401428e-05,1.561047974974e-05,1.509127223187e-08,3.473608521745e-04,9.244609832764e+00,6.685846187793e-08,0.000000000000e+00,3.455438671875e+04,4.552040100098e+01,7.543001770973e-01,7.130489684641e-03,1.025983877480e-02,9.918593605107e-06,2.282996028662e-01,4.760065917969e+02,9.010126953125e+02,9.010002441406e+02,8.979937553406e+00,2.343712424135e-07,3.909080623998e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.999999865890e-02,0.000000000000e+00,0.000000000000e+00
1.147677656263e-03,1.084911309590e-05,1.561048884469e-05,1.509492619789e-08,3.473608812783e-04,9.244610786438e+00,6.164854085000e-07,0.000000000000e+00,3.455439062500e+04,4.552040100098e+01,7.543001770973e-01,7.130475249141e-03,1.025984343141e-02,9.920994671120e-06,2.282996028662e-01,4.760064086914e+02,9.010123291016e+02,9.010002441406e+02,8.979939460754e+00,2.285101174948e-07,3.909079896403e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.594434052706e-02,5.339539796114e-02,0.000000000000e+00
1.147677772678e-03,1.084922587324e-05,1.561045064591e-05,1.507616254059e-08,3.473607939668e-04,9.244610786438e+00,6.481557761617e-07,0.000000000000e+00,3.455439062500e+04,4.552040863037e+01,7.543001770973e-01,7.130549754947e-03,1.025981921703e-02,9.908662832459e-06,2.282995432615e-01,4.760074157715e+02,9.010142822266e+02,9.010002441406e+02,8.979929924011e+00,2.639385741077e-07,3.909085353371e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.837860912085e-02,4.893845319748e-02,0.000000000000e+00
1.147677539848e-03,1.084886480385e-05,1.561056888022e-05,1.513581260326e-08,3.473610559013e-04,9.244609832764e+00,3.096181444562e-07,0.000000000000e+00,3.455439062500e+04,4.552038574219e+01,7.543001174927e-01,7.130312733352e-03,1.025989651680e-02,9.947867511073e-06,2.282997369766e-01,4.760042114258e+02,9.010081176758e+02,9.010001831055e+02,8.979960441589e+00,1.502249631358e-07,3.909067163477e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.259059742093e-02,3.969957679510e-02,0.000000000000e+00
1.147677539848e-03,1.084889481717e-05,1.561055796628e-05,1.513082281690e-08,3.473610267974e-04,9.244609832764e+00,3.293285146810e-07,0.000000000000e+00,3.455439062500e+04,4.552038955688e+01,7.543001174927e-01,7.130332291126e-03,1.025988999754e-02,9.944588782673e-06,2.282997220755e-01,4.760044860840e+02,9.010086059570e+02,9.010001831055e+02,8.979957580566e+00,1.597076817461e-07,3.909068618668e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.059713870287e-02,4.437031224370e-02,0.000000000000e+00
1.147677656263e-03,1.084910672944e-05,1.561048884469e-05,1.509581792902e-08,3.473608812783e-04,9.244609832764e+00,2.947506061446e-07,0.000000000000e+00,3.455438671875e+04,4.552040100098e+01,7.543001770973e-01,7.130471523851e-03,1.025984436274e-02,9.921582204697e-06,2.282996177673e-01,4.760063476562e+02,9.010122070312e+02,9.010002441406e+02,8.979940414429e+00,2.259612870148e-07,3.909079532605e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.435146391392e-02,3.493629023433e-02,0.000000000000e+00
1.147677539848e-03,1.084879295377e-05,1.561059070809e-05,1.514760405996e-08,3.473611141089e-04,9.244609832764e+00,1.621780398864e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130265701562e-03,1.025991234928e-02,9.955618224922e-06,2.282997816801e-01,4.760035705566e+02,9.010068969727e+02,9.010001220703e+02,8.979966163635e+00,1.276169712128e-07,3.909063525498e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.587431415915e-02,3.009165637195e-02,0.000000000000e+00
1.147677423432e-03,1.084877112589e-05,1.561059798405e-05,1.515120651163e-08,3.473611432128e-04,9.244609832764e+00,1.316288802400e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130251731724e-03,1.025991700590e-02,9.957985639630e-06,2.282997965813e-01,4.760033874512e+02,9.010065307617e+02,9.010001220703e+02,8.979968070984e+00,1.207688598015e-07,3.909062434104e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.715603008866e-02,2.517771720886e-02,0.000000000000e+00
1.147677539848e-03,1.084879386326e-05,1.561059070809e-05,1.514752590026e-08,3.473611141089e-04,9.244609832764e+00,1.169846726157e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130266167223e-03,1.025991234928e-02,9.955566383724e-06,2.282997816801e-01,4.760036010742e+02,9.010068969727e+02,9.010001220703e+02,8.979966163635e+00,1.277146850498e-07,3.909063525498e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.819588899612e-02,2.020695805550e-02,0.000000000000e+00
1.147677539848e-03,1.084884479496e-05,1.561057433719e-05,1.513904734907e-08,3.473610850051e-04,9.244609832764e+00,1.103105660150e-07,0.000000000000e+00,3.455439062500e+04,4.552038574219e+01,7.543001174927e-01,7.130299694836e-03,1.025990117341e-02,9.949994819181e-06,2.282997518778e-01,4.760040283203e+02,9.010077514648e+02,9.010001220703e+02,8.979961395264e+00,1.437373953195e-07,3.909066072083e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.899550020695e-02,1.519192568958e-02,0.000000000000e+00
1.147677656263e-03,1.084921950678e-05,1.561045246490e-05,1.507720881477e-08,3.473607939668e-04,9.244609832764e+00,1.529689939161e-07,0.000000000000e+00,3.455438671875e+04,4.552040481567e+01,7.543001770973e-01,7.130545563996e-03,1.025982014835e-02,9.909351319948e-06,2.282995432615e-01,4.760073242188e+02,9.010141601562e+02,9.010002441406e+02,8.979930877686e+00,2.611808440633e-07,3.909084989573e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.955864861608e-02,1.014483999461e-02,0.000000000000e+00
1.147678005509e-03,1.084977975552e-05,1.561027056596e-05,1.498509050180e-08,3.473603574093e-04,9.244609832764e+00,1.189022285075e-07,0.000000000000e+00,3.455438671875e+04,4.552043533325e+01,7.543002963066e-01,7.130912970752e-03,1.025970000774e-02,9.848806257651e-06,2.282992452383e-01,4.760122680664e+02,9.010236206055e+02,9.010004272461e+02,8.979884147644e+00,4.365994925593e-07,3.909113365808e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.779657140374e-02,1.007037237287e-02,0.000000000000e+00
1.147678121924e-03,1.085003168555e-05,1.561019053042e-05,1.494378842892e-08,3.473601536825e-04,9.244609832764e+00,2.385800428328e-07,0.000000000000e+00,3.455438671875e+04,4.552045059204e+01,7.543003559113e-01,7.131078280509e-03,1.025964692235e-02,9.821660569287e-06,2.282991111279e-01,4.760144653320e+02,9.010278930664e+02,9.010005493164e+02,8.979863166809e+00,5.155501412446e-07,3.909126098733e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.837011337280e-02,0.000000000000e+00,0.000000000000e+00
1.147677889094e-03,1.084948507923e-05,1.561036879139e-05,1.503381241719e-08,3.473606193438e-04,9.244610786438e+00,1.052292532222e-06,0.000000000000e+00,3.455439062500e+04,4.552042388916e+01,7.543002367020e-01,7.130719255656e-03,1.025976426899e-02,9.880827747111e-06,2.282994091511e-01,4.760097045898e+02,9.010186767578e+02,9.010003662109e+02,8.979908943176e+00,3.460264110799e-07,3.909098450094e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.330509528518e-02,5.773413926363e-02,0.000000000000e+00
1.147677772678e-03,1.084928589989e-05,1.561043245601e-05,1.506659330630e-08,3.473607648630e-04,9.244610786438e+00,9.558259534970e-07,0.000000000000e+00,3.455439062500e+04,4.552041244507e+01,7.543001770973e-01,7.130588870496e-03,1.025980617851e-02,9.902373676596e-06,2.282995134592e-01,4.760079650879e+02,9.010152587891e+02,9.010003051758e+02,8.979925155640e+00,2.836107171333e-07,3.909088627552e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.047266766429e-02,6.194934248924e-02,0.000000000000e+00
1.147678121924e-03,1.084974337573e-05,1.561028693686e-05,1.499174295816e-08,3.473604156170e-04,9.244611740112e+00,1.596360903022e-06,0.000000000000e+00,3.455439062500e+04,4.552043914795e+01,7.543002963066e-01,7.130888290703e-03,1.025970932096e-02,9.853177289187e-06,2.282992601395e-01,4.760120239258e+02,9.010230712891e+02,9.010004272461e+02,8.979887008667e+00,4.285917611924e-07,3.909111546818e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.745947778225e-02,6.603732705116e-02,0.000000000000e+00
