"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.063252910972e-01,9.630729444325e-03,6.219279603101e-04,2.392327005509e-04,2.640949375927e-02,9.955529822037e-05,-1.649937985349e-05,0.000000000000e+00,5.403147500000e+05,4.250181640625e+03,7.423567771912e-01,6.724116951227e-02,4.342263564467e-03,1.670308294706e-03,1.843894869089e-01,5.400992968750e+04,1.122897338867e+03,8.922390747070e+02,9.521282891001e-07,1.906152367592e+00,4.559276931104e-05,-6.253870310502e-07,-1.910246282932e-05,0.000000000000e+00,1.828025375000e+06,5.879754424095e-01,-4.500000178814e-02,0.000000000000e+00,0.000000000000e+00
5.625713244081e-02,2.011956239585e-04,5.338228220353e-05,4.291883669794e-03,1.920248940587e-02,5.872785186511e-05,5.508858976100e-06,0.000000000000e+00,5.594326250000e+05,7.081314453125e+03,7.031607031822e-01,2.514753956348e-03,6.672277813777e-04,5.364446714520e-02,2.400128543377e-01,5.417341406250e+04,1.849486328125e+03,1.450105712891e+03,7.358471521002e-07,1.911973357201e+00,6.580181070603e-05,1.106185391109e-05,3.378926194273e-04,0.000000000000e+00,2.337134750000e+06,4.023970603943e+00,-4.496860504150e-02,9.590052068233e-04,0.000000000000e+00
5.319546535611e-02,1.160250903922e-04,4.525121039478e-05,7.956461049616e-03,1.934413239360e-02,1.039821313498e-06,5.337129209693e-07,0.000000000000e+00,6.826656875000e+05,7.449983398438e+03,6.595242023468e-01,1.438493956812e-03,5.610303487629e-04,9.864522516727e-02,2.398310452700e-01,5.445207421875e+04,1.779079101562e+03,1.517218139648e+03,1.442057584455e-08,1.921895503998e+00,6.459132418968e-05,4.731876833830e-05,1.445480389521e-03,0.000000000000e+00,3.420828750000e+06,6.292115688324e+00,-4.493654146791e-02,1.938362023793e-03,0.000000000000e+00
1.095217689872e-01,2.833384787664e-03,2.495398803148e-04,3.001334145665e-03,3.400657325983e-02,3.212996446678e-08,-8.068624879343e-09,0.000000000000e+00,7.417584375000e+05,4.054428222656e+03,7.320356965065e-01,1.893814280629e-02,1.667906879447e-03,2.006070502102e-02,2.272975146770e-01,5.274179687500e+04,9.995477905273e+02,8.680133056641e+02,3.076725541007e-10,1.860998630524e+00,4.220028495183e-05,9.739648521645e-05,1.503021805547e-03,0.000000000000e+00,3.018675000000e+06,2.499432563782e+00,-4.490365087986e-02,2.943140920252e-03,0.000000000000e+00
1.011412590742e-01,3.097455715761e-03,2.349755959585e-04,1.775549491867e-03,3.097415529191e-02,1.373856028941e-09,8.145285140815e-11,0.000000000000e+00,6.582005625000e+05,4.476734863281e+03,7.370554804802e-01,2.257235907018e-02,1.712358091027e-03,1.293911598623e-02,2.257206588984e-01,5.429716406250e+04,1.130263549805e+03,9.335996704102e+02,1.316555458403e-11,1.916379690170e+00,4.591738979798e-05,1.559064257890e-04,1.582944532856e-03,0.000000000000e+00,2.688848500000e+06,4.561986923218e+00,-4.480946063995e-02,3.899460425600e-03,0.000000000000e+00
5.397586151958e-02,1.213499708683e-04,4.346778951003e-05,5.132835358381e-03,1.887168176472e-02,5.232518238141e-11,4.742416528924e-12,0.000000000000e+00,5.803130625000e+05,7.653479492188e+03,6.907124519348e-01,1.552878180519e-03,5.562438745983e-04,6.568331271410e-02,2.414950877428e-01,5.324355859375e+04,1.841206176758e+03,1.529535034180e+03,6.680670556689e-13,1.878864526749e+00,6.577526801266e-05,2.654192794580e-04,2.694847295061e-03,0.000000000000e+00,2.940390500000e+06,1.050057029724e+01,-4.470517486334e-02,4.958316683769e-03,0.000000000000e+00
4.019647464156e-02,3.456540071056e-05,2.850240525731e-05,5.335292778909e-03,1.445153076202e-02,1.516020382147e-12,-2.646779280122e-13,0.000000000000e+00,5.219881250000e+05,1.080895019531e+04,6.694239377975e-01,5.756451864727e-04,4.746732593048e-04,8.885288238525e-02,2.406728565693e-01,5.388088671875e+04,2.381533935547e+03,2.096782714844e+03,2.214230352077e-14,1.901557445526e+00,7.988116703928e-05,8.232329273596e-04,6.202832795680e-03,0.000000000000e+00,2.947759000000e+06,1.942681121826e+01,-4.461501911283e-02,5.873678717762e-03,0.000000000000e+00
3.579515963793e-02,2.074916210404e-06,2.777455119940e-05,1.248380634934e-02,1.540942210704e-02,-1.364702014589e-11,3.055697188337e-12,0.000000000000e+00,7.642364375000e+05,7.719050781250e+03,5.617725849152e-01,3.256392665207e-05,4.358964215498e-04,1.959220319986e-01,2.418369203806e-01,5.223570703125e+04,2.005157958984e+03,1.854254638672e+03,1.963551798370e-13,1.842978596687e+00,7.196996011771e-05,6.741059478372e-04,4.082999657840e-03,0.000000000000e+00,3.737073250000e+06,1.057725906372e+01,-4.445527866483e-02,6.841213442385e-03,0.000000000000e+00
7.576406747103e-02,5.510140908882e-04,8.642306784168e-05,7.001005113125e-03,2.598977833986e-02,-3.072260154613e-11,4.354866727646e-12,0.000000000000e+00,7.480441875000e+05,5.011248046875e+03,6.925905942917e-01,5.037046503276e-03,7.900288910605e-04,6.399907171726e-02,2.375832647085e-01,5.203779296875e+04,1.290743041992e+03,1.098800170898e+03,3.374921598697e-13,1.835931539536e+00,5.090360355098e-05,8.193067042157e-04,4.962467588484e-03,0.000000000000e+00,3.253674750000e+06,6.821084022522e+00,-4.427308216691e-02,7.944761775434e-03,0.000000000000e+00
1.192742288113e-01,2.559519140050e-03,3.229474532418e-04,3.649809164926e-03,3.781924024224e-02,-3.481191723775e-11,2.491181956901e-12,0.000000000000e+00,8.165396875000e+05,3.634174316406e+03,7.289453744888e-01,1.564252004027e-02,1.973695820197e-03,2.230583690107e-02,2.311325818300e-01,5.033206640625e+04,8.681583251953e+02,7.966842651367e+02,3.171017322421e-13,1.775196790695e+00,3.831093272311e-05,1.076389802620e-03,5.470878444612e-03,0.000000000000e+00,3.236052500000e+06,3.571583747864e+00,-4.413533583283e-02,8.779064752162e-03,0.000000000000e+00
8.009159564972e-02,8.762116776779e-04,1.058906491380e-04,4.485294222832e-03,2.682889066637e-02,6.258762171724e-12,-1.012647214346e-12,0.000000000000e+00,6.775807500000e+05,4.897967285156e+03,7.126355171204e-01,7.796318270266e-03,9.421892464161e-04,3.990905359387e-02,2.387169450521e-01,5.187764062500e+04,1.276730712891e+03,1.064453491211e+03,6.829505358593e-14,1.830229163170e+00,5.029912426835e-05,1.150121213868e-03,4.932600539178e-03,0.000000000000e+00,3.060001750000e+06,8.901114463806e+00,-4.396628588438e-02,9.504091925919e-03,0.000000000000e+00
6.660039722919e-02,3.460045554675e-04,6.402556027751e-05,5.336565431207e-03,2.297195605934e-02,1.456945328271e-11,-1.810499883695e-12,0.000000000000e+00,6.433108750000e+05,6.006407226562e+03,6.987109780312e-01,3.629966406152e-03,6.716981879435e-04,5.598641186953e-02,2.410009354353e-01,5.030331250000e+04,1.438035888672e+03,1.251991455078e+03,1.740749607177e-13,1.774172902107e+00,5.491663250723e-05,1.350429258309e-03,5.791675299406e-03,0.000000000000e+00,3.096497750000e+06,1.107386398315e+01,-4.378161951900e-02,1.029608212411e-02,0.000000000000e+00
7.138141244650e-02,3.707506402861e-04,7.114814070519e-05,6.760020740330e-03,2.482668496668e-02,-1.847235212016e-11,4.107558043698e-12,0.000000000000e+00,7.217489375000e+05,5.745871093750e+03,6.902756094933e-01,3.585248952731e-03,6.880198488943e-04,6.537104398012e-02,2.400800883770e-01,5.167769921875e+04,1.352224121094e+03,1.192336669922e+03,2.123501705422e-13,1.823109865189e+00,5.264571518637e-05,1.312580308877e-03,5.629349965602e-03,0.000000000000e+00,3.480778500000e+06,1.016809558868e+01,-4.360124096274e-02,1.106968522072e-02,0.000000000000e+00
5.495099723339e-02,1.781226892490e-04,4.651117706089e-05,6.275526247919e-03,1.946903206408e-02,-1.774289916379e-12,-2.351435289972e-13,0.000000000000e+00,6.185632500000e+05,6.690758789062e+03,6.790764927864e-01,2.201214432716e-03,5.747783579864e-04,7.755204290152e-02,2.405954748392e-01,4.949155859375e+04,1.638168823242e+03,1.425542358398e+03,2.317143161102e-14,1.745269298553e+00,6.057474456611e-05,2.491305349395e-03,9.212642908096e-03,0.000000000000e+00,3.215916000000e+06,1.480427265167e+01,-4.346666112542e-02,1.164685748518e-02,0.000000000000e+00
5.000178888440e-02,1.096732376027e-04,3.882774763042e-05,6.494687404484e-03,1.797785609961e-02,1.347863209933e-10,-1.846080621704e-09,0.000000000000e+00,6.036443750000e+05,7.243385742188e+03,6.700602173805e-01,1.469700713642e-03,5.203199107200e-04,8.703351020813e-02,2.409162819386e-01,4.985534765625e+04,1.775612670898e+03,1.542169555664e+03,2.483924871344e-11,1.758222460747e+00,6.435217073886e-05,2.548590069637e-03,8.401576429605e-03,0.000000000000e+00,3.109018000000e+06,1.757080650330e+01,-4.326855018735e-02,1.229995116591e-02,0.000000000000e+00
4.286320507526e-02,5.481420157594e-05,2.922788917203e-05,5.835847463459e-03,1.547413039953e-02,1.570886922764e-07,-2.044001234935e-07,0.000000000000e+00,5.410788750000e+05,8.150926269531e+03,6.670565605164e-01,8.530433988199e-04,4.548576253001e-04,9.082009643316e-02,2.408154159784e-01,4.860642578125e+04,2.004392700195e+03,1.756014038086e+03,3.774236034815e-09,1.713752746582e+00,7.036862371024e-05,2.871697535738e-03,9.466718882322e-03,0.000000000000e+00,2.652896250000e+06,2.192744255066e+01,-4.301986843348e-02,1.311973854899e-02,0.000000000000e+00
5.505674332380e-02,1.407895615557e-04,4.691323920269e-05,9.333391673863e-03,2.048840187490e-02,3.097661465290e-05,-9.637934454076e-06,0.000000000000e+00,7.344669375000e+05,6.013494140625e+03,6.472219824791e-01,1.655058003962e-03,5.514906952158e-04,1.097191050649e-01,2.408523261547e-01,4.951755859375e+04,1.519959228516e+03,1.354036621094e+03,4.082324096544e-07,1.746194958687e+00,5.776088801213e-05,3.018981078640e-03,9.952246211469e-03,0.000000000000e+00,3.979999000000e+06,1.237164783478e+01,-4.277633503079e-02,1.392256282270e-02,0.000000000000e+00
8.254808932543e-02,8.386671543121e-04,1.196750381496e-04,7.123185321689e-03,2.795864641666e-02,2.327542460989e-05,-4.190354047751e-06,0.000000000000e+00,7.667167500000e+05,3.591999755859e+03,6.960898637772e-01,7.072092499584e-03,1.009164261632e-03,6.006652861834e-02,2.357623428106e-01,4.488590234375e+04,1.031638793945e+03,9.236445312500e+02,2.661497262579e-07,1.581278204918e+00,4.343041291577e-05,2.989123808220e-03,8.753570728004e-03,0.000000000000e+00,3.103967750000e+06,6.180190563202e+00,-4.261185601354e-02,1.446477603167e-02,0.000000000000e+00
5.814066901803e-02,1.875712187029e-04,4.994373739464e-05,8.402461186051e-03,2.107108570635e-02,5.574507895290e-07,-7.279383140713e-08,0.000000000000e+00,7.096314375000e+05,5.718197265625e+03,6.618044972420e-01,2.135088434443e-03,5.685003125109e-04,9.564366191626e-02,2.398482859135e-01,4.797491406250e+04,1.442562622070e+03,1.295586669922e+03,7.082641140244e-09,1.691267013550e+00,5.546325337491e-05,3.303796052933e-03,8.779434487224e-03,0.000000000000e+00,3.660449500000e+06,1.217769813538e+01,-4.238941892982e-02,1.505563687533e-02,0.000000000000e+00
4.777460172772e-02,1.071438673534e-04,3.489221489872e-05,6.020494736731e-03,1.705101691186e-02,1.063465315809e-08,-3.396427583624e-11,0.000000000000e+00,5.651788750000e+05,6.552449707031e+03,6.729940176010e-01,1.509320456535e-03,4.915216704831e-04,8.480985462666e-02,2.401952594519e-01,4.605373437500e+04,1.727971191406e+03,1.504551635742e+03,1.522818399158e-10,1.622860550880e+00,6.305316492217e-05,3.373615443707e-03,8.965695276856e-03,0.000000000000e+00,2.578669000000e+06,1.978349494934e+01,-4.209675267339e-02,1.583359949291e-02,0.000000000000e+00
6.040931120515e-02,2.750965359155e-04,5.510629853234e-05,7.060688920319e-03,2.126890234649e-02,7.035862170657e-11,4.380600396314e-11,0.000000000000e+00,6.660745625000e+05,5.186479980469e+03,6.782296895981e-01,3.088574158028e-03,6.186914979480e-04,7.927203178406e-02,2.387910187244e-01,4.699207031250e+04,1.412846679688e+03,1.224370239258e+03,1.049584356060e-12,1.656271338463e+00,5.445876013255e-05,3.292459994555e-03,8.746421895921e-03,0.000000000000e+00,2.861304000000e+06,1.365962314606e+01,-4.179723188281e-02,1.662942208350e-02,0.000000000000e+00
