"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -3.154633922,       -5.17908702,      -5.021030822,      -8.022859303,      -3.673672141,       -13.7689933,      -16.11109197,       4.320339928,       1.082296155
          0,           0,           1,      -3.170197266,      -5.185335683,      -4.997034846,      -6.433295381,      -3.689615037,      0.7153827669,     0.07417557276,       5.285849586,       2.174633125
          0,           0,           2,      -3.247881778,       -5.28193946,      -5.116209319,      -6.739696787,      -3.766965927,      0.2109523556,     -0.2434667356,       4.151407946,       3.422023468
          0,           0,           3,      -3.278840987,      -5.309258019,      -5.132406632,      -6.742635805,      -3.798056447,     -0.0212561948,     -0.3657702074,       3.937331026,       3.284936879
          0,           0,           4,      -3.282877943,      -5.309807341,      -5.128862918,      -6.676432742,      -3.802151984,    -0.03463937712,     -0.4470209544,       3.776333688,       3.218047259
          0,           0,           5,      -3.277435107,      -5.299126713,      -5.116344871,       -6.65582799,      -3.796743348,     -0.1058097274,     -0.5284008049,       3.764757675,       3.184113469
          0,           0,           6,      -3.270204921,      -5.288553323,      -5.103084316,      -6.602102048,      -3.789549561,     -0.1382739386,     -0.5530590025,       3.731192322,       3.162115652
          0,           0,           7,        -3.2652807,      -5.281870283,      -5.091918806,      -6.538785964,      -3.784679067,     -0.1642371275,     -0.5461741367,       3.710998209,       3.145294246
          0,           0,           8,      -3.262978834,      -5.278473681,      -5.082175554,      -6.460808598,       -3.78245085,     -0.1701152436,     -0.5344086009,       3.705038342,       3.132041513
          0,           0,           9,      -3.264254215,      -5.278848054,      -5.073698584,      -6.371989315,      -3.783828965,     -0.1734139887,     -0.5158507739,       3.701791767,       3.120074057
          0,           0,          10,      -3.269734701,      -5.283470228,      -5.066058151,      -6.274750831,      -3.789453901,     -0.1684374207,     -0.4906944477,       3.699745808,       3.107521158
          0,           0,          11,      -3.279878856,      -5.292735038,      -5.058427953,      -6.171143418,      -3.799804014,     -0.1564820019,     -0.4618550883,       3.698257854,       3.092838638
          0,           0,          12,       -3.29211395,      -5.303406258,      -5.047515995,      -6.065800509,      -3.812317444,     -0.1477830695,     -0.4304991133,        3.69909173,       3.076755631
