"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.5964568578,       3.919141849,       3.860162935,       7.793286315
          0,           0,           1,       0.577105551,       4.018549407,       3.868088742,       7.851092982
          0,           0,           2,      0.5227574375,       3.983435942,        3.81630554,       7.807230887
          0,           0,           3,      0.5119227653,       3.972687002,       3.773279223,       7.742944386
          0,           0,           4,      0.4850462856,       4.000841194,       3.814820464,       7.771698879
          0,           0,           5,      0.6000160622,        4.11853986,       3.901910577,       7.899607888
          0,           0,           6,      0.5844672578,        3.95480282,       3.854617578,       7.872406958
          0,           0,           7,      0.5345622645,       4.072871211,       3.879267804,       7.827719282
          0,           0,           8,      0.6008999796,       4.068433621,       3.892104051,       7.901923294
          0,           0,           9,      0.5760562211,       3.984670805,       3.870304458,       7.865403828
          0,           0,          10,      0.5572316014,       4.085258535,       3.902690569,       7.843735087
          0,           0,          11,      0.5993356887,        4.02380203,       3.881584284,       7.888334639
          0,           0,          12,      0.5729112935,       4.044824709,       3.880774422,       7.855052405
          0,           0,          13,      0.5788862323,       4.068043906,          3.907941,       7.863901757
          0,           0,          14,      0.5995805118,       4.006994744,       3.900876941,       7.878781751
          0,           0,          15,       0.562312153,       4.088983938,       3.908105816,       7.840505887
          0,           0,          16,      0.5904978629,       4.029593771,       3.910082778,       7.869896633
          0,           0,          17,      0.5881632645,       4.032505341,       3.916068859,       7.863183651
          0,           0,          18,      0.5819937071,       4.082301307,       3.937944005,       7.857980193
          0,           0,          19,      0.5975593051,       4.009101192,       3.920716097,       7.869426199
          0,           0,          20,      0.5626262871,       4.055388802,       3.911112607,        7.82777615
          0,           0,          21,      0.6080795245,       4.044855949,        3.94732034,        7.88033233
          0,           0,          22,      0.6042301311,        4.03839831,       3.939427104,       7.869568572
          0,           0,          23,      0.5813474411,       4.066344601,       3.926046024,       7.842888912
          0,           0,          24,      0.6062388171,       4.032602474,       3.955606351,       7.872247083
          0,           0,          25,      0.6142765602,       4.069327723,       3.955708931,       7.871120917
          0,           0,          26,      0.6029494401,       4.042636334,       3.943441163,       7.865150587
          0,           0,          27,      0.6099420959,       4.056886477,       3.979823066,       7.867333955
          0,           0,          28,      0.6184703582,       4.069832158,       3.956083552,       7.872964346
          0,           0,          29,      0.6230141918,       4.055939951,       3.970768403,       7.879714527
          0,           0,          30,      0.6149837216,       4.095518932,       3.989496193,        7.86376984
          0,           0,          31,      0.6392611554,       4.066346195,       3.982221882,       7.894002667
          0,           0,          32,       0.617501477,       4.090189632,       3.969321598,       7.872312497
          0,           0,          33,      0.6484862348,       4.087200004,       3.994047634,       7.904625532
          0,           0,          34,      0.6247831844,        4.10568553,       3.991969608,       7.875192694
          0,           0,          35,      0.6309527977,       4.133948428,       4.006379724,       7.886352044
          0,           0,          36,      0.6538529089,       4.121999538,       4.004347948,       7.911549711
          0,           0,          37,      0.6405861805,       4.110316216,       3.999789569,        7.89243879
          0,           0,          38,       0.638391846,       4.151329059,       3.995436278,       7.893851554
          0,           0,          39,      0.6625650523,       4.117377257,       4.015482307,       7.918741065
          0,           0,          40,      0.6438730758,       4.129503961,        4.01678154,       7.895501829
          0,           0,          41,      0.6591764015,       4.131780559,       4.016563733,        7.91690448
          0,           0,          42,      0.6553155039,       4.110024102,       4.015776833,       7.902840122
          0,           0,          43,      0.6336522938,       4.164802633,       4.031257905,       7.882438217
          0,           0,          44,      0.6942041911,       4.138905326,       4.056173195,       7.951784756
          0,           0,          45,      0.6743673153,        4.11176915,       4.049147186,       7.915230013
          0,           0,          46,      0.6322337407,        4.18698592,       4.049150801,       7.880074213
          0,           0,          47,      0.7153775542,        4.15575487,       4.054421792,       7.974797459
          0,           0,          48,      0.6727207399,       4.099718735,       4.046434689,       7.908405019
          0,           0,          49,      0.6339444896,        4.16008178,       4.051962265,       7.875498641
          0,           0,          50,      0.7094856537,       4.171199324,       4.062244499,       7.966634436
          0,           0,          51,      0.6789909258,       4.114785123,       4.045742003,       7.916280869
          0,           0,          52,      0.6604014966,       4.140379018,       4.056414745,       7.897134524
          0,           0,          53,       0.680802409,       4.199583868,       4.069927131,       7.933430013
          0,           0,          54,      0.7122557771,       4.119080944,       4.051611541,       7.960308748
          0,           0,          55,      0.6600479704,       4.106558408,       4.052735653,       7.889297566
          0,           0,          56,      0.6869340277,        4.14574802,        4.07799381,       7.928107335
          0,           0,          57,      0.6749841406,       4.192944928,       4.039643814,       7.916256308
          0,           0,          58,      0.7235800543,       4.153147703,       4.071475931,       7.957752069
          0,           0,          59,      0.6649001359,       4.170026525,       4.066433358,       7.895847054
          0,           0,          60,      0.7278562175,       4.153505761,       4.111963857,       7.970098667
          0,           0,          61,      0.7706121817,       4.097991597,       4.102709768,       8.017087851
          0,           0,          62,      0.6974813094,       4.070456655,        4.06600443,       7.926301379
          0,           0,          63,      0.6940929176,       4.054230094,        4.08870826,       7.920774811
          0,           0,          64,      0.6937534336,       3.991956917,       4.041449986,        7.92127882
          0,           0,          65,      0.6196158432,       3.934685022,       4.039065749,        7.83384152
          0,           0,          66,      0.6119236986,       3.951053063,       4.031646777,       7.821300865
          0,           0,          67,      0.5442538064,       3.911943478,        3.98187205,        7.77141467
          0,           0,          68,      0.4730726495,       3.849352451,       3.994777332,       7.689761964
