"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.605912593,       2.086416955,     -0.9903301693,       5.488543955
          0,           0,           1,      -1.606147276,       2.085459052,     -0.8162904541,       5.488307072
          0,           0,           2,      -1.606382312,       2.084404159,     -0.6763832458,       5.488069618
          0,           0,           3,      -1.606618627,       2.083238764,     -0.5581668241,       5.487830621
          0,           0,           4,      -1.606856842,       2.081947932,     -0.4545729617,       5.487589421
          0,           0,           5,      -1.607097369,       2.080515016,     -0.3613761069,        5.48734557
          0,           0,           6,      -1.607340469,       2.078921326,     -0.2758900875,       5.487098767
          0,           0,           7,      -1.607586301,       2.077145786,       -0.19631366,       5.486848821
          0,           0,           8,      -1.607834947,       2.075164563,     -0.1213875768,       5.486595617
          0,           0,           9,      -1.608086433,       2.072950642,    -0.05020042145,       5.486339099
          0,           0,          10,      -1.608340748,       2.070473324,     0.01792627569,       5.486079252
          0,           0,          11,      -1.608597854,       2.067697664,     0.08350928809,       5.485816094
          0,           0,          12,      -1.608857696,       2.064583801,      0.1469493998,       5.485549666
          0,           0,          13,      -1.609120208,       2.061086181,      0.2085622902,        5.48528003
          0,           0,          14,      -1.609385322,       2.057152603,      0.2685999494,       5.485007264
          0,           0,          15,      -1.609652967,       2.052723106,      0.3272652818,       5.484731463
          0,           0,          16,      -1.609923076,       2.047728607,      0.3847232287,       5.484452741
          0,           0,          17,      -1.610195585,        2.04208923,      0.4411085909,       5.484171239
          0,           0,          18,      -1.610470433,       2.035712257,      0.4965320672,       5.483887128
          0,           0,          19,      -1.610747557,       2.028489561,      0.5510847624,       5.483600623
          0,           0,          20,      -1.611026893,       2.020294363,      0.6048417032,       5.483311998
          0,           0,          21,      -1.611308371,       2.010977101,      0.6578645956,       5.483021601
          0,           0,          22,      -1.611591909,       2.000360042,      0.7102040118,       5.482729874
          0,           0,          23,      -1.611877416,       1.988230218,      0.7619010515,       5.482437378
          0,           0,          24,       -1.61216478,       1.974329952,       0.812988795,       5.482144815
          0,           0,          25,       -1.61245388,       1.958343951,      0.8634933649,       5.481853054
          0,           0,          26,      -1.612744575,       1.939881361,      0.9134348242,       5.481563166
          0,           0,          27,      -1.613036716,       1.918450241,       0.962827914,       5.481276459
          0,           0,          28,      -1.613330138,        1.89342089,       1.011631868,       5.480994518
          0,           0,          29,      -1.613624664,       1.863970322,       1.059784519,       5.480719268
          0,           0,          30,      -1.613920134,        1.82899488,        1.10732645,       5.480453001
          0,           0,          31,      -1.614216439,       1.786973722,       1.154294153,       5.480198392
          0,           0,          32,      -1.614513526,       1.735743844,       1.200714975,       5.479958562
          0,           0,          33,       -1.61481142,       1.672126202,       1.246605623,       5.479737137
          0,           0,          34,      -1.615111054,       1.591334708,       1.291967759,       5.479537452
          0,           0,          35,      -1.615413585,       1.486456147,       1.336792765,       5.479363363
          0,           0,          36,      -1.615719609,       1.351860281,        1.38107115,       5.479220212
          0,           0,          37,      -1.616029326,       1.221460675,       1.424788504,       5.479114772
          0,           0,          38,      -1.616342974,       1.254510645,       1.467922373,       5.479054893
          0,           0,          39,      -1.616660807,       1.429560103,       1.510443783,       5.479049658
          0,           0,          40,      -1.616982923,       1.598242965,       1.552318622,        5.47910969
          0,           0,          41,      -1.617308885,       1.737063775,       1.593507448,       5.479247652
          0,           0,          42,      -1.617636861,       1.852445607,       1.633969847,       5.479479303
          0,           0,          43,      -1.617963667,       1.950944949,       1.673662894,       5.479823644
          0,           0,          44,      -1.618284479,       2.037002127,       1.712536198,        5.48030338
          0,           0,          45,      -1.618592487,       2.113532916,       1.750531481,       5.480945355
          0,           0,          46,      -1.618887291,        2.18247404,        1.78747784,       5.481771548
          0,           0,          47,      -1.619172017,       2.245081114,       1.822952354,        5.48280152
          0,           0,          48,      -1.619539576,       2.299369323,        1.85614488,       5.483962205
          0,           0,          49,         -1.620438,       2.340402799,       1.885612287,       5.484978166
          0,           0,          50,      -1.622685781,       2.366301423,       1.909569073,       5.485402979
          0,           0,          51,      -1.627248148,       2.375347194,       1.922405245,       5.484534666
          0,           0,          52,      -1.635217176,        2.36924097,       1.923151206,       5.481561506
          0,           0,          53,      -1.647398838,       2.350812231,       1.913210677,       5.475294488
          0,           0,          54,      -1.663829362,       2.322496226,       1.894220719,       5.464549838
          0,           0,          55,      -1.683782833,       2.286337928,       1.867855317,       5.448489266
          0,           0,          56,      -1.705137303,       2.243937965,       1.835674324,       5.427232224
          0,           0,          57,      -1.723803194,       2.196659505,       1.799263622,       5.403194184
          0,           0,          58,       -1.73456236,       2.145792982,       1.760639283,        5.38211937
          0,           0,          59,      -1.733513156,       2.092736208,       1.722721029,       5.371605737
          0,           0,          60,      -1.720081294,       2.039386502,         1.6893676,       5.377911519
          0,           0,          61,       -1.69459088,       1.988088334,       1.664173159,       5.405524908
          0,           0,          62,      -1.624363968,       1.942340285,       1.650393884,       5.504861244
          0,           0,          63,      -1.531508825,       1.903556919,       1.658681872,       5.628310055
          0,           0,          64,      -1.450934338,       1.870009536,       1.689152651,       5.727944193
          0,           0,          65,       -1.39240494,       1.838943335,       1.725889139,       5.797341028
          0,           0,          66,      -1.349752803,       1.808521541,       1.765467174,       5.846149364
          0,           0,          67,      -1.316594369,       1.776436156,       1.810962091,       5.882521689
          0,           0,          68,      -1.300508628,       1.741567087,       1.836963353,       5.899338051
          0,           0,          69,      -1.296983897,       1.706099469,       1.847342272,        5.90169717
          0,           0,          70,      -1.301876292,        1.67303736,       1.845838402,       5.894270021
          0,           0,          71,      -1.312995404,       1.643679286,       1.836179553,       5.879553837
          0,           0,          72,      -1.328552821,       1.620451905,       1.820865059,       5.859517973
          0,           0,          73,      -1.347126794,       1.605064777,       1.801809274,       5.835741944
          0,           0,          74,      -1.367663919,       1.598770238,       1.780591015,       5.809431486
          0,           0,          75,      -1.388718613,        1.60524326,         1.7586261,       5.782323136
          0,           0,          76,      -1.408753994,       1.622915461,       1.737228037,       5.756803414
          0,           0,          77,      -1.426521894,       1.642405613,       1.718647604,       5.735591212
          0,           0,          78,      -1.440596834,       1.658096194,       1.704611533,           5.72176
          0,           0,          79,      -1.450999159,       1.669292429,       1.694840915,       5.715053848
          0,           0,          80,      -1.458853286,       1.674709704,       1.688441937,       5.713033515
          0,           0,          81,      -1.465397203,       1.674284355,       1.684495696,       5.713142124
          0,           0,          82,      -1.471402443,       1.668773923,       1.682578104,       5.713676659
          0,           0,          83,      -1.476915637,       1.659070938,       1.683607481,        5.71417259
          0,           0,          84,      -1.483807177,       1.645201209,       1.682713268,       5.711833825
          0,           0,          85,       -1.49253456,       1.629191449,       1.678843331,       5.705886848
          0,           0,          86,      -1.502536943,       1.613086584,       1.671735454,       5.697018198
          0,           0,          87,      -1.513937416,       1.596311363,       1.661683054,       5.685174481
          0,           0,          88,      -1.526358848,       1.579862119,       1.649289296,       5.670821919
          0,           0,          89,      -1.539450472,       1.564478425,       1.635230097,       5.654382268
          0,           0,          90,      -1.552684992,         1.5509921,       1.620321022,       5.636500008
          0,           0,          91,      -1.565421854,       1.539921056,       1.605407354,       5.618159618
          0,           0,          92,      -1.577079937,       1.531433954,       1.591355915,       5.600585808
          0,           0,          93,      -1.587385829,       1.524873681,       1.578684946,       5.584119024
