"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       2.174546677,       5.629868314,       5.370543977,       9.269003408
          0,           0,           1,       2.303248202,       5.799952084,       5.414224103,       9.397699671
          0,           0,           2,       2.335009995,       5.843405272,       5.409105929,       9.429457298
          0,           0,           3,       2.350602333,       5.865020059,       5.402228555,       9.445045313
          0,           0,           4,       2.359594543,       5.877628598,        5.39627059,        9.45403273
          0,           0,           5,       2.365238763,       5.885626661,       5.391488121,       9.459671468
          0,           0,           6,       2.368979241,       5.890980021,       5.387722328,       9.463405567
          0,           0,           7,       2.371554075,       5.894700541,        5.38476161,       9.465972898
          0,           0,           8,       2.373375455,       5.897357612,       5.382419785,       9.467785397
          0,           0,           9,       2.374688215,       5.899292177,       5.380548311,         9.4690876
          0,           0,          10,       2.375644507,       5.900717947,       5.379032153,       9.470031303
          0,           0,          11,       2.376342106,       5.901773564,       5.377782748,       9.470713861
          0,           0,          12,       2.376845346,       5.902551247,        5.37673142,       9.471199103
          0,           0,          13,       2.377197129,       5.903113338,       5.375824029,        9.47152933
          0,           0,          14,       2.377426062,       5.903502211,        5.37501687,       9.471732439
          0,           0,          15,       2.377550829,        5.90374637,       5.374273541,       9.471826262
          0,           0,          16,         2.3775829,       5.903864287,       5.373562549,        9.47182125
          0,           0,          17,       2.377528218,       5.903866824,       5.372855427,       9.471722129
          0,           0,          18,       2.377388231,       5.903758751,       5.372125216,        9.47152889
          0,           0,          19,       2.377160465,       5.903539645,         5.3713451,       9.471237312
          0,           0,          20,       2.376838776,       5.903204343,       5.370487048,       9.470839142
          0,           0,          21,       2.376413358,       5.902743071,       5.369520716,       9.470322024
          0,           0,          22,       2.375870552,       5.902141286,       5.368412363,       9.469669214
          0,           0,          23,       2.375192428,        5.90137921,       5.367123742,       9.468859006
          0,           0,          24,       2.374356176,       5.900431079,       5.365610922,       9.467863913
          0,           0,          25,        2.37333365,       5.899265034,       5.363822731,       9.466650474
          0,           0,          26,       2.372090371,       5.897841903,       5.361698896,       9.465177968
          0,           0,          27,       2.370584296,       5.896113798,       5.359167914,       9.463396951
          0,           0,          28,       2.368764361,       5.894022466,       5.356144516,       9.461247555
          0,           0,          29,       2.366568643,       5.891497224,       5.352526248,       9.458657349
