"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.605912593,      -12.45702787,      -15.25165813,       5.488547478,      -2.055857028
          0,           0,           1,      -1.609792212,       1.215062244,      0.8710679678,       5.483770488,       -2.08853942
          0,           0,           2,      -1.627328606,        1.09142221,      0.8805032171,       5.474917964,      -2.118083651
          0,           0,           3,      -1.639044578,        1.01453699,      0.8957532638,       5.469406911,       -2.14248894
          0,           0,           4,      -1.648860882,      0.9498141902,       0.910796511,       5.464456926,      -2.162128206
          0,           0,           5,      -1.657525186,      0.8991960586,      0.9230889671,       5.459611602,      -2.177245062
          0,           0,           6,      -1.665424242,      0.8652727499,      0.9341781969,       5.454681861,      -2.188197942
          0,           0,           7,      -1.672804328,      0.8478134567,      0.9464281376,       5.449571204,       -2.19537149
          0,           0,           8,      -1.679830225,      0.8454757559,      0.9605509589,       5.444225635,      -2.199178903
          0,           0,           9,      -1.686621299,      0.8555395982,      0.9765434499,        5.43860635,       -2.20004497
          0,           0,          10,      -1.693260509,      0.8749953696,      0.9944836934,       5.432688434,      -2.198288077
          0,           0,          11,      -1.699808937,      0.9024507899,       1.014185217,        5.42645182,      -2.194233216
          0,           0,          12,      -1.706320326,      0.9332313349,       1.035537867,        5.41985741,      -2.188234652
          0,           0,          13,      -1.712827229,      0.9633104188,       1.058414484,       5.412866245,      -2.180681398
          0,           0,          14,      -1.719333729,      0.9902292463,       1.082521962,       5.405450684,      -2.171833264
          0,           0,          15,      -1.725798307,       1.014828861,       1.107498916,       5.397619382,       -2.16187884
          0,           0,          16,      -1.732125786,       1.038684277,       1.133115113,       5.389424232,      -2.150988087
          0,           0,          17,      -1.738148434,       1.062945524,       1.158602198,       5.381000595,      -2.139218696
          0,           0,          18,      -1.743641455,       1.088084177,       1.183272535,       5.372565629,        -2.1267184
          0,           0,          19,      -1.748328509,       1.113183992,       1.206998324,        5.36444672,      -2.113676012
          0,           0,          20,       -1.75192838,       1.135905698,       1.229818861,       5.357085749,      -2.100317084
          0,           0,          21,      -1.754297328,       1.152976134,       1.250281819,       5.350968845,      -2.087025319
          0,           0,          22,      -1.755560775,       1.166280067,       1.268434076,       5.346224681,      -2.073938037
          0,           0,          23,      -1.755918667,       1.178280948,        1.28473129,       5.342837712,      -2.061237485
