"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.543160082,      -4.531446466,      -5.344049711,       -4.48473505,      -3.935994081
          0,           0,           1,      -4.827794975,      -4.678769299,      -5.197100297,      -4.783519168,       -4.20011797
          0,           0,           2,      -4.663697722,      -4.502679511,      -4.767800172,      -4.651791738,      -4.039030453
          0,           0,           3,      -4.512019468,      -4.362364078,      -4.508119088,      -4.480545607,      -3.890871751
          0,           0,           4,      -4.390703097,      -4.253791591,      -4.322579727,      -4.310721378,        -3.7753335
          0,           0,           5,      -4.346116411,      -4.222739277,      -4.222354419,      -4.182393891,      -3.738608151
          0,           0,           6,      -4.333267768,      -4.225571834,      -4.168060337,      -4.091028555,      -3.731155136
          0,           0,           7,      -4.310590022,      -4.215803452,      -4.134198686,      -4.027779405,       -3.70935461
          0,           0,           8,      -4.275305585,      -4.185153787,      -4.103823126,      -3.982006175,      -3.673773899
          0,           0,           9,      -4.246010381,      -4.156953798,      -4.075560214,      -3.946022884,      -3.645871156
          0,           0,          10,      -4.226877507,      -4.137764101,      -4.053923079,      -3.917272809,      -3.628954818
          0,           0,          11,      -4.215686537,      -4.123214238,      -4.038905523,      -3.895212626,      -3.619290417
          0,           0,          12,      -4.214531833,      -4.117498748,      -4.028658725,      -3.879122889,      -3.619246232
          0,           0,          13,      -4.224997699,      -4.128315859,      -4.024201119,      -3.868372353,      -3.631585949
          0,           0,          14,      -4.241886669,      -4.154580704,      -4.027637773,      -3.862488041,      -3.651276265
          0,           0,          15,      -4.255260241,      -4.183777412,      -4.038410715,      -3.860398432,      -3.666882234
          0,           0,          16,      -4.259578839,      -4.200768476,      -4.053049885,      -3.860245451,      -3.671257271
          0,           0,          17,      -4.259255052,      -4.202819603,      -4.067877999,      -3.860266688,      -3.669253679
          0,           0,          18,      -4.262904306,      -4.200236551,       -4.08144298,      -3.859849625,      -3.671190365
          0,           0,          19,      -4.275624104,        -4.2031124,      -4.094527888,      -3.859724334,      -3.683391336
          0,           0,          20,      -4.297080034,      -4.214856339,      -4.108557919,      -3.861265763,      -3.705930806
          0,           0,          21,      -4.323511575,      -4.233949278,      -4.124349744,      -3.865604332,      -3.734805253
          0,           0,          22,       -4.35086021,      -4.257315851,      -4.141907476,      -3.873141147,      -3.765202625
          0,           0,          23,      -4.377111336,       -4.28263544,      -4.160850333,      -3.883577268,      -3.794229802
          0,           0,          24,      -4.402390787,      -4.308930498,      -4.180898847,      -3.896221425,      -3.821522539
          0,           0,          25,      -4.427399027,      -4.335809339,       -4.20208936,      -3.910336715,      -3.847807611
          0,           0,          26,       -4.45220831,      -4.362569318,      -4.224676795,       -3.92536997,      -3.873420437
          0,           0,          27,      -4.476360418,      -4.388078837,      -4.248883619,      -3.941027051,      -3.898105137
          0,           0,          28,      -4.499629082,      -4.411379345,      -4.274686815,      -3.957204546,      -3.921676064
          0,           0,          29,      -4.522440759,      -4.432309381,      -4.301751704,      -3.973897335,      -3.944505568
          0,           0,          30,      -4.545608844,      -4.451569112,       -4.32955418,      -3.991137535,      -3.967375784
          0,           0,          31,      -4.569760138,      -4.470267352,      -4.357562937,      -4.008958649,      -3.990981403
          0,           0,          32,      -4.594970078,       -4.48939777,      -4.385406465,      -4.027390051,      -4.015582062
          0,           0,          33,      -4.620800281,      -4.509577205,      -4.412939587,      -4.046455225,       -4.04101192
          0,           0,          34,      -4.646608372,      -4.531056481,      -4.440197266,       -4.06616707,      -4.066923903
          0,           0,          35,      -4.671899899,      -4.553857064,      -4.467291138,      -4.086533818,      -4.093053006
          0,           0,          36,      -4.696528275,      -4.577895305,      -4.494306081,      -4.107538448,       -4.11933702
          0,           0,          37,      -4.720668499,      -4.603035751,      -4.521249373,      -4.129146416,      -4.145857655
          0,           0,          38,      -4.744653463,       -4.62908809,      -4.548051136,      -4.151302729,      -4.172703994
          0,           0,          39,      -4.768803026,      -4.655786642,      -4.574602865,      -4.173937829,      -4.199866619
          0,           0,          40,      -4.793323899,      -4.682794372,      -4.600808636,      -4.196971755,      -4.227215485
          0,           0,          41,      -4.818285148,      -4.709737463,      -4.626624906,      -4.220323068,      -4.254545526
          0,           0,          42,      -4.843643927,       -4.73626702,      -4.652081709,      -4.243909493,      -4.281650913
          0,           0,          43,      -4.869276364,      -4.762121704,      -4.677282374,      -4.267654937,      -4.308372767
          0,           0,          44,      -4.895009335,      -4.787164993,      -4.702382602,      -4.291494509,      -4.334616177
          0,           0,          45,      -4.920652261,      -4.811390423,      -4.727561487,      -4.315375564,      -4.360344112
          0,           0,          46,      -4.946029527,      -4.834899133,      -4.752993208,       -4.33925869,      -4.385564918
          0,           0,          47,      -4.971010946,      -4.857863449,      -4.778823442,      -4.363117197,      -4.410323299
          0,           0,          48,      -4.995532078,      -4.880488009,      -4.805155349,      -4.386936176,      -4.434693624
          0,           0,          49,      -5.019602981,      -4.902977074,      -4.832044328,      -4.410711362,      -4.458777297
          0,           0,          50,      -5.043300615,       -4.92551331,      -4.859501816,       -4.43444759,      -4.482696203
