"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -5.001891378,      -5.063720064,      -4.803444285,      -4.935766882,      -4.394114622,     0.01113261899,      0.2888449493,     0.01618812222,      0.1869703682,    -0.09583074568,     0.01977621969,   -0.004302285579,     0.01618812222,      0.2890273868,       25.94582187
          0,           0,           1,      -5.064953366,      -5.124696991,      -4.882599559,      -4.993290242,      -4.467032352,      0.0110645572,      0.2888413574,     0.01621433741,       0.186934799,    -0.09582946719,     0.01982506041,   -0.004370058581,     0.01621433741,      0.2890201667,       26.10509866
          0,           0,           2,      -5.096353144,      -5.151004838,      -4.957518443,      -5.054176412,      -4.508955892,     0.01102222374,      0.2888124853,     0.01622642851,      0.1868896211,    -0.09581812046,     0.01984986182,   -0.004410790441,     0.01622642851,      0.2889890759,       26.20274203
          0,           0,           3,      -5.131274592,       -5.18421236,        -5.0250592,      -5.110944806,      -4.554694562,     0.01101635257,       0.288784815,     0.01622012421,      0.1868580599,    -0.09580966717,     0.01984487891,   -0.004415176155,     0.01622012421,      0.2889611317,       26.21419505
          0,           0,           4,      -5.170674802,      -5.222924248,      -5.085571131,      -5.162940792,       -4.60441222,     0.01103333665,      0.2887728002,     0.01620389157,      0.1868464814,    -0.09580931723,     0.01982283484,   -0.004397574924,     0.01620389157,      0.2889500406,       26.17275349
          0,           0,           5,      -5.212246347,        -5.2637149,      -5.140698252,      -5.210801631,      -4.654716898,     0.01105501069,      0.2887767712,     0.01618804109,       0.186849758,    -0.09581567129,     0.01979921376,   -0.004376143766,     0.01618804109,       0.288955163,       26.12179937
          0,           0,           6,       -5.25545687,      -5.305848039,      -5.191525682,      -5.254794488,      -4.704526881,     0.01106964432,      0.2887896241,     0.01617857088,        0.18685959,    -0.09582495688,      0.0197836319,    -0.00436221711,     0.01617857088,      0.2889687787,       26.08842848
          0,           0,           7,      -5.300372867,      -5.349260207,      -5.238401238,      -5.295103323,      -4.753896993,     0.01107445389,      0.2888036058,     0.01617595029,      0.1868692054,    -0.09583381741,     0.01977794976,   -0.004358160757,     0.01617595029,      0.2889829972,       26.07836094
          0,           0,           8,      -5.346783762,      -5.393742741,      -5.281578859,      -5.331996506,      -4.802876203,     0.01107261766,      0.2888142503,     0.01617737565,      0.1868752236,    -0.09584050163,     0.01977897428,   -0.004360562594,     0.01617737565,      0.2889935285,       26.08364699
          0,           0,           9,      -5.394218067,      -5.439161499,       -5.32132735,      -5.365716681,      -4.851387484,     0.01106870247,      0.2888210343,     0.01617975329,      0.1868776051,    -0.09584502251,      0.0197823825,    -0.00436483434,     0.01617975329,      0.2890000939,       26.09348611
          0,           0,          10,      -5.442152982,      -5.485451703,       -5.35781096,      -5.396471514,      -4.899344995,     0.01106566827,      0.2888256337,     0.01618133323,       0.186878129,    -0.09584846601,     0.01978523751,   -0.004368109743,     0.01618133323,      0.2890045248,       26.10105659
          0,           0,          11,       -5.49005429,      -5.532317972,      -5.391139881,      -5.424519734,      -4.946573005,     0.01106431737,      0.2888297412,     0.01618175448,      0.1868785416,    -0.09585194369,     0.01978650801,   -0.004369677982,     0.01618175448,      0.2890085543,       26.10461464
          0,           0,          12,      -5.537372804,       -5.57912838,      -5.421460815,      -5.450206081,      -4.992739929,     0.01106422492,      0.2888339923,     0.01618133076,      0.1868795733,    -0.09585590829,     0.01978636965,   -0.004369997229,     0.01618133076,      0.2890127943,       26.10521698
          0,           0,          13,      -5.583632692,      -5.625146289,      -5.448980476,       -5.47387765,      -5.037488964,     0.01106480347,      0.2888381179,     0.01618042384,      0.1868810233,    -0.09586011235,     0.01978533414,   -0.004369639736,     0.01618042384,       0.289016945,       26.10422487
          0,           0,          14,      -5.628501003,       -5.66980958,      -5.473937308,      -5.495810947,      -5.080578841,     0.01106577318,       0.288841589,     0.01617921773,      0.1868823454,    -0.09586398889,     0.01978377806,   -0.004368856702,     0.01617921773,      0.2890204628,         26.102251
          0,           0,          15,      -5.671757927,      -5.712815726,       -5.49656951,      -5.516228696,      -5.121892479,     0.01106708704,      0.2888440642,     0.01617777835,      0.1868831141,     -0.0958670552,     0.01978188975,    -0.00436767685,     0.01617777835,      0.2890230047,       26.09937586
          0,           0,          16,      -5.713237622,      -5.754041741,      -5.517107142,      -5.535331743,       -5.16138882,     0.01106869883,      0.2888454801,     0.01617616814,      0.1868831751,    -0.09586911319,     0.01977978867,   -0.004366142933,     0.01617616814,      0.2890245046,       26.09570325
          0,           0,          17,      -5.752793392,      -5.793409139,      -5.535781817,      -5.553291417,      -5.199060287,     0.01107045664,      0.2888459512,      0.0161744844,      0.1868825961,     -0.0958702424,     0.01977760781,    -0.00436441278,      0.0161744844,      0.2890250689,       26.09160223
          0,           0,          18,      -5.790287343,      -5.830786097,       -5.55283047,      -5.570231454,      -5.234897084,     0.01107215189,      0.2888456624,      0.0161728275,      0.1868815688,    -0.09587068478,     0.01977548879,   -0.004362704533,      0.0161728275,      0.2890248709,       26.08758129
          0,           0,          19,      -5.825606473,      -5.865987659,      -5.568480794,      -5.586235181,      -5.268874504,     0.01107361858,      0.2888448176,      0.0161712668,      0.1868803293,    -0.09587072008,     0.01977354824,    -0.00436119484,      0.0161712668,      0.2890241057,       26.08404973
          0,           0,          20,      -5.858706725,      -5.898863182,      -5.582930323,      -5.601369593,      -5.300984553,     0.01107478702,      0.2888436169,     0.01616982539,      0.1868790933,    -0.09587058087,     0.01977185063,    -0.00435996397,     0.01616982539,      0.2890229691,       26.08118932
          0,           0,          21,      -5.889659649,      -5.929392876,      -5.596339821,      -5.615702437,      -5.331291847,     0.01107567293,      0.2888422196,     0.01616849394,      0.1868779921,     -0.0958704097,     0.01977041088,   -0.004359004736,     0.01616849394,      0.2890216211,       26.07897701
