"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 6.123031769111890e-15, -1.499660721822140e-30, -1.000000000000000e+02, 1.000005232418167e+00, 9.985754824618409e-01, 3.728588704520447e-07, 5.337684015088234e-02, 3.033807106478771e+00, 1.013523472824138e+00, 1.000002246093851e+00, 8.394955382104264e-01, 1.515920539851834e-05
1, -2.077690787131300e+01, 2.544353339199198e-15, -9.781779105558803e+01, 1.000002568137344e+00, 9.985735889010096e-01, 1.396266332144105e-08, 5.337880732871926e-02, 3.033798233018887e+00, 1.013520104928443e+00, 1.000001587399734e+00, 8.394965521196337e-01, 8.423414009417486e-06
2, 1.408831914501478e+00, 1.475759302300570e+00, -7.125051575379072e-04, 9.759782632201920e-01, 8.746727124183301e-01, 4.713419105841862e-01, 1.009953428845276e-01, 2.967482212278770e+00, 9.825998881831112e-01, 9.933584758183623e-01, 8.619173733616159e-01, -6.183201007665429e-02
3, 1.412679691256223e+00, 1.468966602680613e+00, -2.973964001277472e-09, 1.021612331561793e+00, 8.345272683405524e-01, 2.609101126634126e-01, -3.720673072277395e-02, 3.060511008721511e+00, 1.074266082338116e+00, 1.037516886896615e+00, 7.060271048105046e-01, 1.215003782333550e-01
4, 5.470341836735912e+00, 0.000000000000000e+00, -6.877303389631209e-01, 9.988079481294428e-01, 9.960758313502193e-01, 7.520625486900869e-04, 1.546225708904052e-02, 3.029428035411325e+00, 1.013052989975192e+00, 1.000736199327773e+00, 8.369967116141068e-01, -9.258064924924093e-04
5, -6.209734658246803e+01, 7.604480518040064e-15, -7.838315841753409e+01, 1.000000763241184e+00, 9.985745148323848e-01, 2.323658672814732e-07, 5.338101184509014e-02, 3.033792198057704e+00, 1.013516913051614e+00, 1.000000242988708e+00, 8.394995066376439e-01, 2.039660351282891e-06
6, 1.414624385749919e+00, 1.475888899377504e+00, -2.987978093757606e-09, 9.818543224002869e-01, 8.122083669885578e-01, 3.893320856725008e-01, -9.889543000651330e-03, 2.956525139703566e+00, 1.017339162045038e+00, 1.022323027101255e+00, 7.617040958151534e-01, 7.646537647199914e-03
7, -9.192648887949275e+01, 1.125737623664089e-14, -3.936395095950420e+01, 1.000000878638785e+00, 9.985754474092933e-01, 4.778367907191295e-07, 5.338123050407944e-02, 3.033792566417318e+00, 1.013516706307160e+00, 9.999999236039767e-01, 8.395003354034793e-01, 1.626171442836722e-06
8, 1.115660123796971e+00, 0.000000000000000e+00, 1.252896583373513e-01, 1.033706040846885e+00, 9.841674741283064e-01, 9.420793060833741e-04, -2.484479929384651e-02, 3.122317442357394e+00, 1.061406786405342e+00, 1.013104495487162e+00, 7.943356826564353e-01, 9.578178636780656e-02
9, 9.601502068410639e-01, 0.000000000000000e+00, 1.177135269023779e-01, 1.002958588546035e+00, 9.844385814284010e-01, 7.232208702248711e-05, -9.014632996013035e-02, 3.038680347797741e+00, 1.020599549602271e+00, 1.004018712954466e+00, 8.257882066157347e-01, 1.416731276166550e-02
10, -9.951809554236561e+01, 1.218704921214833e-14, 9.805541757310435e+00, 1.000000196416907e+00, 9.985743103465744e-01, 2.519395644071291e-07, 5.338182094291211e-02, 3.033790302835703e+00, 1.013516105999389e+00, 1.000000013523509e+00, 8.394999436418741e-01, 4.255559011845378e-07
11, 1.165226090520115e+00, 7.324609567384841e-01, 5.018660110677997e-03, 1.020633842670998e+00, 9.475341563304992e-01, -1.361912730374367e-02, -1.216510523166439e-01, 3.078348067213977e+00, 1.052468921315005e+00, 1.017439869940909e+00, 7.790861227037857e-01, 7.790605618713277e-02
12, -9.381227478973327e+01, 1.148831077740382e-14, 3.463029139345783e+01, 1.000000616232338e+00, 9.985736709253401e-01, 3.997553632934324e-07, 5.337904166718042e-02, 3.033791401774292e+00, 1.013516944284993e+00, 1.000000420814341e+00, 8.394987596713068e-01, 2.102127108827290e-06
13, 4.268140011358781e+00, 0.000000000000000e+00, -6.966780672748541e+00, 1.000447266706751e+00, 9.986135461664818e-01, 2.065815496093296e-04, 5.204347467799279e-02, 3.035009897350091e+00, 1.014105850604699e+00, 1.000134762936357e+00, 8.390419642175400e-01, 1.179914766520796e-03
14, -3.533416341252860e-02, 0.000000000000000e+00, -2.630673672399553e-03, 1.186568623170601e+00, 9.030096654878658e-01, -1.508046101038401e-02, -2.383220113503013e-02, 3.528559039246753e+00, 1.273846768622005e+00, 1.059238521412786e+00, 6.210621545402933e-01, 5.206617508011343e-01
15, 1.091322992046097e+00, 1.196284251902725e+00, -2.499419380886072e-02, 9.126484613193133e-01, 8.830157725138602e-01, 7.350199267282248e-03, 6.104167504877097e-02, 2.761046088359283e+00, 9.327210076402433e-01, 1.008364781993230e+00, 8.108247549617973e-01, -1.615897711623900e-01
16, -8.189381666738529e+01, 1.002876882296449e-14, 5.738817687987027e+01, 9.999992867576315e-01, 9.985732152962392e-01, -8.073225543113007e-07, 5.338166688241563e-02, 3.033787404943249e+00, 1.013515205595626e+00, 1.000000034786518e+00, 8.394997734877061e-01, -1.375251624136098e-06
