"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.235025495,      -4.270231456,      -4.653773859,      -4.175044817,      -3.627859495,      0.1102396069,      0.2400698564,    -0.05036877101,      0.1653818519,     -0.1223575187,     -0.0748291921,     0.09726709059,    -0.05036877101,      0.2456123368,       2.177709656
          0,           0,           1,       -4.50359951,      -4.429041227,      -4.840384464,       -4.41896267,      -3.891653115,     0.09578251426,      0.2334942714,    -0.03759931028,      0.1583598486,      -0.107071108,    -0.05998221459,     0.08318162699,    -0.03759931028,      0.2382743833,       2.437754669
          0,           0,           2,       -4.39180091,       -4.28872682,      -4.505704449,      -4.338323267,      -3.780583219,     0.05955307405,      0.2030310716,    -0.01396286432,      0.1345426374,    -0.08827811867,    -0.03117375496,     0.04863002048,    -0.01396286432,      0.2059206298,       3.409245868
          0,           0,           3,      -4.337024311,       -4.23392542,      -4.304321153,      -4.237167115,      -3.728364955,     0.04086269764,      0.1947073552,   -0.001614069036,      0.1287602303,    -0.08324481023,    -0.01585869656,     0.03041062721,   -0.001614069036,      0.1966110576,       4.764916817
          0,           0,           4,      -4.288466245,      -4.217668192,      -4.220377854,      -4.163896494,      -3.685971225,     0.03516192873,      0.2028918459,    0.002449229173,       0.135338731,    -0.08532490633,   -0.009878421034,     0.02428108462,    0.002449229173,      0.2044795621,       5.770213786
          0,           0,           5,      -4.237193881,      -4.187925434,      -4.191473113,      -4.128074443,      -3.639418392,     0.03365027797,      0.2166881708,    0.003701449556,      0.1451113691,    -0.08931443517,   -0.006677173328,     0.02203511806,    0.003701449556,      0.2181755214,       6.439416964
          0,           0,           6,      -4.195639047,      -4.161658765,      -4.168074755,       -4.10421614,      -3.602421883,     0.03199906239,      0.2293519763,    0.004827089224,      0.1531617629,    -0.09277498854,   -0.003384715467,     0.01971024148,    0.004827089224,      0.2307331259,       7.167459267
          0,           0,           7,      -4.176298297,      -4.157999118,      -4.140255923,      -4.086959602,      -3.590202681,     0.02937356521,      0.2388037674,     0.00636188157,      0.1585973461,    -0.09512250952,    0.000276631031,      0.0165839352,     0.00636188157,       0.240031287,       8.129887049
          0,           0,           8,      -4.163707722,      -4.159143437,       -4.11652451,      -4.072624783,      -3.584128636,     0.02637990097,      0.2459601814,    0.007989469617,      0.1625907305,    -0.09677081472,    0.003745591612,     0.01321251792,    0.007989469617,      0.2470176904,       9.323771974
          0,           0,           9,      -4.141068901,       -4.14164812,      -4.099832375,      -4.056004181,      -3.561841164,      0.0236958509,      0.2524091736,    0.009362497091,      0.1663914412,     -0.0982580942,    0.006618590698,     0.01018803672,    0.009362497091,      0.2533142083,       10.65204092
          0,           0,          10,      -4.114538672,      -4.113559407,      -4.087735665,      -4.038012079,      -3.531987773,     0.02156903359,      0.2589488684,     0.01037772775,      0.1704216847,    -0.09978580701,    0.008870751433,    0.007715151895,     0.01037772775,      0.2597310457,       12.00558511
          0,           0,          11,      -4.096679456,      -4.095852641,      -4.078264118,      -4.023586484,      -3.513110418,     0.01989582707,      0.2654754144,     0.01111766755,      0.1744367411,     -0.1012482481,     0.01068656626,    0.005695933013,     0.01111766755,      0.2661589674,        13.3432711
          0,           0,          12,      -4.088129002,      -4.093077157,      -4.070774534,      -4.015966308,      -3.507467237,      0.0184683477,      0.2715270724,      0.0117098051,      0.1780370301,     -0.1024522374,     0.01225755947,    0.003947441245,      0.0117098051,      0.2721257955,       14.70229372
          0,           0,          13,      -4.083411094,      -4.096234871,      -4.065057101,      -4.015111102,      -3.507082191,     0.01714175422,      0.2767691484,     0.01223931329,      0.1810196133,     -0.1032848219,     0.01368943566,    0.002342908368,     0.01223931329,      0.2772895816,       16.14590577
          0,           0,          14,      -4.080738823,      -4.095992247,      -4.061739254,      -4.018675712,      -3.506902735,     0.01587921111,      0.2811504897,     0.01273119494,      0.1834336701,     -0.1037539862,     0.01500195433,   0.0008482820141,     0.01273119494,      0.2815972792,       17.70557037
          0,           0,          15,      -4.082151098,      -4.090717783,      -4.062386062,      -4.023623431,      -3.508314894,     0.01471962833,      0.2848090601,     0.01317094793,      0.1854528051,      -0.103941091,     0.01616664673,  -0.0005049480832,     0.01317094793,      0.2851887326,       19.34893013
          0,           0,          16,      -4.088779758,      -4.084757777,      -4.067882309,       -4.02819236,      -3.514175254,     0.01372139718,      0.2879093586,     0.01353492422,      0.1872261318,      -0.103935051,     0.01714613383,   -0.001667255103,     0.01353492422,      0.2882313233,       20.98251036
          0,           0,          17,       -4.09905479,      -4.082471798,      -4.076679851,      -4.032792415,      -3.524697689,     0.01291930152,      0.2905371854,      0.0138121673,      0.1888022948,      -0.103790087,     0.01791943799,    -0.00260848496,      0.0138121673,      0.2908125862,       22.48861403
          0,           0,          18,       -4.11014142,       -4.08481517,      -4.085014979,      -4.038653677,      -3.537295914,     0.01231056889,      0.2926919629,     0.01401087688,      0.1901403207,     -0.1035220104,     0.01849021274,   -0.003331375313,     0.01401087688,      0.2929317961,       23.77566509
          0,           0,          19,      -4.120148438,      -4.089665403,      -4.089488799,      -4.045852941,      -3.548741039,     0.01186475192,      0.2943363294,     0.01415221606,      0.1911648878,     -0.1031275731,     0.01888239637,   -0.003864335683,     0.01415221606,      0.2945500196,       24.80762609
          0,           0,          20,      -4.129258346,       -4.09430997,      -4.089859119,      -4.052980562,      -3.557705934,     0.01154318125,      0.2954524023,     0.01425940975,      0.1918237369,     -0.1026081529,     0.01912983794,   -0.004245025715,     0.01425940975,      0.2956473352,       25.59540528
          0,           0,          21,      -4.139073089,      -4.097760213,      -4.089018594,      -4.058524548,      -3.565613498,     0.01131429693,        0.29606676,     0.01434928915,      0.1921140074,     -0.1019814573,     0.01926602956,   -0.004506379142,     0.01434928915,      0.2962485987,       26.16749073
          0,           0,          22,      -4.151063095,      -4.101003097,      -4.090427528,      -4.062246238,      -3.575165071,     0.01115974237,      0.2962493669,     0.01442963363,      0.1920845023,     -0.1012836475,      0.0193174069,     -0.0046704612,     0.01442963363,      0.2964226949,       26.54625503
          0,           0,          23,      -4.165502718,      -4.105468344,      -4.095893882,      -4.065167576,      -3.588241345,      0.0110723369,       0.296097106,     0.01450126745,      0.1918196502,     -0.1005635058,     0.01930146065,     -0.0047496141,     0.01450126745,      0.2962659852,       26.74206075
          0,           0,          24,      -4.181459691,      -4.111554803,      -4.105014497,      -4.068536728,      -3.604850624,     0.01104969708,       0.295713882,      0.0145623739,       0.191416922,    -0.09987256492,     0.01922932335,   -0.004751764492,      0.0145623739,      0.2958820991,       26.76217093
