"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -8.794819177599612e+01, 4.734534548583398e+01, -4.851167298664214e+00, 1.000000553580156e+00, 9.985748460282358e-01, 3.408347451194231e-08, 5.338160663088040e-02, 3.033791482493760e+00, 1.013516439904258e+00, 9.999999858123004e-01, 8.395000948944129e-01, 1.093365639803779e-06
1, 1.408981589950661e+00, 1.476573955314883e+00, 4.612663530191607e-04, 8.989988842830492e-01, 8.344601345973157e-01, -7.138520758442911e-02, -7.092362235828832e-02, 2.711199476289944e+00, 9.273161417833413e-01, 1.017742951935741e+00, 7.780063218855707e-01, -1.723995028761940e-01
2, -8.514467067901505e+01, 4.776576311891824e+01, 2.165218068993201e+01, 1.000000237601274e+00, 9.985743720829854e-01, 1.322935358008247e-07, 5.338183444933334e-02, 3.033790504477200e+00, 1.013516169945118e+00, 1.000000035432107e+00, 8.394999522305400e-01, 5.534473586088496e-07
3, -9.648666317960873e+01, 2.467593374922965e+01, 9.023420752041131e+00, 9.999999302286456e-01, 9.985741804349560e-01, 4.298411148001446e-08, 5.338169207220117e-02, 3.033789511614210e+00, 1.013515790915444e+00, 9.999999688296752e-01, 8.395000711866129e-01, -2.046119877974207e-07
4, -8.964067219236752e+01, 2.513287662347117e+01, 3.650874417903039e+01, 1.000000052178363e+00, 9.985740254486505e-01, 3.447849164102734e-08, 5.338172072071441e-02, 3.033789882541225e+00, 1.013516024970593e+00, 1.000000077813827e+00, 8.394997944221035e-01, 2.634983098381838e-07
5, -9.401816011787697e+01, 1.151352362550418e-14, 3.406736782382382e+01, 9.999996825893038e-01, 9.985733448542562e-01, -6.950395394159842e-08, 5.338155410550962e-02, 3.033788659162074e+00, 1.013515737108349e+00, 1.000000163379528e+00, 8.394994907647860e-01, -3.122261795773796e-07
6, -7.547560080921052e+01, 4.728060784412284e+01, 4.547502396237928e+01, 9.999994297779626e-01, 9.985731790857730e-01, -1.214618086844003e-07, 5.338192207578438e-02, 3.033787887635441e+00, 1.013515436291132e+00, 1.000000119385261e+00, 8.394995989924287e-01, -9.138606134051487e-07
7, -7.315851349743522e+01, 6.771518827821063e+01, 7.904756750974204e+00, 9.999999321451194e-01, 9.985739143088973e-01, 2.427664167604185e-07, 5.338177600972711e-02, 3.033789522393007e+00, 1.013515900116592e+00, 1.000000074658088e+00, 8.394998058235670e-01, 1.379030667436609e-08
8, -6.610964680798801e+01, 6.744801731992186e+01, 3.286760652275433e+01, 9.999999393535446e-01, 9.985740167717677e-01, 3.302514703921383e-07, 5.338176505519198e-02, 3.033789602812606e+00, 1.013515893033311e+00, 1.000000060460840e+00, 8.394998911354288e-01, -3.762554712238853e-10
9, -5.473183085668566e+01, 8.252818468570341e+01, 1.391134154413512e+01, 9.999998680650247e-01, 9.985739371758021e-01, 2.991670565142512e-07, 5.338211322323735e-02, 3.033789371260234e+00, 1.013515810513296e+00, 1.000000050329807e+00, 8.394999041119444e-01, -1.654162846698171e-07
