"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 6.123031769111890e-15, -1.499660721822140e-30, -1.000000000000000e+02, 1.136209055662328e+00, 3.241271096423637e+02, -6.372365140604494e-05, 1.732025171857226e+01, 2.813214173542841e+05, 4.724504103657329e-05, 9.398297028418738e+04, 2.881517527045421e+02, 8.394924722357957e-01, 4.258301165007063e-05, 1.789306082626953e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765666576160591e-06
1, -2.077690787131300e+01, 2.544353339199198e-15, -9.781779105558803e+01, 1.136204811550831e+00, 3.241233792104558e+02, 3.781674662322005e-04, 1.732234726335735e+01, 2.813199866191770e+05, 4.724510164786470e-05, 9.398274160973346e+04, 2.881521279309534e+02, 8.394857162852070e-01, 3.765084018240441e-05, 1.789307893046743e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765620951469678e-06
2, 1.408831914501478e+00, 1.475759302300570e+00, -7.125051575379072e-04, 8.964251164269872e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.114963481197187e+05, 0.000000000000000e+00, 8.459853924788747e+04, 3.287601676305050e+02, 0.000000000000000e+00, -2.023657848881432e-01, 1.978943116966882e-05, 3.787374418961631e-06, 1.070731478486065e-06, 4.316034263478277e-07, -2.765110944072560e+00, 3.900366190732424e+01, 0.000000000000000e+00
3, 1.412679691256223e+00, 1.468966602680613e+00, -2.973964001277472e-09, 9.383909533283742e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.213992493260015e+05, 0.000000000000000e+00, 8.855969973040059e+04, 3.287627983517503e+02, 0.000000000000000e+00, -1.169293822811759e-01, 1.978955015484801e-05, 1.070491336835145e-06, -5.420873032086294e-07, -4.521304304941887e-07, -1.615572699639168e+01, 4.904029806795833e+01, 0.000000000000000e+00
4, 5.470341836735912e+00, 0.000000000000000e+00, -6.877303389631209e-01, 1.098273609165828e+00, 2.812860353974994e+02, -9.099885028586290e-01, 1.409047300435394e+01, 2.694408781356868e+05, 5.266111866151833e-05, 9.333164411459357e+04, 2.960388536059692e+02, 7.434656310046144e-01, -1.400556401484105e-02, 1.827112615386198e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.708204079252561e-06
5, -6.209734658246803e+01, 7.604480518040064e-15, -7.838315841753409e+01, 1.136201961150046e+00, 3.241252146227299e+02, 2.611873326917995e-04, 1.732629431946463e+01, 2.813188949013725e+05, 4.724494187152856e-05, 9.398202488956174e+04, 2.881506533434606e+02, 8.394952554085835e-01, 2.219224075977121e-05, 1.789300778342800e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765578661135203e-06
6, 1.414624385749919e+00, 1.475888899377504e+00, -2.987978093757606e-09, 9.976536916486316e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.353725505223698e+05, 0.000000000000000e+00, 9.414902020894790e+04, 3.287504349852418e+02, 0.000000000000000e+00, 3.624035539848489e-03, 1.978899096665986e-05, 2.362399004565204e-06, 1.284951537341855e-05, -1.786770525027720e-05, -5.424499793445590e+01, 1.599199769961838e+01, 0.000000000000000e+00
7, -9.192648887949275e+01, 1.125737623664089e-14, -3.936395095950420e+01, 1.136201721328673e+00, 3.241271046925656e+02, 7.390312826328751e-04, 1.732740805826025e+01, 2.813188159966436e+05, 4.724501769052223e-05, 9.398176694605904e+04, 2.881499233044592e+02, 8.395015312189400e-01, 1.662877898037036e-05, 1.789297255987605e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765619228094154e-06
8, 1.115660123796971e+00, 0.000000000000000e+00, 1.252896583373513e-01, 9.070067763849674e-01, 1.936584993071363e+02, 3.230803697955906e+00, 5.822254012017718e+00, 2.199103895858715e+05, 4.116767256773492e-05, 7.968462539073688e+04, 3.060513847607568e+02, 6.091672830741464e-01, -3.083516757726039e-01, 1.874410360456982e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.068829905579114e-07
9, 9.601502068410639e-01, 0.000000000000000e+00, 1.177135269023779e-01, 8.496597697370640e-01, 1.997338508572218e+02, -3.311193632561383e+00, 1.309117000642829e+01, 2.072042882176601e+05, 3.100462013888439e-05, 7.344830315174158e+04, 3.011390366379447e+02, 6.772741583089020e-01, -4.428599694783794e-01, 1.851300898045369e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.103766940769830e-07
