"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.619139381,       -12.7530038,      -12.68309956,      -13.83012815,      -4.163931979,      -11.48946409
          0,           0,           1,      -4.595700142,       -4.53778375,      -5.421188967,      -4.785742567,      -4.141773732,       -11.3065588
          0,           0,           2,      -4.744836803,      -4.660463142,      -5.473304531,      -4.802201712,      -4.300165578,      -11.51739356
          0,           0,           3,      -4.807431831,      -4.737881541,      -5.497761719,      -4.890516704,      -4.359243286,      -11.64472634
          0,           0,           4,      -4.856165406,      -4.811168301,      -5.476117719,       -4.96434295,      -4.406871203,      -11.74493913
          0,           0,           5,      -4.903901828,      -4.865448721,      -5.425429566,      -4.981823137,      -4.457375244,      -11.78688248
          0,           0,           6,      -4.931785766,       -4.89555159,      -5.368302264,      -4.977854968,      -4.490716869,      -11.79121191
          0,           0,           7,      -4.932634885,      -4.912056226,       -5.30931391,      -4.974855214,      -4.500017614,      -11.78900217
          0,           0,           8,      -4.930668013,      -4.931385283,      -5.253840317,      -4.986463202,      -4.511174123,      -11.75048697
          0,           0,           9,      -4.913386244,       -4.92716488,      -5.188520858,      -4.999668228,      -4.506143958,      -11.68588357
          0,           0,          10,      -4.881391814,      -4.895401795,      -5.107671123,      -5.001264998,      -4.482444954,      -11.76232808
          0,           0,          11,      -4.859535756,      -4.884065352,      -5.066264822,      -4.990500563,      -4.471036134,      -11.64694087
          0,           0,          12,      -4.830815276,      -4.860465064,      -5.025357712,      -4.971439065,      -4.449928642,      -11.54013464
          0,           0,          13,       -4.79407701,      -4.819848549,      -4.992539401,      -4.945573609,      -4.412526122,      -11.45259376
          0,           0,          14,      -4.754877968,      -4.756860619,      -4.962876649,      -4.907827129,      -4.361258877,       -11.3844381
          0,           0,          15,      -4.777131208,      -4.751723469,      -4.977136365,      -4.874242481,      -4.390168728,      -11.32172373
          0,           0,          16,      -4.778523277,      -4.713354695,      -4.927369877,      -4.821893956,      -4.382499627,      -11.24617427
          0,           0,          17,      -4.767731479,        -4.6887599,      -4.876012106,      -4.755177983,      -4.371925233,      -11.15508484
          0,           0,          18,      -4.747041453,      -4.683357962,      -4.832942083,      -4.682725398,       -4.36114617,      -11.06279291
          0,           0,          19,      -4.723368503,       -4.68824272,      -4.795701331,       -4.60559095,      -4.345173552,      -10.97816983
          0,           0,          20,      -4.701283883,      -4.699755081,      -4.762458359,      -4.527116059,       -4.32719101,      -10.90473391
          0,           0,          21,      -4.682067745,      -4.723172212,      -4.739505808,      -4.458032165,      -4.313787721,       -10.8453098
          0,           0,          22,      -4.663129312,       -4.74823688,      -4.739552877,      -4.408837435,      -4.301253176,      -10.80314682
          0,           0,          23,      -4.644219762,      -4.729123229,      -4.768025481,      -4.390613701,      -4.282471481,      -10.77971844
          0,           0,          24,      -4.623840744,      -4.656191168,      -4.815227293,      -4.415943727,      -4.255384639,      -10.77839868
          0,           0,          25,      -4.611922105,      -4.586240588,      -4.845978684,      -4.498187391,       -4.23749394,      -10.80145958
          0,           0,          26,      -4.611860107,      -4.545652682,       -4.85861282,      -4.643471352,      -4.231069573,      -10.85039774
          0,           0,          27,      -4.716715004,      -4.634590826,      -5.014686175,      -4.881087595,      -4.368565514,      -10.91110993
          0,           0,          28,      -4.769027767,       -4.65340239,      -5.060645212,      -4.979381413,      -4.401278733,      -10.95525504
          0,           0,          29,      -4.807479432,      -4.696072963,      -5.084461458,      -4.953436583,      -4.430007926,       -10.9684108
          0,           0,          30,      -4.841239801,      -4.806761794,      -5.117521939,      -4.964014382,      -4.480220986,      -10.95756251
          0,           0,          31,      -4.809316563,       -4.95172383,      -5.038550924,      -4.955081073,      -4.467121643,       -10.9653682
          0,           0,          32,      -4.790460795,      -4.990128414,      -5.002703653,      -4.974854604,      -4.448335084,      -10.99521203
          0,           0,          33,      -4.823010487,      -4.845322548,      -5.054712171,      -5.058622883,      -4.456814628,      -11.04225129
          0,           0,          34,      -4.911545928,      -4.787853772,      -5.182758962,      -5.203658694,      -4.512146977,        -11.083036
          0,           0,          35,      -5.073498566,      -4.868108225,      -5.388668218,      -5.420081179,      -4.666962509,      -11.11277168
          0,           0,          36,      -5.111717884,      -5.014148793,      -5.385295072,       -5.46731329,      -4.733023731,      -11.13373905
          0,           0,          37,      -5.134260072,      -5.246618951,       -5.36881653,      -5.456598139,      -4.775897919,      -11.18680625
