"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.196069181,      -8.697921026,      -9.242788626,      -9.257419913,       3.322854535,      -5.629989644
          0,           0,           1,      -2.125505062,     0.04211091309,     -0.8766396178,      0.2377821409,       3.419367441,      -5.883049821
          0,           0,           2,      -2.488347856,      0.1044069447,     -0.9690020463,     -0.1857459216,       3.041196285,      -6.377407047
          0,           0,           3,      -2.625714106,     0.05833687275,     -0.9696536665,     -0.2675615372,       2.893568234,      -6.513987922
          0,           0,           4,      -2.697620013,     -0.0117045645,     -0.9627877206,     -0.2864716514,       2.819685921,      -6.646202891
          0,           0,           5,      -2.747614168,    -0.07639165924,     -0.9624572128,      -0.302721506,       2.770001782,      -6.747287914
          0,           0,           6,      -2.784128729,     -0.1302749512,     -0.9658291517,     -0.3180460967,       2.734149016,      -6.810510023
          0,           0,           7,      -2.810279387,     -0.1735003687,     -0.9690507543,     -0.3314447432,       2.708524508,      -6.864931441
          0,           0,           8,      -2.828404698,     -0.2067563741,     -0.9707396127,     -0.3420035406,       2.690676958,      -6.917723757
          0,           0,           9,      -2.840362968,     -0.2329548103,     -0.9697098873,     -0.3488848505,       2.678735693,      -6.964997961
          0,           0,          10,      -2.847436936,      -0.253857105,     -0.9650147836,     -0.3512987856,       2.671402384,      -7.006540639
          0,           0,          11,      -2.850452886,     -0.2698030558,     -0.9552413214,     -0.3488784318,       2.667859047,      -7.037256116
          0,           0,          12,      -2.850183278,      -0.280974918,     -0.9383023234,     -0.3415520176,       2.667361597,      -7.061378445
          0,           0,          13,      -2.846994911,     -0.2868087541,     -0.9122991562,     -0.3296138596,        2.66964205,      -7.080289813
          0,           0,          14,      -2.840364209,     -0.2854545422,     -0.8761757577,     -0.3128207929,       2.675418221,       -7.09346714
          0,           0,          15,      -2.828772076,     -0.2742547507,     -0.8297234634,     -0.2902147534,        2.68642595,      -7.100412353
          0,           0,          16,      -2.810835024,     -0.2511044304,     -0.7739409494,     -0.2612515346,       2.704261664,       -7.10043846
          0,           0,          17,       -2.78594757,     -0.2159634245,     -0.7106168863,     -0.2260681126,       2.729556508,       -7.09267119
          0,           0,          18,      -2.755164497,     -0.1714988388,     -0.6420929391,     -0.1862171187,        2.76097367,      -7.079100926
          0,           0,          19,       -2.72071862,     -0.1217654409,     -0.5704306307,     -0.1441834777,       2.795853757,      -7.061270736
          0,           0,          20,      -2.684834291,    -0.07060868066,     -0.4975568568,      -0.102241392,       2.831582733,      -7.040332558
          0,           0,          21,      -2.649306249,    -0.02088212024,      -0.425129153,    -0.06227960469,       2.866030585,       -7.01754581
          0,           0,          22,       -2.61524693,     0.02569290291,     -0.3545732111,    -0.02534242051,       2.897860114,      -6.993129181
          0,           0,          23,       -2.58292106,     0.06817510403,      -0.287137624,    0.007986254306,           2.92662,      -6.966470568
          0,           0,          24,      -2.552317506,      0.1061740384,     -0.2239258714,     0.03755801854,       2.952213411,      -6.936407739
          0,           0,          25,      -2.523048586,      0.1395169854,     -0.1654876728,     0.06351365216,       2.975018843,      -6.901836487
          0,           0,          26,      -2.494618821,      0.1685087582,     -0.1125228925,     0.08601892526,       2.995809659,      -6.862178698
          0,           0,          27,      -2.466301192,      0.1936596838,    -0.06511646139,      0.1057964305,       3.015945237,      -6.817776717
          0,           0,          28,      -2.438078648,      0.2157425127,    -0.02338223226,      0.1237193492,       3.036178282,      -6.769685433
          0,           0,          29,      -2.409238345,       0.235598188,     0.01362053168,      0.1409469138,       3.058303216,      -6.719294711
          0,           0,          30,      -2.380312994,      0.2532647524,     0.04552430604,      0.1588858447,       3.082211333,      -6.668425266
          0,           0,          31,      -2.351687121,      0.2697410507,     0.07507083932,      0.1790110038,       3.107871878,      -6.618704941
          0,           0,          32,      -2.323440497,      0.2858468656,      0.1021800507,      0.2014930087,       3.135680684,      -6.571321415
          0,           0,          33,       -2.29619604,      0.3025922352,      0.1265958975,      0.2273689664,       3.165031492,      -6.527138576
          0,           0,          34,       -2.27061391,      0.3202436467,      0.1513914252,      0.2568841987,       3.194865574,      -6.486568981
          0,           0,          35,      -2.246921744,      0.3389424049,      0.1777089932,      0.2896854425,       3.224149622,      -6.449752134
          0,           0,          36,      -2.224946789,      0.3583433093,      0.2053682646,      0.3249558627,       3.252161127,      -6.416680323
          0,           0,          37,      -2.204515759,      0.3784460709,      0.2351027454,      0.3613479424,       3.278119867,      -6.387180334
          0,           0,          38,      -2.185805413,      0.3965702566,      0.2659697809,      0.3979174418,       3.301011869,      -6.361017891
          0,           0,          39,      -2.168080583,      0.4132022704,      0.2970100006,      0.4338200209,       3.321955933,      -6.337822861
          0,           0,          40,      -2.150782703,      0.4285154148,      0.3271513989,      0.4688452873,       3.341372675,      -6.317120456
          0,           0,          41,      -2.133615639,      0.4421865865,      0.3558320962,      0.5023339117,       3.359347836,      -6.298394483
          0,           0,          42,      -2.116172181,      0.4539069495,      0.3829388027,      0.5337549812,       3.376233406,      -6.281174569
          0,           0,          43,      -2.098458666,       0.464145071,      0.4079645456,      0.5633707479,       3.391852835,      -6.265015092
          0,           0,          44,      -2.080756531,      0.4715571978,      0.4315089247,      0.5909908105,        3.40545446,      -6.249452656
          0,           0,          45,      -2.062828306,      0.4765534262,      0.4530222906,      0.6163712981,       3.417788451,      -6.233955013
          0,           0,          46,      -2.044887472,      0.4797264437,      0.4726468693,      0.6398610294,        3.42902022,      -6.218148638
          0,           0,          47,      -2.027126549,      0.4809101037,      0.4901099275,      0.6616432095,       3.439291435,      -6.201771684
          0,           0,          48,      -2.009709071,      0.4812013319,      0.5059176246,      0.6814709115,       3.448824973,      -6.184810153
          0,           0,          49,      -1.992862865,       0.479654052,      0.5224658229,      0.6991737467,       3.457002563,      -6.167581504
          0,           0,          50,      -1.975364967,      0.4781302697,      0.5321208046,      0.7157062899,       3.467419135,      -6.149789901
          0,           0,          51,      -1.958427328,       0.477124071,      0.5394764479,      0.7309511252,       3.478216561,      -6.131481813
          0,           0,          52,      -1.942073781,        0.47618434,      0.5458858718,       0.745027936,        3.48943947,       -6.11283814
          0,           0,          53,      -1.926077698,      0.4761161861,      0.5510625713,       0.757794821,       3.501325821,      -6.094133145
          0,           0,          54,      -1.910532171,      0.4766912196,      0.5546970791,      0.7697356987,        3.51347905,      -6.075620865
          0,           0,          55,      -1.895306734,      0.4810963583,      0.5574007107,      0.7801908977,       3.527212279,      -6.057594475
          0,           0,          56,      -1.881489231,      0.4871062039,      0.5595066177,      0.7893699587,       3.539681782,      -6.040297899
          0,           0,          57,      -1.868946905,      0.4939130278,      0.5612137201,      0.7970991303,       3.550001589,      -6.023911254
          0,           0,          58,       -1.85666407,      0.5009324966,      0.5631794184,      0.8028548524,       3.561037934,      -6.008697971
          0,           0,          59,      -1.844912866,      0.5074587028,      0.5643015941,      0.8071236999,       3.571827497,      -5.994807329
          0,           0,          60,       -1.83370948,      0.5135259664,      0.5649316995,        0.81024879,       3.582598041,      -5.982344373
          0,           0,          61,      -1.823064432,      0.5185305199,      0.5649677169,      0.8122741055,       3.592975224,       -5.97134053
          0,           0,          62,      -1.813043011,      0.5222530128,      0.5638809006,      0.8134466119,       3.602525196,      -5.961847219
          0,           0,          63,      -1.803661628,      0.5246401815,       0.561983082,      0.8137214714,       3.611268808,      -5.953870761
          0,           0,          64,      -1.794660964,      0.5258846759,      0.5592350781,      0.8128967984,        3.61956825,      -5.947445282
          0,           0,          65,      -1.785866336,      0.5277391288,      0.5561484563,      0.8108583538,       3.628066195,      -5.942529481
          0,           0,          66,        -1.7771405,      0.5294375606,      0.5529459627,       0.807616501,       3.636675795,       -5.93900443
          0,           0,          67,      -1.768652242,      0.5266242717,      0.5499449137,       0.803232374,       3.644300499,      -5.936688906
          0,           0,          68,      -1.760433135,      0.5232668385,      0.5474309001,      0.7977995364,       3.651535494,      -5.935511807
          0,           0,          69,      -1.752736457,      0.5209528013,      0.5444741475,      0.7914830934,       3.658211812,      -5.935449909
          0,           0,          70,        -1.7444533,      0.5189705252,      0.5414594698,      0.7841867442,       3.665850427,      -5.936484294
          0,           0,          71,      -1.735923157,      0.5174072747,      0.5390079667,        0.77563295,       3.673835627,      -5.938541271
          0,           0,          72,      -1.727464955,       0.519232624,      0.5373146659,      0.7658114535,       3.682384946,      -5.941385261
          0,           0,          73,      -1.718924976,      0.5220296689,      0.5367398345,      0.7555121951,       3.691095012,      -5.944737803
          0,           0,          74,      -1.710200926,      0.5279418267,      0.5373886364,       0.744592444,       3.700513655,      -5.948554957
          0,           0,          75,      -1.701387103,      0.5385809133,       0.539590165,      0.7332105429,       3.710300705,      -5.952528415
          0,           0,          76,      -1.692471659,      0.5538828653,      0.5433623237,      0.7216721749,       3.720385305,      -5.956360744
          0,           0,          77,      -1.683519209,      0.5732827128,      0.5481289064,      0.7103993002,       3.730802546,       -5.95995428
          0,           0,          78,      -1.674520571,      0.5960120373,      0.5540432271,      0.6995549049,        3.74155917,      -5.963226552
          0,           0,          79,      -1.665544055,      0.6190472354,       0.561445113,      0.6892237954,        3.75186713,      -5.966147623
          0,           0,          80,      -1.656840883,      0.6382016421,      0.5697624756,      0.6798450668,       3.760666445,      -5.968722557
          0,           0,          81,      -1.648127958,      0.6586234896,      0.5785890497,      0.6717804579,       3.769528889,      -5.970922959
          0,           0,          82,      -1.639545256,      0.6797979851,      0.5879609255,      0.6649324192,       3.778114882,      -5.972605514
          0,           0,          83,      -1.631055746,      0.7008522371,      0.5969114198,      0.6591065356,       3.786394046,      -5.973671047
          0,           0,          84,      -1.622727223,      0.7211096703,      0.6046967368,      0.6543201548,        3.79429156,      -5.974148072
          0,           0,          85,      -1.614703179,      0.7399740681,      0.6110930018,      0.6502356828,       3.801725526,      -5.974060819
          0,           0,          86,      -1.607109275,      0.7580615894,        0.61595983,      0.6465773755,       3.808709632,      -5.973396093
          0,           0,          87,      -1.600193879,      0.7761536154,      0.6201138006,      0.6432767962,       3.815387566,      -5.972139982
          0,           0,          88,       -1.59469783,      0.7893606001,      0.6236358321,      0.6402773239,       3.819089357,      -5.970265227
          0,           0,          89,      -1.589689849,      0.8013345453,      0.6254073624,      0.6373119085,       3.822518278,      -5.967970318
