"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.053109969,      -4.316576586,      -4.892996272,      -5.085897692,       3.465813809,       -6.65543069
          0,           0,           1,      -2.008423076,     0.02704621062,     -0.4005280742,      0.4066797302,       3.519262791,      -6.813244618
          0,           0,           2,      -2.167073623,     0.01267436639,     -0.3964896096,      0.1083582862,       3.360484394,      -6.834403703
          0,           0,           3,      -2.329642415,    -0.01643308735,     -0.3921171627,     0.05094307332,        3.19646959,      -6.755313543
          0,           0,           4,      -2.449511748,    -0.04719877393,      -0.382968804,     0.03105409145,       3.073010245,      -6.724311086
          0,           0,           5,      -2.479241325,    -0.05391837574,     -0.3695998235,    0.002894814525,       3.041289559,      -6.715935878
          0,           0,           6,      -2.477483033,    -0.06691014772,     -0.3507455049,    0.001974093951,       3.041387168,      -6.715634955
          0,           0,           7,      -2.463987771,    -0.06932263318,     -0.3210897051,     0.01698650729,       3.052833268,      -6.715057804
          0,           0,           8,      -2.442096082,     -0.0599516335,     -0.2844460458,      0.0383069325,       3.072798055,       -6.71040147
          0,           0,           9,      -2.416493058,      -0.043340672,     -0.2434694608,     0.06319910331,       3.096377025,      -6.701453607
          0,           0,          10,       -2.38884054,    -0.02390914768,     -0.1983008529,     0.08893187686,       3.121672654,      -6.689414433
          0,           0,          11,      -2.361044992,   -0.005661584285,      -0.157262635,      0.1127642438,        3.14667522,       -6.67606361
          0,           0,          12,      -2.333767241,     0.01187450784,     -0.1192725976,      0.1346769925,       3.171632472,      -6.662667185
          0,           0,          13,      -2.307076238,     0.03231199603,    -0.07876711223,      0.1542773133,       3.195919631,      -6.649656412
          0,           0,          14,       -2.28311957,     0.04902666664,    -0.04774265214,      0.1715899002,        3.21689443,      -6.637660973
          0,           0,          15,      -2.262717865,     0.06111094106,    -0.02813874793,      0.1874714849,       3.234213556,      -6.626766583
          0,           0,          16,       -2.24240297,     0.08152223547,   0.0003754968266,      0.2016420738,       3.253184625,      -6.616464024
          0,           0,          17,      -2.226508341,     0.09292448297,     0.01445906682,      0.2147460157,       3.265101593,      -6.607431255
          0,           0,          18,      -2.211809466,      0.1105054833,     0.03051728898,       0.225848747,       3.279539493,      -6.598358229
          0,           0,          19,      -2.202037439,      0.1177395994,      0.0316925855,      0.2359862825,       3.284631325,      -6.590911999
          0,           0,          20,      -2.187370661,      0.1371876741,     0.05304628399,      0.2451881262,       3.298809677,      -6.582635214
          0,           0,          21,       -2.18469352,      0.1437730994,     0.04061336615,      0.2513975888,       3.300519197,      -6.576193296
          0,           0,          22,      -2.178211672,      0.1545388442,     0.04561036032,      0.2581998746,       3.302063999,       -6.57070292
          0,           0,          23,       -2.16768129,      0.1704179094,     0.05981435829,       0.265011483,       3.311486842,      -6.562820123
          0,           0,          24,      -2.163996365,      0.1780446703,     0.05068421629,      0.2689299841,       3.316636677,      -6.555670071
          0,           0,          25,      -2.166268904,      0.1839367872,     0.03979902957,       0.271592408,       3.312454462,      -6.551234627
          0,           0,          26,      -2.163468028,      0.1949650177,     0.04982200466,      0.2766376567,       3.310677669,      -6.546438611
          0,           0,          27,       -2.15601763,       0.206937827,     0.06321683526,      0.2812801919,       3.315803377,      -6.538098607
          0,           0,          28,      -2.149972321,      0.2136352875,     0.06203546368,      0.2837987684,       3.323102116,       -6.52861041
          0,           0,          29,      -2.149624095,      0.2186647727,     0.05721962898,      0.2851434315,       3.324158802,      -6.520175972
          0,           0,          30,      -2.152377825,      0.2228410664,     0.05427668712,      0.2869377211,        3.32027015,      -6.513251352
          0,           0,          31,      -2.153030076,      0.2284125683,     0.06134727805,      0.2901260734,       3.316748098,      -6.506506651
          0,           0,          32,      -2.149945631,      0.2359644182,      0.0771153454,      0.2935991218,       3.315935698,      -6.497911105
          0,           0,          33,       -2.14356546,      0.2406966048,     0.08728206605,      0.2952272825,       3.320693921,      -6.486930687
          0,           0,          34,      -2.137728676,      0.2437718025,     0.09090334582,      0.2954131463,       3.326655127,      -6.474900831
          0,           0,          35,      -2.134792043,      0.2457580907,     0.09162162232,       0.295215828,       3.329911691,      -6.463004557
          0,           0,          36,      -2.134275592,      0.2471221356,     0.09128912185,      0.2951508898,       3.330407903,      -6.451755585
          0,           0,          37,      -2.134780063,       0.248200468,     0.09129260495,      0.2949821269,       3.329346509,      -6.441269024
          0,           0,          38,      -2.134998284,      0.2492754431,     0.09309010835,      0.2950428996,       3.327967218,      -6.431329619
          0,           0,          39,      -2.133937393,      0.2523899097,     0.09894682451,      0.2950714922,        3.32699029,      -6.421434981
          0,           0,          40,      -2.130771401,      0.2563654173,       0.105831785,      0.2945950448,       3.328387688,       -6.41119905
          0,           0,          41,      -2.125653573,      0.2598187144,      0.1098973412,      0.2933772089,       3.332570155,      -6.400664305
          0,           0,          42,      -2.119998641,      0.2633393812,       0.110354932,      0.2917824179,       3.338397962,      -6.390218695
          0,           0,          43,      -2.114918466,      0.2670471974,      0.1090527862,      0.2901181638,       3.344357269,      -6.380261182
          0,           0,          44,      -2.110873731,      0.2719660288,      0.1063306807,      0.2891687409,       3.349730986,       -6.37100879
          0,           0,          45,      -2.108087291,      0.2776207625,       0.102617795,      0.2892291593,       3.353892108,      -6.362569959
          0,           0,          46,      -2.106579803,      0.2836614126,     0.09889093579,      0.2901947998,       3.356703718,      -6.354975694
          0,           0,          47,      -2.105352924,      0.2915963911,     0.09739722721,      0.2919520112,       3.359504959,      -6.348220207
          0,           0,          48,      -2.104177204,      0.3000325802,     0.09805098442,      0.2950515402,       3.362167821,      -6.342328242
          0,           0,          49,      -2.103083842,      0.3090007121,      0.1001002166,      0.2988935011,       3.364318048,       -6.33723808
          0,           0,          50,       -2.10154049,      0.3181691644,      0.1051153593,      0.3036857984,       3.366593841,      -6.332774731
          0,           0,          51,      -2.099201376,      0.3280433267,      0.1132914281,      0.3090574498,       3.369813289,       -6.32871817
          0,           0,          52,      -2.096183049,       0.337283151,      0.1222374105,      0.3151901873,       3.373578005,      -6.324986723
          0,           0,          53,      -2.092827209,       0.345618423,      0.1313577376,      0.3216505823,       3.377688418,      -6.321544209
          0,           0,          54,      -2.089131781,      0.3531942107,      0.1416264985,      0.3284732497,       3.382278199,      -6.318399447
          0,           0,          55,      -2.085268911,      0.3595448296,      0.1525113281,      0.3355201814,       3.386553021,      -6.315592863
          0,           0,          56,      -2.081917208,      0.3647400461,      0.1638432981,      0.3427039404,       3.390227415,      -6.313099859
          0,           0,          57,      -2.078980663,      0.3692825656,      0.1752285977,      0.3495180475,       3.393337532,      -6.310896674
          0,           0,          58,      -2.076236936,      0.3726849577,      0.1867143558,      0.3558785242,       3.395933362,      -6.308976513
          0,           0,          59,      -2.073458094,      0.3750064646,      0.1988404638,      0.3620215247,       3.398458985,      -6.307207609
          0,           0,          60,      -2.070924391,      0.3760729163,      0.2091024208,      0.3675465417,       3.400325633,      -6.305535108
          0,           0,          61,      -2.068971593,      0.3764232713,      0.2187074119,       0.372513973,       3.401361194,      -6.303956681
          0,           0,          62,      -2.067023627,       0.375531602,      0.2274208416,      0.3768612461,        3.40195198,      -6.302474354
          0,           0,          63,        -2.0650877,      0.3730149702,      0.2349775805,      0.3802853831,       3.402088454,      -6.301113358
          0,           0,          64,      -2.062888503,      0.3690288578,      0.2416702692,      0.3823671776,       3.402389853,      -6.299842053
          0,           0,          65,       -2.06084777,      0.3646554451,      0.2473100588,       0.382836645,       3.402587698,      -6.298610631
          0,           0,          66,      -2.059079208,      0.3598514717,      0.2518440492,       0.381641413,       3.402760674,       -6.29735354
