"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -11.01695497,      -10.43070387,      -11.58975133,      -11.53324353,      -10.69736406,      -13.55993901
          0,           0,           1,      -11.01205283,      -10.43411537,      -11.65520708,      -11.63685023,      -10.69382858,      -13.56406176
          0,           0,           2,      -11.00897135,      -10.43564812,      -11.66776381,      -11.60668506,      -10.68867226,      -13.56483238
          0,           0,           3,      -11.00419278,      -10.43616036,      -11.62434001,      -11.56068181,      -10.68043479,       -13.5655477
          0,           0,           4,      -10.98380152,      -10.43576965,      -11.58130699,      -11.45097573,      -10.64731955,      -13.56639785
          0,           0,           5,      -10.95438325,      -10.43455413,      -11.56144982,      -11.30866536,      -10.60240861,      -13.56732137
          0,           0,           6,      -10.95044175,      -10.43282292,      -11.49012726,      -11.20228226,      -10.59746692,      -13.56827631
          0,           0,           7,      -10.90931766,      -10.42978811,      -11.34800614,      -11.03254488,      -10.54065331,      -13.56924377
          0,           0,           8,      -10.75940704,      -10.41918802,      -11.24905938,       -10.7994696,      -10.35207239,      -13.57021821
          0,           0,           9,      -10.75718532,      -10.40064205,        -11.020099,      -10.60387966,      -10.35092321,       -13.5712019
          0,           0,          10,      -10.48133765,      -10.34985032,      -10.78660504,      -10.34058524,      -10.04780629,      -13.57351202
          0,           0,          11,       -10.8036237,      -10.41083174,      -11.07133838,      -10.61905248,      -10.39384749,      -13.57396768
          0,           0,          12,      -10.88305216,      -10.42894423,      -11.29937184,      -10.89130272,       -10.4981676,      -13.57445156
          0,           0,          13,      -10.90938746,      -10.42989153,      -11.38700907,       -11.1109869,      -10.54706458,      -13.57496469
          0,           0,          14,      -10.88207401,      -10.42903511,      -11.35941771,      -11.05403287,      -10.50760352,      -13.57551343
          0,           0,          15,      -10.89124816,      -10.42824211,      -11.33282426,      -11.08155704,      -10.51374265,      -13.57610231
          0,           0,          16,      -10.91032686,      -10.43144895,      -11.46688138,      -11.25082729,      -10.54466992,      -13.57673966
          0,           0,          17,      -10.88837187,       -10.4305098,      -11.40828628,      -11.22358311,      -10.51464845,      -13.57743436
          0,           0,          18,      -10.86883249,      -10.42921293,      -11.36015708,      -11.20896156,      -10.48488937,      -13.57819407
          0,           0,          19,      -10.88456438,      -10.42964865,      -11.28778018,      -11.21432331,      -10.50562626,      -13.57902668
          0,           0,          20,      -10.90714723,      -10.43343408,      -11.41823678,      -11.30918048,      -10.53967768,      -13.57994338
          0,           0,          21,      -10.88131869,      -10.43233098,      -11.31863769,      -11.16347325,      -10.50257525,      -13.58095245
