"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,     "Avg CFL"    ,       "CD"       ,       "CL"       
           0,       0.003067211,      -3.116025837,      -2.660818436,      -10.06579383,                         1,     -0.7019802992,       10.98375538,     0.06104778449,        0.26003377
           1,      0.0030616225,      -3.288729613,      -2.832172545,      -10.12445117,                         2,     -0.8376742152,       12.06985189,      0.1055584349,      0.2976302717
           2,    0.002955032667,      -3.329097745,       -2.86945305,      -10.07931165,                         2,      -0.720663408,       13.27053034,      0.1324497641,       0.278718019
           3,     0.00291428275,      -3.412295652,      -2.952830169,      -9.972974856,                         3,     -0.9487281711,       14.59710559,      0.1497111778,      0.2661862338
           4,      0.0028880948,       -3.47016309,      -3.012822309,      -9.849372087,                         3,      -0.980357162,       16.05681615,      0.1502533461,      0.2765825904
           5,    0.002850256167,      -3.476824791,      -3.021766119,      -9.731458489,                         2,     -0.6109827506,       17.66249776,      0.1405162031,      0.2987138805
           6,       0.002832851,      -3.437764544,      -2.982795975,      -9.613849096,                         2,     -0.6792432397,       19.42874754,      0.1283259286,      0.3136506605
           7,    0.002815565125,      -3.395418859,       -2.93992075,      -9.494598021,                         2,     -0.7462063918,       21.37162229,      0.1139879746,      0.3095752941
           8,    0.002802790333,      -3.383315301,      -2.932304205,      -9.386409166,                         2,     -0.7580967277,       23.50878452,       0.103790075,      0.2930703055
           9,      0.0027903356,      -3.369192643,       -2.91803621,      -9.297357422,                         2,     -0.7369606899,                11,     0.09835047262,      0.2858290772
          10,    0.002920988727,      -3.340406665,      -2.889451382,      -9.329808595,                         2,     -0.6227358709,              12.1,     0.09421568422,       0.275732054
          11,    0.003102874083,      -3.413855952,      -2.973084393,      -9.258995315,                         3,     -0.6820580503,             13.31,      0.0941570567,      0.2865545832
          12,    0.003248275154,       -3.48708435,      -3.060244524,       -9.32644945,                         3,     -0.6045771322,            14.641,      0.0945164375,      0.3122857915
          13,    0.003506264357,       -3.54380716,      -3.119538722,       -9.35018561,                         5,      -0.563639462,            14.641,     0.09677809149,      0.3531165257
          14,    0.003727853867,       -3.55220324,      -3.116553607,      -9.447209877,                         5,     -0.5102164233,           11.7128,     0.09620516866,      0.3796591837
          15,     0.00386783975,      -3.634215457,      -3.193023584,      -9.480936913,                         4,     -0.6676663809,          12.88408,     0.09628385989,      0.3846108391
          16,    0.004038035176,      -3.657131088,      -3.211695849,      -9.489337053,                         5,     -0.5185918647,         10.307264,     0.09494320997,      0.3777857134
          17,    0.004178979056,      -3.660686719,      -3.214287062,      -9.442971791,                         5,     -0.5540877438,         10.307264,     0.09333577225,      0.3625006486
          18,    0.004304359789,      -3.651441488,      -3.210361331,      -9.465343671,                         5,     -0.4957170748,         8.2458112,     0.09315382401,       0.367497677
          19,     0.00441602655,      -3.697246487,      -3.261583803,      -9.446102767,                         5,     -0.5641889146,         8.2458112,     0.09443064942,      0.3846595922
          20,    0.004523420714,      -3.622127401,      -3.183145868,      -9.449807138,                         5,     -0.5406226734,         8.2458112,     0.09096457705,       0.382574688
          21,       0.004544198,       -3.66816358,      -3.233431418,       -9.49647835,                         3,     -0.6516758942,        9.07039232,     0.08735134586,      0.3809817392
          22,    0.004621216957,      -3.707178402,      -3.283610828,      -9.518604451,                         5,     -0.5216971659,       7.256313856,     0.08619108476,      0.3732519432
          23,    0.004701229375,      -3.765864067,      -3.346147873,      -9.516250934,                         5,     -0.5475820613,       7.256313856,     0.08445255888,      0.3573507235
          24,     0.00467923644,       -3.79622918,      -3.377233642,        -9.4879805,                         2,     -0.6199879861,       7.981945242,     0.08407177795,      0.3517247551
          25,    0.004656335462,      -3.808415242,      -3.386677202,      -9.502086263,                         2,     -0.6115561107,       8.780139766,     0.08427913461,      0.3499719118
          26,    0.004634766852,       -3.83669614,       -3.41468443,      -9.518273483,                         2,     -0.6339503156,       9.658153742,     0.08435888561,      0.3533628122
          27,    0.004696628036,      -3.828985626,      -3.403943095,      -9.510154294,                         5,      -0.540209903,       9.658153742,     0.08416955161,      0.3550579517
          28,    0.004733894483,      -3.848138167,      -3.422577321,      -9.530065583,                         4,     -0.6308919724,       10.62396912,     0.08281828353,      0.3570007873
          29,      0.0047689892,      -3.752079365,      -3.313309022,      -9.530207779,                         4,     -0.6223890595,       11.68636603,     0.08139177318,      0.3504393932
          30,    0.004832467032,      -3.860140349,      -3.436550636,      -9.525666779,                         5,     -0.4162906713,       9.349092823,      0.0802347199,      0.3498916898
          31,    0.004887687375,      -3.857920007,      -3.439417956,      -9.524062651,                         5,     -0.4092721785,       7.479274258,     0.08064472043,      0.3498568749
          32,    0.004939967212,      -3.875023268,      -3.464156844,      -9.519089481,                         5,     -0.4505207144,       5.983419406,     0.08000847204,      0.3463027514
          33,    0.004990438176,      -3.847898802,      -3.430357686,      -9.503908919,                         5,     -0.5498660616,       5.983419406,     0.07950457142,      0.3443497943
          34,    0.005034888629,      -3.866256372,      -3.456097875,      -9.509778626,                         5,     -0.5751286464,       5.983419406,     0.07918830881,      0.3464794532
          35,    0.005053848833,      -3.898617414,      -3.499833001,      -9.509279768,                         4,     -0.6545557096,       6.581761347,     0.07858430266,      0.3410812979
          36,    0.005093591405,      -3.891066413,      -3.495218192,      -9.527517249,                         5,     -0.5670954977,       6.581761347,     0.07823246632,      0.3365762612
          37,    0.005089326632,      -3.870594016,      -3.467557874,      -9.519644964,                         3,     -0.6050049034,       7.239937482,     0.07776890389,      0.3293247452
          38,    0.005128309256,      -3.927482608,      -3.540551876,      -9.521045897,                         5,     -0.4954260892,       5.791949985,     0.07830064707,      0.3260358839
          39,     0.00516368745,      -3.917342419,      -3.522533293,      -9.514041289,                         5,     -0.4544303422,                 5,     0.07790234037,       0.325559586
          40,    0.005196761537,      -3.912228269,      -3.512668314,      -9.490991951,                         5,      -0.509723096,                 5,     0.07844228122,      0.3331788971
          41,    0.005219940381,      -3.880768314,      -3.471445873,      -9.461141543,                         5,      -0.555325561,                 5,     0.07917029717,      0.3397679717
          42,    0.005248289558,      -3.832045205,      -3.413463027,      -9.463248727,                         5,     -0.6487106805,               5.5,     0.07929136054,      0.3474754637
          43,    0.005276091977,      -3.826000681,       -3.40924106,      -9.472568984,                         5,     -0.6198982722,              6.05,     0.07953915555,      0.3469342363
          44,    0.005303202956,      -3.866293892,      -3.452209917,      -9.490633043,                         5,     -0.4547174874,                 5,      0.0792630894,       0.338150078
          45,    0.005322246391,      -3.834646721,      -3.411073383,      -9.491724972,                         5,     -0.4172253874,                 5,     0.07733420689,      0.3263892684
          46,    0.005340048383,      -3.884535418,      -3.462917418,      -9.507363853,                         5,     -0.4926447878,                 5,      0.0759836375,      0.3208987242
          47,    0.005357482625,      -3.880936074,      -3.458084308,      -9.491539211,                         5,     -0.4596635521,                 5,     0.07410785782,      0.3196026787
          48,    0.005378590612,      -3.917120994,      -3.497073698,      -9.485503985,                         5,     -0.4699645256,                 5,     0.07276259734,      0.3142067323
          49,     0.00539410204,      -3.934345691,      -3.513742777,      -9.471773016,                         5,     -0.3896174178,                 5,     0.07151453458,      0.3098615058
          50,    0.005416115392,      -3.912209928,      -3.486206753,      -9.445691173,                         5,     -0.4263152386,                 5,     0.07096001599,      0.3018561003
          51,    0.005437074981,      -3.769847213,      -3.331203122,       -9.45781355,                         5,     -0.4119136265,                 5,     0.07007624139,      0.3027568322
          52,    0.005443307075,      -3.843788497,      -3.406708497,      -9.433536819,                         4,     -0.6168051852,               5.5,     0.06762148444,       0.298531398
          53,    0.005462482463,      -3.718498459,      -3.257422302,      -9.435993082,                         5,     -0.6237709934,              6.05,     0.06709480951,      0.2971484841
          54,    0.005483686127,      -3.840044894,      -3.384350748,      -9.439050479,                         5,     -0.4299217041,                 5,     0.06607610753,      0.2962806086
          55,    0.005473967964,      -3.894498026,      -3.446234669,      -9.449375284,                         3,     -0.6779951834,               5.5,     0.06559834512,      0.2845383832
          56,    0.005465087211,      -3.902867056,      -3.457270451,       -9.45294756,                         3,      -0.692365708,              6.05,     0.06659896763,      0.2911750786
          57,    0.005485201431,      -4.015253072,      -3.580299072,       -9.45498078,                         5,     -0.5771533847,              6.05,      0.0666669522,      0.2959239191
          58,    0.005518330661,      -4.044572025,      -3.621308561,      -9.447353819,                         5,     -0.5139380548,                 5,      0.0670875848,       0.300509772
          59,    0.005520671717,      -4.045385511,       -3.62279245,      -9.453475575,                         4,      -0.651876579,               5.5,     0.06773825363,        0.29748967
          60,    0.005511299377,      -4.071388304,      -3.648702083,      -9.461735555,                         3,     -0.6176520549,              6.05,     0.06857597889,      0.2994803871
          61,    0.005488302661,      -4.092874077,      -3.673869912,      -9.459066519,                         2,     -0.6559543059,             6.655,     0.06905653794,      0.3014666243
          62,    0.005501627587,      -4.123439528,      -3.707677612,      -9.454731768,                         5,     -0.4367979499,             5.324,     0.06895385409,      0.3019252008
          63,    0.005515596063,      -4.157401559,      -3.755189723,      -9.458588102,                         5,     -0.5494171287,             5.324,     0.06816941222,      0.3009101233
          64,    0.005532840031,      -4.120669252,      -3.711415755,      -9.460657662,                         5,     -0.6527127031,            5.8564,     0.06716679208,      0.2959619347
          65,    0.005545630364,      -4.079754942,      -3.658423878,      -9.460410719,                         5,      -0.291917485,                 5,     0.06689240943,      0.2955936639
          66,    0.005556887776,      -4.064920605,      -3.641618343,      -9.442467407,                         5,     -0.4933748902,                 5,     0.06701949082,      0.2953524676
          67,      0.0055452425,      -3.969090409,      -3.539288607,      -9.437351342,                         3,     -0.6623154395,               5.5,     0.06689098797,      0.2940181595
          68,    0.005556036304,      -4.066975102,      -3.645007238,      -9.441490124,                         5,     -0.4079503602,                 5,     0.06778795752,       0.296005008
          69,    0.005568204729,      -4.054869845,      -3.633666653,       -9.44646485,                         5,     -0.4628972913,                 5,     0.06799428488,      0.2927228361
          70,    0.005577971423,      -4.075834333,      -3.654017103,      -9.440373792,                         5,      -0.419627813,                 5,     0.07005289754,      0.2942448068
          71,    0.005587978569,      -4.061857903,      -3.637621608,      -9.433518225,                         5,     -0.4483516014,                 5,     0.07116483057,      0.2956032775
          72,       0.005597475,      -4.074185137,       -3.65080696,      -9.422456522,                         5,     -0.5515855364,                 5,     0.07223681562,      0.2981395443
          73,     0.00559827273,      -4.086992086,      -3.664106289,      -9.426482667,                         4,     -0.6396212294,               5.5,     0.07332741331,       0.296794033
          74,    0.005608489493,       -4.08176323,      -3.657267257,      -9.421855602,                         5,     -0.3815586107,                 5,     0.07367782118,      0.3008823082
          75,    0.005619097803,      -4.116666038,       -3.69873339,      -9.428156614,                         5,     -0.6463754026,               5.5,     0.07386395701,      0.3038219026
          76,    0.005630456636,      -4.080827747,      -3.653718117,      -9.434277049,                         5,     -0.5080069632,                 5,     0.07354582567,      0.3028655354
          77,    0.005638156679,      -4.201485093,      -3.795997856,      -9.432370283,                         5,     -0.7129384544,               5.5,       0.073479555,      0.3019700514
          78,    0.005648852101,      -4.215145208,        -3.8098358,      -9.435316124,                         5,     -0.3080811598,                 5,     0.07368586958,      0.3022923803
          79,    0.005658479125,      -4.191495985,      -3.776101936,      -9.432222677,                         5,     -0.5120886917,                 5,     0.07390711671,      0.3038122388
          80,    0.005669106679,      -4.150385779,      -3.716605056,      -9.429982515,                         5,     -0.4330744054,                 5,     0.07415738507,      0.3054825746
          81,    0.005677880146,      -4.142802964,       -3.71033894,      -9.431516464,                         5,      -0.495615487,                 5,     0.07132654876,      0.3022716659
          82,    0.005665790952,      -4.017342886,      -3.578502126,      -9.433292562,                         3,     -0.6329494833,               5.5,     0.07098282069,      0.3014862288
          83,    0.005655214393,       -4.15090084,      -3.718994873,      -9.430517147,                         3,     -0.6274994905,              6.05,     0.07064754118,      0.3005017804
          84,    0.005663813188,      -4.199059478,      -3.772332524,      -9.416498892,                         5,     -0.5080772566,                 5,     0.07073979681,      0.2966722019
          85,       0.005664159,      -4.172648506,      -3.742870201,      -9.411281297,                         4,     -0.6093559946,               5.5,     0.07078554406,      0.2956807149
          86,    0.005673803575,      -4.258798632,      -3.837665375,      -9.405631973,                         5,      -0.697916148,              6.05,     0.07050867488,       0.295662172
          87,    0.005683250602,      -4.323898742,      -3.920730075,      -9.400728829,                         5,      -0.476384329,                 5,     0.06985898284,      0.2941747926
          88,    0.005690082483,      -4.295007965,      -3.879922318,      -9.404673771,                         5,      -0.468691372,                 5,     0.06947334502,      0.2937760059
          89,    0.005698683189,      -4.282287599,      -3.861800647,      -9.406318052,                         5,     -0.3863129385,                 5,     0.06941431443,      0.2926298673
