"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.611178342,      -12.33191949,      -12.87309459,      -12.98596355,      -2.155970941,      -9.473368653
          0,           0,           1,      -2.742187138,      -2.987333242,      -3.847362702,      -2.584429134,      -2.284445598,      -9.547014966
          0,           0,           2,      -2.758122554,      -3.045671236,      -3.693426341,      -2.905580711,      -2.299033032,      -9.506359765
          0,           0,           3,      -2.843847334,      -3.018225184,      -3.509477473,      -2.960307322,      -2.387205712,      -9.403330078
          0,           0,           4,      -2.842752675,      -2.933479201,      -3.281146966,      -2.876529194,      -2.385439136,      -9.286622131
          0,           0,           5,      -2.806857687,      -2.862735728,      -3.097470012,      -2.779693022,      -2.351086143,      -9.159781784
          0,           0,           6,      -2.775277828,      -2.837424153,      -2.993578139,      -2.702505118,      -2.324823409,      -9.017147168
          0,           0,           7,      -2.776563933,      -2.850625981,      -2.950075258,      -2.660379196,       -2.33240175,       -8.85682244
          0,           0,           8,      -2.794438382,      -2.903542053,      -2.955519719,      -2.661279652,      -2.353148777,      -8.674414989
          0,           0,           9,      -2.833781138,       -2.96822568,      -2.999040688,      -2.735014705,      -2.394083164,      -8.490484712
          0,           0,          10,       -2.85907606,      -2.977186953,      -3.063890959,      -2.852984543,      -2.416019819,      -8.279637727
          0,           0,          11,      -3.008610635,      -3.161700602,      -3.220702996,      -3.070764558,      -2.585160002,      -8.294859694
          0,           0,          12,      -2.994303479,      -3.185441167,      -3.362301172,      -3.014787017,      -2.566399948,      -8.230258249
          0,           0,          13,      -3.144762552,      -3.211713829,      -3.485526472,      -3.252697704,      -2.718526945,      -8.210300351
          0,           0,          14,       -3.12642753,      -3.177452281,      -3.597408635,      -3.256561133,       -2.68715332,      -8.213453995
          0,           0,          15,      -3.158607013,      -3.195627513,      -3.664416309,      -3.232030034,      -2.712586666,      -8.226934445
          0,           0,          16,      -3.254773875,      -3.237142949,      -3.704100708,      -3.386588108,      -2.802860444,      -8.257345768
          0,           0,          17,      -3.298138747,      -3.247353742,      -3.732739781,      -3.391786384,      -2.845306288,      -8.320816381
          0,           0,          18,      -3.310014935,        -3.3301848,      -3.789718906,      -3.458240126,      -2.848168471,      -8.344075605
          0,           0,          19,      -3.354824782,      -3.364362314,       -3.83835192,      -3.454353745,      -2.886669765,      -8.367944765
          0,           0,          20,       -3.55028042,      -3.453614146,      -3.941459978,      -3.468726623,      -3.096035235,      -8.376893851
          0,           0,          21,      -3.401241331,      -3.437354156,      -4.011689757,      -3.395955037,      -2.940621046,      -8.430999199
          0,           0,          22,      -3.518384497,      -3.538546063,      -4.052736132,      -3.708494236,      -3.064386252,      -8.450295612
          0,           0,          23,      -3.530944275,      -3.532524344,      -4.090446341,      -3.596298508,      -3.069437707,      -8.482262664
          0,           0,          24,      -3.427516686,      -3.512998923,      -4.073418316,       -3.45162986,      -2.969620836,      -8.494229703
          0,           0,          25,      -3.479770217,      -3.561504456,      -4.121803676,      -3.550062312,      -3.022304177,      -8.478449246
          0,           0,          26,      -3.475890759,      -3.545680681,      -4.037979436,      -3.425021058,      -3.025885939,      -8.392315183
          0,           0,          27,      -3.409942479,      -3.577781035,      -4.033509981,      -3.652718977,      -2.961960995,      -8.351399159
          0,           0,          28,      -3.684293258,      -3.607491382,      -4.167114856,      -3.880864634,      -3.232552417,      -8.354305827
          0,           0,          29,       -3.61715921,      -3.611455695,       -4.21366929,      -3.744467937,      -3.161630595,      -8.354065049
          0,           0,          30,      -3.469531601,      -3.555964233,      -4.148075842,      -3.497508194,      -3.021101092,      -8.384064162
          0,           0,          31,      -3.849904517,      -3.631703339,      -4.241833549,      -3.899508209,      -3.417138764,      -8.350181764
          0,           0,          32,      -3.922717197,      -3.637197942,       -4.25102736,      -3.968173029,      -3.495196441,      -8.340457745
          0,           0,          33,      -3.692452812,      -3.649812041,      -4.291463723,      -3.745316536,      -3.221635557,      -8.361589442
          0,           0,          34,      -3.870902043,         -3.632423,      -4.276706584,      -3.901286064,      -3.438718764,      -8.346646828
          0,           0,          35,      -3.718680179,      -3.642767207,      -4.265132805,      -3.747936966,      -3.269188664,      -8.340928814
