"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.835886455,      -3.915833402,      -3.755569174,      -3.239509311
          0,           0,           1,      -3.942752053,      -3.895963573,      -3.862172027,      -3.334943588
          0,           0,           2,      -3.999424402,      -3.979869224,       -3.91745985,      -3.400913306
          0,           0,           3,      -3.962938753,      -3.937657078,       -3.92334036,      -3.365688779
          0,           0,           4,      -3.980205898,      -3.955159401,      -3.971645457,      -3.386285284
          0,           0,           5,      -4.009141977,       -3.98699514,      -4.011992307,      -3.420984759
          0,           0,           6,      -4.016061154,      -3.991431925,      -4.016967955,      -3.428304611
          0,           0,           7,      -4.021803879,      -3.985086598,      -4.027426929,      -3.427519939
          0,           0,           8,      -4.043791664,      -3.989335332,      -4.054625087,      -3.443872175
          0,           0,           9,      -4.076163842,      -4.008120503,      -4.091053903,      -3.475981058
          0,           0,          10,      -4.112207492,      -4.036836566,      -4.135306607,      -3.515751587
          0,           0,          11,      -4.152202066,         -4.070288,      -4.184858037,      -3.559263873
          0,           0,          12,      -4.196112638,      -4.105949216,      -4.233727901,      -3.604456439
          0,           0,          13,       -4.23991238,      -4.140899795,      -4.279822125,      -3.648186777
          0,           0,          14,      -4.280621057,      -4.172332726,      -4.325691902,      -3.688911304
          0,           0,          15,      -4.319821136,      -4.200368181,      -4.373304829,      -3.728525936
          0,           0,          16,      -4.360150947,      -4.226605791,      -4.422495989,      -3.769272619
          0,           0,          17,      -4.401459069,      -4.251469641,      -4.472171424,      -3.810738026
          0,           0,          18,      -4.441158708,      -4.274517088,      -4.520496307,       -3.85044347
          0,           0,          19,      -4.476918084,      -4.295654373,      -4.565859131,      -3.886404037
          0,           0,          20,      -4.508368107,      -4.315364832,      -4.608915145,      -3.918494432
          0,           0,          21,      -4.536139792,      -4.334497663,      -4.652026904,      -3.947530537
          0,           0,          22,      -4.560610709,      -4.353419917,      -4.696405176,      -3.974504428
          0,           0,          23,      -4.582117313,      -4.371706501,      -4.740651358,       -3.99959496
          0,           0,          24,      -4.599768554,      -4.388677443,      -4.782287106,      -4.020716686
          0,           0,          25,      -4.612071461,      -4.404017134,      -4.820167878,       -4.03578024
