"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 3.193643959439964e-01, 8.176244452364975e-02, 6.555388275444343e-01, 9.224775492430389e-01, -5.044307710883581e-03, 2.034091089283118e+00, 5.540056592768835e-01, 8.451149436138190e-01, 1.293724997782359e+00, -9.955230819712423e-01
1, 2.996993641796039e-01, 8.484143256432186e-02, 6.622138003625929e-01, 9.262564328927873e-01, 3.346823206813047e-03, 2.052549987702867e+00, 5.619006048687792e-01, 8.485184158969695e-01, 1.283338404768606e+00, -9.779004355607607e-01
2, 3.025576439716510e-01, 8.238862599345297e-02, 6.601767763765828e-01, 9.250994513598676e-01, 1.746849627223907e-03, 2.046911059095795e+00, 5.594968828783653e-01, 8.474955540684048e-01, 1.286459809283460e+00, -9.832658864322205e-01
3, 3.219072840740725e-01, 7.957291393160107e-02, 6.538981777728592e-01, 9.215054920535839e-01, -6.302908263447681e-03, 2.029540647748482e+00, 5.520779305939167e-01, 8.442873055163780e-01, 1.296250126492016e+00, -9.998260477814359e-01
4, 3.167074740173736e-01, 8.419529358697596e-02, 6.573415158744589e-01, 9.235295311793859e-01, -3.691322597555539e-03, 2.039085873227399e+00, 5.561283238155112e-01, 8.460264723667971e-01, 1.290943396138017e+00, -9.907849914832340e-01
5, 3.363265112278113e-01, 8.101832172300839e-02, 6.506853657640640e-01, 9.196872366207008e-01, -1.096840417299966e-02, 2.020679420422647e+00, 5.482551876210157e-01, 8.425810944391379e-01, 1.301457920471963e+00, -1.008358956203090e+00
6, 3.386877640564073e-01, 7.885162827983283e-02, 6.491595536578882e-01, 9.187627089016853e-01, -1.208194608246284e-02, 2.016444540781070e+00, 5.464658349259724e-01, 8.418051183976936e-01, 1.303826054886149e+00, -1.012353047040240e+00
7, 2.967097854222363e-01, 8.756724389992920e-02, 6.645058381125236e-01, 9.275570323493585e-01, 5.103852985554846e-03, 2.058896402440610e+00, 5.646027931774502e-01, 8.496581381153249e-01, 1.279859414683252e+00, -9.718687652289059e-01
8, 2.828823328588237e-01, 8.536061873441586e-02, 6.673301372373002e-01, 9.289923680026532e-01, 1.134242838026117e-02, 2.066670941984803e+00, 5.679791846461959e-01, 8.511217356338648e-01, 1.275392669968058e+00, -9.643321771290271e-01
9, 2.859397578391006e-01, 8.289153053489742e-02, 6.650107609927115e-01, 9.277282463253113e-01, 9.468590600200763e-03, 2.060261979498185e+00, 5.652309799070102e-01, 8.499576443894648e-01, 1.278945579210065e+00, -9.704665627075666e-01
