"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
9.978594183922e-01,9.438066482544e-01,1.924894563854e-02,0.000000000000e+00,2.941698551178e+00,9.980688095093e-01,1.000209808350e+00,7.994557023048e-01,-4.310663789511e-03,2.000000000000e+01,0.000000000000e+00,0.000000000000e+00
9.985787868500e-01,9.451764225960e-01,1.789023540914e-02,0.000000000000e+00,2.943895816803e+00,9.985682964325e-01,9.999895095825e-01,8.001042604446e-01,-3.195800120011e-03,1.984229087830e+01,2.506659984589e+00,0.000000000000e+00
9.997633695602e-01,9.469550251961e-01,1.824948564172e-02,0.000000000000e+00,2.947455883026e+00,9.995285272598e-01,9.997651576996e-01,8.007552027702e-01,-1.052334322594e-03,1.937166023254e+01,4.973800182343e+00,0.000000000000e+00
9.997344017029e-01,9.466832876205e-01,1.858865097165e-02,0.000000000000e+00,2.947394847870e+00,9.995993375778e-01,9.998649358749e-01,8.005142807961e-01,-8.943612920120e-04,1.859552955627e+01,7.362490177155e+00,0.000000000000e+00
9.996163845062e-01,9.466357231140e-01,1.860351487994e-02,0.000000000000e+00,2.947088479996e+00,9.994735121727e-01,9.998570680618e-01,8.005719780922e-01,-1.175167504698e-03,1.752613067627e+01,9.635069847107e+00,0.000000000000e+00
9.995415210724e-01,9.467307925224e-01,1.860171929002e-02,0.000000000000e+00,2.946922302246e+00,9.993575811386e-01,9.998160004616e-01,8.007287383080e-01,-1.433915342204e-03,1.618033981323e+01,1.175570964813e+01,0.000000000000e+00
9.994223713875e-01,9.467859268188e-01,1.859559677541e-02,0.000000000000e+00,2.946619749069e+00,9.991943240166e-01,9.997718334198e-01,8.008884191513e-01,-1.798383076675e-03,1.457936954498e+01,1.369093990326e+01,0.000000000000e+00
9.992842078209e-01,9.468200802803e-01,1.857785135508e-02,0.000000000000e+00,2.946221351624e+00,9.989973902702e-01,9.997130036354e-01,8.010513186455e-01,-2.237926470116e-03,1.274847984314e+01,1.541026973724e+01,0.000000000000e+00
9.991178512573e-01,9.468024969101e-01,1.857720687985e-02,0.000000000000e+00,2.945695400238e+00,9.987637400627e-01,9.996455907822e-01,8.011968135834e-01,-2.759477123618e-03,1.071654033661e+01,1.688656044006e+01,0.000000000000e+00
9.989381432533e-01,9.467272758484e-01,1.859396882355e-02,0.000000000000e+00,2.945080518723e+00,9.985138773918e-01,9.995753169060e-01,8.013057708740e-01,-3.317205468193e-03,8.515589714050e+00,1.809654045105e+01,0.000000000000e+00
9.987810254097e-01,9.466218948364e-01,1.866583712399e-02,0.000000000000e+00,2.944511651993e+00,9.982975721359e-01,9.995159506798e-01,8.013676404953e-01,-3.800040343776e-03,6.180339813232e+00,1.902112960815e+01,0.000000000000e+00
9.987164139748e-01,9.465155601501e-01,1.883154548705e-02,0.000000000000e+00,2.944215774536e+00,9.982066750526e-01,9.994895458221e-01,8.013428449631e-01,-4.003017675132e-03,3.747629880905e+00,1.964575004578e+01,0.000000000000e+00
9.987878203392e-01,9.463706612587e-01,1.911233179271e-02,0.000000000000e+00,2.944281339645e+00,9.982985258102e-01,9.995101094246e-01,8.011594414711e-01,-3.797954414040e-03,1.255810022354e+00,1.996052932739e+01,0.000000000000e+00
9.990077614784e-01,9.461703300476e-01,1.950230635703e-02,0.000000000000e+00,2.944771289825e+00,9.986069202423e-01,9.995987415314e-01,8.007848262787e-01,-3.109613200650e-03,-1.255810022354e+00,1.996052932739e+01,0.000000000000e+00
9.993237853050e-01,9.461007118225e-01,1.987676322460e-02,0.000000000000e+00,2.945681810379e+00,9.990512132645e-01,9.997272491455e-01,8.004278540611e-01,-2.117884112522e-03,-3.747629880905e+00,1.964574050903e+01,0.000000000000e+00
9.996172785759e-01,9.462361931801e-01,2.022152952850e-02,0.000000000000e+00,2.946719646454e+00,9.994649291039e-01,9.998475909233e-01,8.002653717995e-01,-1.194384647533e-03,-6.180339813232e+00,1.902112960815e+01,0.000000000000e+00
9.998276829720e-01,9.462975263596e-01,2.046755328774e-02,0.000000000000e+00,2.947437286377e+00,9.997644424438e-01,9.999366998672e-01,8.001176118851e-01,-5.257969023660e-04,-8.515589714050e+00,1.809654045105e+01,0.000000000000e+00
9.999768137932e-01,9.463443160057e-01,2.062391676009e-02,0.000000000000e+00,2.947936773300e+00,9.999719262123e-01,9.999951124191e-01,8.000173568726e-01,-6.267591379583e-05,-1.071654033661e+01,1.688656044006e+01,0.000000000000e+00
1.000070691109e+00,9.463663697243e-01,2.071105688810e-02,0.000000000000e+00,2.948235511780e+00,1.000099301338e+00,1.000028610229e+00,7.999491095543e-01,2.215341664851e-04,-1.274847984314e+01,1.541026020050e+01,0.000000000000e+00
1.000122666359e+00,9.463575482368e-01,2.074674144387e-02,0.000000000000e+00,2.948386907578e+00,1.000172138214e+00,1.000049591064e+00,7.998924255371e-01,3.842985024676e-04,-1.457936954498e+01,1.369093990326e+01,0.000000000000e+00
1.000152587891e+00,9.463444352150e-01,2.075375244021e-02,0.000000000000e+00,2.948466539383e+00,1.000214219093e+00,1.000061631203e+00,7.998526096344e-01,4.782375763170e-04,-1.618033981323e+01,1.175570011139e+01,0.000000000000e+00
1.000169038773e+00,9.463309645653e-01,2.074667625129e-02,0.000000000000e+00,2.948503017426e+00,1.000236868858e+00,1.000067949295e+00,7.998254895210e-01,5.288110114634e-04,-1.752613067627e+01,9.635069847107e+00,0.000000000000e+00
1.000179409981e+00,9.463189244270e-01,2.072990499437e-02,0.000000000000e+00,2.948523044586e+00,1.000251531601e+00,1.000072002411e+00,7.998049855232e-01,5.613739485852e-04,-1.859552955627e+01,7.362490177155e+00,0.000000000000e+00
1.000187039375e+00,9.463097453117e-01,2.070699818432e-02,0.000000000000e+00,2.948536634445e+00,1.000262022018e+00,1.000074863434e+00,7.997895479202e-01,5.848725559190e-04,-1.937166023254e+01,4.973800182343e+00,0.000000000000e+00
1.000194191933e+00,9.463035464287e-01,2.068073675036e-02,0.000000000000e+00,2.948551416397e+00,1.000271677971e+00,1.000077486038e+00,7.997771501541e-01,6.064842455089e-04,-1.984229087830e+01,2.506659984589e+00,0.000000000000e+00
1.000202417374e+00,9.462998509407e-01,2.065132558346e-02,0.000000000000e+00,2.948572397232e+00,1.000283241272e+00,1.000080823898e+00,7.997655868530e-01,6.322301342152e-04,-2.000000000000e+01,0.000000000000e+00,0.000000000000e+00
1.000213384628e+00,9.462990164757e-01,2.061942219734e-02,0.000000000000e+00,2.948604345322e+00,1.000298619270e+00,1.000085234642e+00,7.997537851334e-01,6.664805114269e-04,-1.984229087830e+01,-2.506669998169e+00,0.000000000000e+00
1.000230073929e+00,9.463024139404e-01,2.058400772512e-02,0.000000000000e+00,2.948657512665e+00,1.000321865082e+00,1.000091791153e+00,7.997400164604e-01,7.183788693510e-04,-1.937166023254e+01,-4.973800182343e+00,0.000000000000e+00
1.000254273415e+00,9.463102221489e-01,2.054201066494e-02,0.000000000000e+00,2.948736906052e+00,1.000355362892e+00,1.000101089478e+00,7.997227311134e-01,7.932175649330e-04,-1.859552955627e+01,-7.362490177155e+00,0.000000000000e+00
1.000286579132e+00,9.463228583336e-01,2.048966847360e-02,0.000000000000e+00,2.948846340179e+00,1.000400543213e+00,1.000113964081e+00,7.997015118599e-01,8.940456900746e-04,-1.752613067627e+01,-9.635080337524e+00,0.000000000000e+00
1.000331401825e+00,9.463441371918e-01,2.042358554900e-02,0.000000000000e+00,2.949002742767e+00,1.000463604927e+00,1.000132083893e+00,7.996751666069e-01,1.034722779877e-03,-1.618033981323e+01,-1.175570964813e+01,0.000000000000e+00
1.000390052795e+00,9.463823437691e-01,2.033610641956e-02,0.000000000000e+00,2.949214220047e+00,1.000545024872e+00,1.000154852867e+00,7.996498346329e-01,1.216456643306e-03,-1.457936954498e+01,-1.369093990326e+01,0.000000000000e+00
1.000469446182e+00,9.464390277863e-01,2.022708207369e-02,0.000000000000e+00,2.949505329132e+00,1.000655055046e+00,1.000185489655e+00,7.996200323105e-01,1.462117303163e-03,-1.274847984314e+01,-1.541026973724e+01,0.000000000000e+00
1.000577092171e+00,9.465266466141e-01,2.008074149489e-02,0.000000000000e+00,2.949913263321e+00,1.000805497169e+00,1.000228285789e+00,7.995883226395e-01,1.797963632271e-03,-1.071652984619e+01,-1.688656044006e+01,0.000000000000e+00
1.000708103180e+00,9.466466903687e-01,1.990634016693e-02,0.000000000000e+00,2.950426340103e+00,1.000990152359e+00,1.000281810760e+00,7.995604276657e-01,2.210111357272e-03,-8.515580177307e+00,-1.809654045105e+01,0.000000000000e+00
1.000862598419e+00,9.467964172363e-01,1.969838701189e-02,0.000000000000e+00,2.951039075851e+00,1.001207947731e+00,1.000344991684e+00,7.995344400406e-01,2.696232171729e-03,-6.180339813232e+00,-1.902112960815e+01,0.000000000000e+00
1.001033663750e+00,9.469480514526e-01,1.948611624539e-02,0.000000000000e+00,2.951704025269e+00,1.001448750496e+00,1.000414729118e+00,7.994942665100e-01,3.233909374103e-03,-3.747620105743e+00,-1.964575004578e+01,0.000000000000e+00
1.001198530197e+00,9.470898509026e-01,1.928318850696e-02,0.000000000000e+00,2.952341079712e+00,1.001680970192e+00,1.000481963158e+00,7.994518876076e-01,3.752289339900e-03,-1.255810022354e+00,-1.996052932739e+01,0.000000000000e+00
1.001305460930e+00,9.469710588455e-01,1.910257525742e-02,0.000000000000e+00,2.952547073364e+00,1.001828908920e+00,1.000522732735e+00,7.992468476295e-01,4.082431551069e-03,1.255810022354e+00,-1.996052932739e+01,0.000000000000e+00
1.001304984093e+00,9.468835592270e-01,1.897904276848e-02,0.000000000000e+00,2.952455520630e+00,1.001826286316e+00,1.000520586967e+00,7.991722822189e-01,4.076508339494e-03,3.747629880905e+00,-1.964574050903e+01,0.000000000000e+00
1.001227498055e+00,9.467582702637e-01,1.890488341451e-02,0.000000000000e+00,2.952101945877e+00,1.001718878746e+00,1.000490784645e+00,7.991390228271e-01,3.836829215288e-03,6.180339813232e+00,-1.902112960815e+01,0.000000000000e+00
1.001101613045e+00,9.466156363487e-01,1.887101680040e-02,0.000000000000e+00,2.951580286026e+00,1.001541972160e+00,1.000439882278e+00,7.991389036179e-01,3.441873239353e-03,8.515589714050e+00,-1.809654045105e+01,0.000000000000e+00
1.000946044922e+00,9.464793801308e-01,1.886583119631e-02,0.000000000000e+00,2.950977802277e+00,1.001324653625e+00,1.000378251076e+00,7.991726398468e-01,2.956911921501e-03,1.071654033661e+01,-1.688656044006e+01,0.000000000000e+00
1.000787854195e+00,9.463799595833e-01,1.887354627252e-02,0.000000000000e+00,2.950398921967e+00,1.001102328300e+00,1.000314235687e+00,7.992407679558e-01,2.460599876940e-03,1.274847984314e+01,-1.541026020050e+01,0.000000000000e+00
1.000630378723e+00,9.463101029396e-01,1.889371871948e-02,0.000000000000e+00,2.949853897095e+00,1.000882506371e+00,1.000252008438e+00,7.993327975273e-01,1.969890436158e-03,1.457936954498e+01,-1.369093990326e+01,0.000000000000e+00
1.000492334366e+00,9.462919235229e-01,1.892443746328e-02,0.000000000000e+00,2.949414730072e+00,1.000688672066e+00,1.000196218491e+00,7.994504570961e-01,1.537321601063e-03,1.618033981323e+01,-1.175570011139e+01,0.000000000000e+00
1.000373244286e+00,9.463133811951e-01,1.897399686277e-02,0.000000000000e+00,2.949067115784e+00,1.000519871712e+00,1.000146627426e+00,7.995844483376e-01,1.160516752861e-03,1.752614021301e+01,-9.635069847107e+00,0.000000000000e+00
1.000262379646e+00,9.462938904762e-01,1.904114149511e-02,0.000000000000e+00,2.948760509491e+00,1.000384330750e+00,1.000121951103e+00,7.996676564217e-01,8.578215492889e-04,1.859552955627e+01,-7.362490177155e+00,0.000000000000e+00
1.000240325928e+00,9.465411305428e-01,1.923374272883e-02,0.000000000000e+00,2.948716402054e+00,1.000267624855e+00,1.000027298927e+00,7.999352812767e-01,5.973628140055e-04,1.937166023254e+01,-4.973790168762e+00,0.000000000000e+00
