"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.761459197,      -3.841406144,      -3.681141915,      -3.165082053
          0,           0,           1,      -3.773797665,      -3.719658539,      -3.682514713,      -3.171352185
          0,           0,           2,      -3.775980036,      -3.785478308,      -3.676906801,      -3.186328286
          0,           0,           3,      -3.735672173,      -3.735265896,      -3.697768839,      -3.147499895
          0,           0,           4,      -3.727366975,      -3.720953873,      -3.731043402,      -3.145179166
          0,           0,           5,      -3.748877174,      -3.753467151,      -3.764273136,      -3.171453425
          0,           0,           6,      -3.780030555,      -3.807164343,       -3.81134094,      -3.206972766
          0,           0,           7,      -3.798574336,      -3.832739667,      -3.864170631,      -3.228040886
          0,           0,           8,      -3.814900658,      -3.837651056,      -3.894055581,      -3.243655798
          0,           0,           9,      -3.839305532,      -3.851329623,      -3.909665399,      -3.266206269
          0,           0,          10,      -3.873629124,      -3.886166889,      -3.941346616,      -3.300792495
          0,           0,          11,      -3.915992892,      -3.940962938,      -3.997419307,      -3.347179812
          0,           0,          12,      -3.957428623,      -4.000145355,      -4.066131668,      -3.394807335
          0,           0,          13,      -3.990723779,      -4.043720623,      -4.124346552,      -3.432774588
          0,           0,          14,      -4.018699824,       -4.06827592,      -4.157206244,      -3.462122248
          0,           0,          15,      -4.047215688,      -4.085642715,      -4.175292214,      -3.489826098
          0,           0,          16,       -4.07939025,      -4.106937797,        -4.1967092,      -3.520804957
          0,           0,          17,      -4.115783061,      -4.137325936,      -4.228635488,      -3.556809989
          0,           0,          18,      -4.155090915,      -4.176553247,       -4.26981658,      -3.596801251
          0,           0,          19,      -4.194222937,      -4.220102593,      -4.317345084,      -3.637206344
          0,           0,          20,      -4.230127951,      -4.262294047,      -4.368975159,      -3.674368875
          0,           0,          21,      -4.261903408,      -4.300133398,       -4.42182777,      -3.707251941
          0,           0,          22,      -4.291240677,      -4.334138287,      -4.471615781,      -3.737815911
          0,           0,          23,      -4.320712267,      -4.366086976,      -4.514783836,      -3.768840247
          0,           0,          24,      -4.351318471,      -4.397272923,       -4.55090691,      -3.801169912
          0,           0,          25,      -4.383284872,      -4.428306613,      -4.582682242,      -3.834806506
          0,           0,          26,      -4.416527345,      -4.459463574,      -4.613491058,      -3.869489025
          0,           0,          27,      -4.450568943,      -4.490828618,      -4.645645731,       -3.90460469
          0,           0,          28,      -4.485522471,      -4.522273603,      -4.680058264,      -3.940216787
          0,           0,          29,      -4.520481717,      -4.553483536,      -4.716769576,      -3.975346827
          0,           0,          30,      -4.555029346,      -4.584056636,      -4.755269231,      -4.009601839
          0,           0,          31,      -4.588838694,      -4.613628669,      -4.794751594,      -4.042712875
          0,           0,          32,      -4.621712248,        -4.6419054,      -4.834317394,      -4.074577137
          0,           0,          33,      -4.653584753,      -4.668634606,      -4.873132248,       -4.10525068
          0,           0,          34,      -4.684466151,      -4.693643586,      -4.910487096,      -4.134873285
          0,           0,          35,      -4.714427842,      -4.716857007,       -4.94587126,      -4.163634658
          0,           0,          36,      -4.743605849,      -4.738295324,      -4.979036091,      -4.191774914
          0,           0,          37,      -4.772397302,       -4.75811682,      -5.009888314,      -4.219759474
          0,           0,          38,      -4.801009456,      -4.776522493,      -5.038535393,      -4.247789871
          0,           0,          39,      -4.829198713,      -4.793813149,      -5.065237678,      -4.275582999
          0,           0,          40,       -4.85708823,      -4.810285004,      -5.090413006,      -4.303224265
          0,           0,          41,      -4.884769077,      -4.826163527,      -5.114376291,       -4.33074651
          0,           0,          42,      -4.912211933,      -4.841654344,      -5.137509139,      -4.358064217
          0,           0,          43,      -4.939243335,      -4.856894636,      -5.160133569,      -4.384943646
          0,           0,          44,      -4.965781837,      -4.871961368,      -5.182361109,      -4.411271679
          0,           0,          45,       -4.99168932,      -4.886918807,      -5.204241369,      -4.436879273
          0,           0,          46,      -5.016705036,      -4.901846521,      -5.225768625,      -4.461475005
          0,           0,          47,      -5.040170973,      -4.916808354,      -5.247215835,      -4.484396224
          0,           0,          48,      -5.061938267,      -4.931851872,      -5.268772732,      -4.505558395
          0,           0,          49,       -5.08197428,      -4.946999898,      -5.290476787,      -4.525029627
          0,           0,          50,       -5.10031556,       -4.96224226,      -5.312260532,      -4.542930828
          0,           0,          51,      -5.117260836,      -4.977530326,      -5.333915501,      -4.559621351
          0,           0,          52,      -5.133032886,      -4.992761418,      -5.355137339,      -4.575350062
          0,           0,          53,       -5.14792323,      -5.007896051,      -5.375625154,      -4.590405511
          0,           0,          54,       -5.16221592,      -5.022950081,      -5.395099327,      -4.605051636
          0,           0,          55,      -5.176141435,      -5.037864736,      -5.413308387,      -4.619483541
          0,           0,          56,      -5.189862345,      -5.052605682,      -5.430031479,       -4.63382282
          0,           0,          57,      -5.203469971,      -5.067119193,      -5.445172614,      -4.648110593
          0,           0,          58,      -5.217022548,      -5.081384125,      -5.458732356,      -4.662356948
          0,           0,          59,      -5.230456249,      -5.095361826,      -5.470898001,      -4.676469039
          0,           0,          60,      -5.243707587,      -5.109100419,      -5.481936981,      -4.690339542
          0,           0,          61,      -5.256854454,      -5.122590856,      -5.492155175,      -4.704036566
          0,           0,          62,      -5.269863227,      -5.135873776,      -5.501939619,      -4.717514798
          0,           0,          63,      -5.282693869,      -5.148933481,      -5.511658293,       -4.73072105
          0,           0,          64,      -5.295310634,      -5.161804174,      -5.521621625,      -4.743615371
          0,           0,          65,      -5.307683942,      -5.174560054,      -5.532081489,      -4.756173342
          0,           0,          66,      -5.319817782,      -5.187319063,       -5.54319808,      -4.768410965
          0,           0,          67,      -5.331707449,       -5.20016523,      -5.555056259,      -4.780335817
          0,           0,          68,      -5.343334011,      -5.213191386,      -5.567653968,      -4.791943303
          0,           0,          69,      -5.354640252,      -5.226445688,       -5.58086229,      -4.803184635
          0,           0,          70,      -5.365582643,       -5.23987297,      -5.594516533,      -4.814025077
          0,           0,          71,      -5.376111444,      -5.253490011,      -5.608372248,      -4.824424667
          0,           0,          72,      -5.386209507,      -5.267296813,      -5.622157142,      -4.834380435
          0,           0,          73,      -5.395842966,      -5.281314075,      -5.635627772,      -4.843865993
          0,           0,          74,      -5.405046882,      -5.295422665,      -5.648535861,       -4.85292972
          0,           0,          75,      -5.413841598,      -5.309630548,      -5.660720097,      -4.861604587
          0,           0,          76,      -5.422296805,      -5.323851353,      -5.672052267,      -4.869976187
          0,           0,          77,      -5.430366485,      -5.338011262,       -5.68254347,      -4.878005969
          0,           0,          78,      -5.438088495,      -5.352042976,      -5.692237607,      -4.885736811
          0,           0,          79,      -5.445515551,      -5.365880008,      -5.701244801,      -4.893233279
          0,           0,          80,      -5.452670648,      -5.379451825,      -5.709666312,      -4.900531131
          0,           0,          81,      -5.459616587,       -5.39272477,      -5.717589546,      -4.907704937
