"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.000000000000000e+01, 0.000000000000000e+00, 9.999999994473960e-01, 1.774823935864226e+00, -9.803902932826177e-10, 4.074999998718818e+00, 9.999999984760700e-01, 9.999999990286740e-01, 1.500000002347063e+00, -9.675745918765907e-10
1, -1.984229087829600e+01, -2.506669998169000e+00, 9.999999899455098e-01, 1.774823911699948e+00, 2.955662891886100e-09, 4.074999956298005e+00, 9.999999926764919e-01, 1.000000002730982e+00, 1.499999993400619e+00, -4.649846433816646e-09
2, -1.937166023254400e+01, -4.973800182343000e+00, 1.000000012229413e+00, 1.774823961433477e+00, -7.139385512324769e-09, 4.075000052266032e+00, 1.000000009795258e+00, 9.999999975658456e-01, 1.500000005881120e+00, 6.219211671227715e-09
3, -1.859552955627400e+01, -7.362490177155000e+00, 1.000000014005050e+00, 1.774823966335452e+00, -2.742142370562102e-09, 4.075000060393359e+00, 1.000000010684784e+00, 9.999999966797345e-01, 1.500000008025173e+00, 6.783989807302766e-09
4, -1.752613067627000e+01, -9.635080337524000e+00, 9.999999996514594e-01, 1.774823929018929e+00, -9.605481549868646e-09, 4.074999995874240e+00, 1.000000002326477e+00, 1.000000002675018e+00, 1.499999993520878e+00, 1.477128542938368e-09
5, -1.618033981323200e+01, -1.175570964813200e+01, 9.999999630362693e-01, 1.774823919062797e+00, 3.492229197032862e-08, 4.074999874566862e+00, 9.999999378041081e-01, 9.999999747678379e-01, 1.500000060959584e+00, -3.948945516264582e-08
6, -1.457936954498300e+01, -1.369093990325900e+01, 1.000000041324669e+00, 1.774824034228006e+00, 3.946589561984660e-08, 4.075000180594867e+00, 1.000000027777815e+00, 9.999999864531458e-01, 1.500000032095366e+00, 1.763670775560622e-08
7, -1.274847984314000e+01, -1.541026973724400e+01, 1.000000268247552e+00, 1.774824153859121e+00, -2.157692689392444e-07, 4.075000982182274e+00, 1.000000406444505e+00, 1.000000138196916e+00, 1.499999679010056e+00, 2.580600031372736e-07
8, -1.071652984619100e+01, -1.688656044006300e+01, 9.999998496502827e-01, 1.774823572606639e+00, 7.268894648072594e-08, 4.074999368565534e+00, 9.999999099298758e-01, 1.000000060279602e+00, 1.499999874095836e+00, -5.718738047484917e-08
9, -8.515580177306999e+00, -1.809654045105000e+01, 9.999990760224624e-01, 1.774823382562380e+00, 1.008717551955391e-06, 4.074996332632733e+00, 9.999983430888324e-01, 9.999992670656928e-01, 1.500001468833020e+00, -1.052007090541181e-06
10, -6.180339813232000e+00, -1.902112960815400e+01, 9.999992756558060e-01, 1.774821495718977e+00, 1.331275171343373e-07, 4.074995991021860e+00, 9.999996717395926e-01, 1.000000396084073e+00, 1.499998727943338e+00, -2.084193062931684e-07
11, -3.747620105743000e+00, -1.964575004577600e+01, 1.000004093270051e+00, 1.774829423943765e+00, -5.840214380930136e-06, 4.075018018490520e+00, 1.000005889335602e+00, 1.000001796058199e+00, 1.499997152132136e+00, 3.739260699735128e-06
12, -1.255810022354000e+00, -1.996052932739300e+01, 9.999915873625128e-01, 1.774825658773518e+00, 1.258416925927541e-05, 4.074973203700866e+00, 9.999827576240040e-01, 9.999911701872092e-01, 1.500020698491727e+00, -1.094754031491111e-05
13, 1.255810022354000e+00, -1.996052932739300e+01, 1.000033104414643e+00, 1.774885988563403e+00, 2.868216135394226e-05, 4.075131140535287e+00, 1.000029258119028e+00, 9.999961538317107e-01, 1.500005673013884e+00, 1.857658351011444e-05
14, 3.747629880905000e+00, -1.964574050903300e+01, 1.000068088985483e+00, 1.774744694237293e+00, -2.557536756824686e-04, 4.075197745731665e+00, 1.000178228577167e+00, 1.000110132092902e+00, 1.499748340061993e+00, 1.131610013760035e-04
