"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.000000000000000e+01, 0.000000000000000e+00, 1.000200026481634e+00, 9.463007351490527e-01, 2.065207369107845e-02, 2.948565603018365e+00, 1.000279757349933e+00, 1.000079714923203e+00, 7.997686726455643e-01, 6.244583703859546e-04
1, -1.984229087829600e+01, -2.506669998169000e+00, 1.000211359579630e+00, 9.462991199851910e-01, 2.062071030113954e-02, 2.948598827942189e+00, 1.000295947253853e+00, 1.000084569799586e+00, 7.997557273427844e-01, 6.605965487781793e-04
2, -1.937166023254400e+01, -4.973800182343000e+00, 1.000228317842380e+00, 9.463024189067747e-01, 2.058630769108553e-02, 2.948652227090277e+00, 1.000319379220890e+00, 1.000091040592319e+00, 7.997417346644847e-01, 7.129000466304145e-04
3, -1.859552955627400e+01, -7.362490177155000e+00, 1.000251643476092e+00, 9.463083044780550e-01, 2.054428322841574e-02, 2.948728180262530e+00, 1.000352056380461e+00, 1.000100387642473e+00, 7.997235478053527e-01, 7.858401349573094e-04
4, -1.752613067627000e+01, -9.635080337524000e+00, 1.000282856070502e+00, 9.463223833208728e-01, 2.049137025272984e-02, 2.948834942396088e+00, 1.000395457490341e+00, 1.000112569578850e+00, 7.997046459308682e-01, 8.827176123680070e-04
5, -1.618033981323200e+01, -1.175570964813200e+01, 1.000325376887220e+00, 9.463449661926341e-01, 2.042599937375460e-02, 2.948983013818426e+00, 1.000454289892408e+00, 1.000128871073520e+00, 7.996820162459868e-01, 1.014039938411779e-03
6, -1.457936954498300e+01, -1.369093990325900e+01, 1.000384869287844e+00, 9.463804182703568e-01, 2.034003546022754e-02, 2.949196765088354e+00, 1.000537729269873e+00, 1.000152801173550e+00, 7.996532712684611e-01, 1.200288548823536e-03
7, -1.274847984314000e+01, -1.541026973724400e+01, 1.000465638063055e+00, 9.464363725998348e-01, 2.023087126366261e-02, 2.949492498004602e+00, 1.000650197665107e+00, 1.000184473704073e+00, 7.996213308967329e-01, 1.451334073898537e-03
8, -1.071652984619100e+01, -1.688656044006300e+01, 1.000570003230030e+00, 9.465199247334664e-01, 2.008796956422595e-02, 2.949887652641832e+00, 1.000796483137102e+00, 1.000226350886336e+00, 7.995891683916302e-01, 1.777864145317733e-03
9, -8.515580177306999e+00, -1.809654045105000e+01, 1.000701614364313e+00, 9.466337384398567e-01, 1.991772209162590e-02, 2.950392723626835e+00, 1.000980372328030e+00, 1.000278562520251e+00, 7.995561922333706e-01, 2.188331089352058e-03
10, -6.180339813232000e+00, -1.902112960815400e+01, 1.000848112726595e+00, 9.467675703475549e-01, 1.971768699578944e-02, 2.950970561750236e+00, 1.001188682224213e+00, 1.000340280901055e+00, 7.995239299270798e-01, 2.653308536188941e-03
11, -3.747620105743000e+00, -1.964575004577600e+01, 1.001024791240152e+00, 9.469571471092787e-01, 1.949348925878549e-02, 2.951683677242273e+00, 1.001435585394910e+00, 1.000410373607480e+00, 7.995108841262063e-01, 3.204431685066369e-03
12, -1.255810022354000e+00, -1.996052932739300e+01, 1.001189573268375e+00, 9.470471058169233e-01, 1.928332626619880e-02, 2.952271501412524e+00, 1.001667807159827e+00, 1.000477665673135e+00, 7.994246861453498e-01, 3.722783838898701e-03
13, 1.255810022354000e+00, -1.996052932739300e+01, 1.001300036393168e+00, 9.469955474032010e-01, 1.912342980442995e-02, 2.952538783392989e+00, 1.001815225778919e+00, 1.000514520490388e+00, 7.992755380426000e-01, 4.051843256514672e-03
14, 3.747629880905000e+00, -1.964574050903300e+01, 1.001289253337914e+00, 9.468657713088517e-01, 1.900513480626788e-02, 2.952392148822176e+00, 1.001804635326855e+00, 1.000514718386543e+00, 7.991725680015288e-01, 4.028203854587644e-03
15, 6.180339813232000e+00, -1.902112960815400e+01, 1.001215030428166e+00, 9.467455776245660e-01, 1.891773414001458e-02, 2.952054413859203e+00, 1.001702387155364e+00, 1.000486765292556e+00, 7.991400871447115e-01, 3.799971328937685e-03
16, 8.515589714050000e+00, -1.809654045105000e+01, 1.001092647369588e+00, 9.466194717902420e-01, 1.888265627149848e-02, 2.951557087323410e+00, 1.001529524947365e+00, 1.000436400745650e+00, 7.991508900877291e-01, 3.414118186083635e-03
17, 1.071654033660900e+01, -1.688656044006300e+01, 1.000935113817099e+00, 9.464838119290861e-01, 1.887605551792994e-02, 2.950947802670540e+00, 1.001308989679162e+00, 1.000373526572204e+00, 7.991871693489113e-01, 2.921851962414283e-03
18, 1.274847984314000e+01, -1.541026020050000e+01, 1.000777156531755e+00, 9.463724561366744e-01, 1.889140481267854e-02, 2.950357777467828e+00, 1.001086723646114e+00, 1.000309326719079e+00, 7.992452103642876e-01, 2.425722424360757e-03
19, 1.457936954498300e+01, -1.369093990325900e+01, 1.000631670899122e+00, 9.463133146698319e-01, 1.891327035602640e-02, 2.949855433428848e+00, 1.000881960233976e+00, 1.000250131334169e+00, 7.993355015038432e-01, 1.968661236553122e-03
20, 1.618033981323200e+01, -1.175570011138900e+01, 1.000488848477821e+00, 9.462884428937464e-01, 1.894657807963581e-02, 2.949408817347801e+00, 1.000686910275550e+00, 1.000197965022829e+00, 7.994500152649773e-01, 1.533281865066001e-03
