"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.646914274,      -3.726861221,      -3.566596993,       -3.05053713
          0,           0,           1,      -3.782534969,      -3.718021342,       -3.65927529,      -3.160723722
          0,           0,           2,      -3.728518331,      -3.739256761,      -3.646188752,      -3.135887197
          0,           0,           3,       -3.67692753,      -3.686611371,      -3.656306118,         -3.081974
          0,           0,           4,      -3.645377555,      -3.678298942,      -3.636039371,      -3.054411352
          0,           0,           5,      -3.614519445,      -3.665062394,       -3.61192266,      -3.022941976
          0,           0,           6,      -3.620493244,      -3.694448184,      -3.620395941,      -3.038410587
          0,           0,           7,      -3.624496369,      -3.713096984,      -3.654422722,       -3.04849468
          0,           0,           8,       -3.63149123,       -3.72706483,       -3.66893601,      -3.052563375
          0,           0,           9,      -3.643220668,      -3.743671267,      -3.673346897,      -3.061827729
          0,           0,          10,      -3.659468415,      -3.771489129,      -3.691462215,       -3.08212797
          0,           0,          11,      -3.670706733,      -3.786875332,      -3.721944824,      -3.099152017
          0,           0,          12,      -3.680808251,       -3.78590399,      -3.747110855,      -3.109083766
          0,           0,          13,      -3.695829135,      -3.785638637,      -3.758286114,      -3.117875009
          0,           0,          14,      -3.714413091,      -3.791845664,       -3.76466821,      -3.129450848
          0,           0,          15,      -3.733234017,      -3.803219481,      -3.779492073,      -3.145097952
          0,           0,          16,      -3.752889944,      -3.820668466,      -3.809313954,      -3.166590596
          0,           0,          17,        -3.7763219,      -3.844729952,      -3.852892036,      -3.195322006
          0,           0,          18,      -3.804963522,      -3.873066493,      -3.903443111,      -3.230275959
          0,           0,          19,      -3.837405918,      -3.901941277,      -3.952423481,      -3.267811648
          0,           0,          20,      -3.870305517,      -3.928413565,       -3.99436084,      -3.303199021
          0,           0,          21,      -3.900240211,      -3.950959571,      -4.028965392,      -3.332824376
          0,           0,          22,      -3.925582293,      -3.969308101,      -4.058752594,      -3.355961054
          0,           0,          23,      -3.946857544,      -3.984111183,      -4.085927032,      -3.374428583
          0,           0,          24,      -3.965862488,      -3.996672257,      -4.111741786,      -3.391081467
          0,           0,          25,      -3.984968463,      -4.008685699,       -4.13756646,      -3.408819257
          0,           0,          26,       -4.00613546,      -4.021806268,      -4.164941601,      -3.429595069
          0,           0,          27,      -4.030048952,      -4.037172148,      -4.194710568,      -3.453907049
          0,           0,          28,      -4.056606228,      -4.054824046,      -4.226384756,      -3.481458852
          0,           0,          29,      -4.085790254,      -4.074093237,      -4.259010208,      -3.511980805
          0,           0,          30,      -4.117787097,      -4.094969742,      -4.292311026,      -3.545303578
          0,           0,          31,      -4.151244334,      -4.117997783,      -4.327054156,      -3.580055549
          0,           0,          32,      -4.184496549,      -4.143002211,      -4.363969054,      -3.614801712
          0,           0,          33,      -4.217430729,      -4.169083502,      -4.402724846,      -3.649406128
          0,           0,          34,      -4.249214307,      -4.195332509,      -4.441960192,       -3.68274114
          0,           0,          35,      -4.278423351,      -4.220940541,      -4.479961425,      -3.713206141
          0,           0,          36,      -4.304608992,      -4.245087618,      -4.515016434,       -3.74029339
          0,           0,          37,      -4.324667928,      -4.267481721,      -4.546295187,      -3.761338963
          0,           0,          38,      -4.341946675,      -4.288154011,      -4.574388949,      -3.780256545
          0,           0,          39,        -4.3599596,      -4.307333588,      -4.600857633,      -3.800319752
          0,           0,          40,      -4.380056074,      -4.325418511,      -4.627162194,      -3.822109419
          0,           0,          41,      -4.402235464,      -4.342700845,      -4.654275986,      -3.845177607
          0,           0,          42,      -4.425325556,      -4.359263649,      -4.682492905,      -3.868423104
          0,           0,          43,      -4.444747255,      -4.374972758,      -4.711616372,      -3.887704293
          0,           0,          44,      -4.457383148,      -4.389893109,      -4.741394141,      -3.900370204
          0,           0,          45,      -4.462968348,      -4.404193358,       -4.77150098,      -3.906275121
          0,           0,          46,       -4.46474566,      -4.418390576,      -4.802009073,      -3.908481049
          0,           0,          47,      -4.466269099,       -4.43369884,      -4.833182559,      -3.910823298
          0,           0,          48,      -4.467956136,      -4.451601025,      -4.864926579,      -3.914317201
          0,           0,          49,      -4.466543137,      -4.473074858,      -4.896937717,      -3.915444903
          0,           0,          50,       -4.45886487,      -4.495585306,      -4.928657303,      -3.910073004
          0,           0,          51,      -4.448061845,      -4.511104516,      -4.958761424,      -3.899999967
          0,           0,          52,       -4.44475131,         -4.516612,      -4.984876109,      -3.896136538
          0,           0,          53,      -4.463125119,      -4.520629536,      -5.006710284,       -3.91408357
          0,           0,          54,      -4.503882115,      -4.532026408,      -5.024578961,      -3.954603946
          0,           0,          55,      -4.559591959,      -4.550952339,      -5.039323119,      -4.009807999
          0,           0,          56,      -4.615914463,      -4.572251803,      -5.052297771,      -4.064498151
          0,           0,          57,      -4.661354412,      -4.591814896,       -5.06499332,      -4.107352264
          0,           0,          58,      -4.688656393,      -4.608647503,      -5.078704113,      -4.132063254
