"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.653637526,      -14.44333336,      -14.69239172,      0.8292080961
          0,           0,           1,      -4.709026164,      -1.196534424,      -2.210093499,         1.0666442
          0,           0,           2,      -4.750441702,      -1.224280811,      -2.233344685,      0.9853378711
          0,           0,           3,      -4.790259509,      -1.250026484,      -2.255263764,       0.910506155
          0,           0,           4,      -4.830152982,      -1.274080777,      -2.271342853,      0.8395431964
          0,           0,           5,      -4.870058829,      -1.296768491,      -2.282464588,      0.7713558954
          0,           0,           6,      -4.908821712,      -1.318361086,      -2.290713843,      0.7063555233
          0,           0,           7,      -4.945568018,      -1.339043829,      -2.298067869,      0.6449335424
          0,           0,           8,      -4.979554702,      -1.358947113,      -2.305942761,      0.5872086105
          0,           0,           9,      -5.011018436,      -1.378294684,      -2.315083765,      0.5334977026
          0,           0,          10,      -5.038091019,      -1.397176093,      -2.325612307,       0.486426364
          0,           0,          11,      -5.059547216,      -1.415676209,      -2.338074125,      0.4480838857
          0,           0,          12,      -5.075384179,       -1.43385485,      -2.352567968,      0.4191436181
          0,           0,          13,      -5.085562569,      -1.451754842,       -2.36854969,       0.399814912
          0,           0,          14,      -5.090657501,      -1.469409308,      -2.385192176,      0.3888604786
          0,           0,          15,      -5.091578874,      -1.486844974,      -2.401612742,      0.3845271481
          0,           0,          16,      -5.088960419,      -1.504065396,      -2.416772023,      0.3853008838
          0,           0,          17,      -5.083452524,      -1.521083937,      -2.429670355,      0.3895662178
          0,           0,          18,      -5.075849804,      -1.537905561,      -2.439433592,      0.3958778696
          0,           0,          19,      -5.066951733,      -1.554529382,      -2.445613406,      0.4031502662
          0,           0,          20,      -5.056764002,      -1.570956825,      -2.448617577,      0.4112503154
          0,           0,          21,      -5.045309538,      -1.587178905,      -2.448582909,      0.4201639019
          0,           0,          22,      -5.032949459,      -1.603183113,      -2.445761837,      0.4296015508
          0,           0,          23,      -5.019592779,      -1.618978196,      -2.441108358,      0.4396602699
          0,           0,          24,      -5.005395567,      -1.634560337,      -2.435035008,      0.4501810284
          0,           0,          25,      -4.990065194,       -1.64992468,      -2.427602451,      0.4616536036
          0,           0,          26,      -4.973893894,      -1.665065223,      -2.419221176,      0.4739840265
          0,           0,          27,      -4.957122828,      -1.679990922,      -2.410382056,      0.4871404443
          0,           0,          28,      -4.940668007,      -1.694697639,      -2.401874773,      0.5001641612
          0,           0,          29,      -4.924179954,      -1.709173716,       -2.39390079,      0.5135150322
          0,           0,          30,      -4.907779014,      -1.723428634,      -2.386121951,      0.5270797568
          0,           0,          31,      -4.891955606,      -1.737423573,      -2.378506975,      0.5404536645
          0,           0,          32,      -4.876485033,      -1.751127474,      -2.371277074,      0.5539980038
          0,           0,          33,      -4.860988437,      -1.764532727,      -2.363879115,      0.5682631695
          0,           0,          34,      -4.845548213,      -1.777626378,      -2.356352651,      0.5831678402
