"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 0.000000000000000e+00, 0.000000000000000e+00, 5.920649642063284e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.287459197265353e+02, 5.149836789061411e+01, 3.030082467254334e+02, 0.000000000000000e+00, 1.051881236528792e+00, 1.860115879710549e-05, 0.000000000000000e+00, 2.946484808365638e-02, -2.538994194594167e+00, 6.200291936622739e-02
1, 5.999999800000000e-05, 1.375329724321098e-03, 5.917417073689096e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.286291728456339e+02, 5.145166913825355e+01, 3.028988559924554e+02, 0.000000000000000e+00, 1.045745672086489e+00, 1.859600737535034e-05, 7.048199166844351e-03, 5.252367893548684e-02, 1.172037182149480e+01, 8.324835203628637e-02
2, 5.999999800000000e-05, -1.375329724321098e-03, 5.956657941651506e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.295543007269750e+02, 5.182172029078998e+01, 3.030675998072143e+02, 0.000000000000000e+00, 1.094365229966870e+00, 1.860395346893830e-05, -1.649376492775279e-04, 1.229127033722219e-03, -7.282560189349852e+00, 1.277162526213351e-02
3, -1.000898357543826e-04, -3.388131789017201e-21, 5.915693600185267e-04, -5.755041918984426e-05, 7.165680808889547e-04, 1.286343466691261e+02, 5.145356395208866e+01, 3.029982604310155e+02, 3.482403157617794e-03, 1.045994624184861e+00, 1.860068856079140e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, 5.600000150000000e-04, 4.173159738460802e-03, 5.852086903966517e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.271281871038903e+02, 5.085127484155613e+01, 3.027062748772227e+02, 0.000000000000000e+00, 9.668622391901232e-01, 1.858693615030862e-05, 2.514145058123773e-02, 9.289242646058107e-02, 3.688182655355182e+00, 1.117584299551546e-01
5, -3.953599884047587e-05, 1.386887881135929e-03, 5.914847764575913e-04, 3.248516937366212e-04, 1.261723459688042e-03, 1.285942339145261e+02, 5.143711959509157e+01, 3.029447389142376e+02, 6.312879980487227e-03, 1.043834065134184e+00, 1.859816820166104e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, 5.600000150000000e-04, -4.173159738460802e-03, 5.925497163151705e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.286830787389768e+02, 5.147323149559072e+01, 3.026125846537348e+02, 0.000000000000000e+00, 1.048578664967085e+00, 1.858252200402342e-05, 1.189695357433037e-02, -4.395676699073042e-02, -2.738534867860737e+00, 7.737722934001130e-02
7, -3.953599884047614e-05, -1.386887881135929e-03, 5.955586357464588e-04, -2.173937426905477e-05, 2.749311985160083e-05, 1.295183373570782e+02, 5.180733453028682e+01, 3.030379835317010e+02, 1.686400536135799e-04, 1.092475141770568e+00, 1.860255900404858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, -2.201977273868688e-04, -2.134523027080837e-19, 5.910378692531358e-04, -2.326395880406612e-05, 1.419567473061607e-03, 1.285166597630468e+02, 5.140598181253829e+01, 3.029902792985305e+02, 6.883920557062779e-03, 1.039742994992288e+00, 1.860031273844115e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.560000004000000e-03, 6.917517506923035e-03, 5.720791127224657e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.243162347508791e+02, 4.972649390035163e+01, 3.028043383159732e+02, 0.000000000000000e+00, 8.190817183113058e-01, 1.859155562338462e-05, 5.548164031683310e-02, 1.210436879328354e-01, -3.615001750032130e+00, 1.298720523649608e-01
10, 4.631538453985954e-04, 4.199378725399934e-03, 5.852027160285642e-04, 7.687219046930011e-04, 2.224387945043045e-03, 1.271380704394722e+02, 5.085333521290776e+01, 3.027216302783596e+02, 1.153007978890664e-02, 9.671329432360345e-01, 1.858765954520051e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, -1.589565565243500e-04, 1.400961039613563e-03, 5.923038080720792e-04, 6.735234206775500e-04, 2.628069702790963e-03, 1.287930673244086e+02, 5.151474158894320e+01, 3.029823614039360e+02, 1.312647748454705e-02, 1.054032512016439e+00, 1.859993988911549e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.560000004000000e-03, -6.917517506923035e-03, 5.830303501339355e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.265459792823557e+02, 5.061839171294226e+01, 3.024457768517001e+02, 0.000000000000000e+00, 9.362646456590746e-01, 1.857466132573440e-05, 3.560112919243159e-02, -7.767059422570478e-02, -5.529366783389517e+00, 1.051199888346149e-01
13, 4.631538453985955e-04, -4.199378725399933e-03, 5.919492733315553e-04, 1.905325515132589e-04, -1.113235996301878e-03, 1.285495687732438e+02, 5.141939652742319e+01, 3.026027209995260e+02, 5.471255540867593e-03, 1.041505501343977e+00, 1.858205724638033e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
