"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 8.214646203604431e+00, -1.012295351987024e+01, 9.896204534847836e-01, 1.765294773734126e+00, 8.624324343468005e-03, 4.037234897637616e+00, 9.850888643503583e-01, 9.954208816941201e-01, 1.511076196022262e+00, -9.467387714058258e-03
1, 9.144318289890036e+00, -1.108964565661036e+01, 9.920822724923709e-01, 1.767967568760118e+00, 6.273076657010656e-03, 4.046397633108469e+00, 9.884200491816364e-01, 9.963085487844330e-01, 1.508927565412866e+00, -7.352349725945149e-03
2, 9.506557945970206e+00, -1.145426559499026e+01, 9.922058863861710e-01, 1.768007334538542e+00, 6.228263892123787e-03, 4.046809910420310e+00, 9.886352357816487e-01, 9.964013007244622e-01, 1.508703150110979e+00, -7.215723313238929e-03
3, 8.608769482603368e+00, -1.054892420820516e+01, 9.922066802359315e-01, 1.767675793595151e+00, 6.439869159386613e-03, 4.046643827063026e+00, 9.888050524214109e-01, 9.965716539887519e-01, 1.508290748561596e+00, -7.107903224501004e-03
4, 8.024622961244130e+00, -1.002582975636384e+01, 9.960182665439528e-01, 1.771195850187682e+00, 3.301009813482012e-03, 4.060521454424723e+00, 9.942712117910590e-01, 9.982459611318619e-01, 1.504240364530090e+00, -3.637325846946643e-03
5, 8.847590061839989e+00, -1.085865385384454e+01, 9.944335870052973e-01, 1.770024107960385e+00, 4.362308385955773e-03, 4.054899159827987e+00, 9.918513463048068e-01, 9.974033050228455e-01, 1.506278568641245e+00, -5.173748377900474e-03
6, 9.170194483617898e+00, -1.123852786925847e+01, 9.948795616369985e-01, 1.770353419981196e+00, 4.081875292056066e-03, 4.056481243289830e+00, 9.925327364765428e-01, 9.976410962181249e-01, 1.505703418400866e+00, -4.741119697433125e-03
7, 9.644987663280746e+00, -1.171881501481887e+01, 9.938564685305282e-01, 1.769477239793017e+00, 4.844175105223432e-03, 4.052791038546885e+00, 9.910308311678545e-01, 9.971568959380507e-01, 1.506874810938620e+00, -5.694710369616187e-03
8, 1.162858452350554e+01, -1.397235789747536e+01, 9.944842050260740e-01, 1.770005674718554e+00, 4.359871663802259e-03, 4.055051054865593e+00, 9.919573035612312e-01, 9.974590833599247e-01, 1.506144096262154e+00, -5.106473929376992e-03
9, 7.556096406992895e+00, -9.486116833082406e+00, 9.929173794891637e-01, 1.768555245327567e+00, 5.708269548001747e-03, 4.049344259242670e+00, 9.897114185843859e-01, 9.967711705213306e-01, 1.507807948299964e+00, -6.532432644834328e-03
10, 7.214910488891374e+00, -9.068554458105474e+00, 9.911898268403034e-01, 1.767064956156063e+00, 7.030132907553241e-03, 4.043109242138228e+00, 9.871791224442333e-01, 9.959536465291867e-01, 1.509786488022404e+00, -8.140239717947091e-03
11, 7.980246469351224e+00, -9.819252670324730e+00, 9.872665655282200e-01, 1.763266672853174e+00, 1.048875690573159e-02, 4.028744280426182e+00, 9.816335028112515e-01, 9.942942839212279e-01, 1.513804402021869e+00, -1.166126805634826e-02
12, 6.681626599215217e+00, -8.381624523095466e+00, 9.876109375656977e-01, 1.763489543605254e+00, 1.028444863172021e-02, 4.029948862541530e+00, 9.821766495658227e-01, 9.944975417007130e-01, 1.513312113063471e+00, -1.131641297408081e-02
13, 6.934321816667456e+00, -8.709186919578132e+00, 9.891505781920582e-01, 1.765053795996661e+00, 8.876027080184670e-03, 4.035623095361215e+00, 9.843160903899016e-01, 9.951124854913466e-01, 1.511822912712679e+00, -9.958037847681501e-03
14, 8.592452599363275e+00, -1.040683761964784e+01, 9.911973149826393e-01, 1.766345109031213e+00, 7.614722249067011e-03, 4.042767620325553e+00, 9.875587269166862e-01, 9.963290981412548e-01, 1.508877747838302e+00, -7.899221005278591e-03
15, 8.953395677961073e+00, -1.081307865155124e+01, 9.941616585449978e-01, 1.769397805168777e+00, 4.827808106549122e-03, 4.053718599667497e+00, 9.916518645845522e-01, 9.974754669536151e-01, 1.506103998939428e+00, -5.300403438379536e-03
