"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 6.211102472860105e-01, 8.639652207338103e-02, 6.135663354193545e-01, 8.920795464035738e-01, -7.716292739571119e-02, 1.916957992918368e+00, 5.054389909445913e-01, 8.237723645628939e-01, 1.358917376041704e+00, -1.103930823784395e+00
1, 6.160770610770366e-01, 6.595236033396394e-02, 6.078056965256726e-01, 8.894909615235129e-01, -7.660925915742819e-02, 1.901378061318267e+00, 4.982755815786371e-01, 8.197941948008557e-01, 1.371087470577856e+00, -1.119920576833400e+00
2, 6.169995113049036e-01, 8.255822041911344e-02, 6.123266954835797e-01, 8.932769756327005e-01, -7.682812520954226e-02, 1.914326802767508e+00, 5.031760025400174e-01, 8.217443502812474e-01, 1.365120340966410e+00, -1.108982137187462e+00
3, 6.135694992956748e-01, 5.505714308004975e-02, 6.054683952794957e-01, 8.876753672820814e-01, -7.609570662416366e-02, 1.894730165562581e+00, 4.956956839086292e-01, 8.186978672599527e-01, 1.374443093067646e+00, -1.125679276989667e+00
4, 6.107061048822935e-01, 4.456506728619711e-02, 6.029268032556668e-01, 8.860801961495983e-01, -7.575891760666778e-02, 1.887669720680464e+00, 4.927217715180832e-01, 8.172165656884024e-01, 1.378978287595688e+00, -1.132317474289993e+00
5, 6.057599782940000e-01, 4.498807223669178e-02, 6.033832644209817e-01, 8.869183969557528e-01, -7.463272925597811e-02, 1.889126960610577e+00, 4.930666743269748e-01, 8.171699538271602e-01, 1.379121026826814e+00, -1.131547601948718e+00
6, 6.199745362432597e-01, 7.000725127028182e-02, 6.093604482159664e-01, 8.896591578347216e-01, -7.705071336023175e-02, 1.905370598312236e+00, 5.004212986010077e-01, 8.212237930211890e-01, 1.366712938816003e+00, -1.115131029908465e+00
7, 6.245151888581235e-01, 7.914391064304856e-02, 6.127059581745499e-01, 8.920452813940114e-01, -7.897271271205364e-02, 1.914845456620010e+00, 5.041547079777771e-01, 8.228330429164060e-01, 1.361790137851798e+00, -1.106797526835319e+00
8, 6.181471501294438e-01, 5.500881453311379e-02, 6.054891739719541e-01, 8.869619983549789e-01, -7.693852085233230e-02, 1.894514076607553e+00, 4.959938075455809e-01, 8.191621400790809e-01, 1.373021963807781e+00, -1.125013822442900e+00
9, 6.158262065106171e-01, 4.412718356099238e-02, 6.038177676969273e-01, 8.876508292112516e-01, -7.613513786962560e-02, 1.890578409412852e+00, 4.933306687937930e-01, 8.170191325694960e-01, 1.379582872292347e+00, -1.130958328585284e+00
10, 6.163570174475581e-01, 1.002060446410185e-01, 6.169685344626401e-01, 8.963342859162254e-01, -7.596914463382377e-02, 1.927242501538805e+00, 5.085865527253003e-01, 8.243314274823804e-01, 1.357207785612218e+00, -1.096905016238169e+00
11, 6.203781696368299e-01, 9.846504616776756e-02, 6.168558570618845e-01, 8.955313169448766e-01, -7.676857192312538e-02, 1.926654040771356e+00, 5.087301637607575e-01, 8.247148145498121e-01, 1.356035520182304e+00, -1.096584455891167e+00
12, 6.250678890766365e-01, 9.636572752195573e-02, 6.179070505027944e-01, 8.986959182007362e-01, -7.800260896622135e-02, 1.930657044470905e+00, 5.088773264805487e-01, 8.235499596039121e-01, 1.359597501701029e+00, -1.096255967677347e+00
13, 6.127949027657412e-01, 7.007388011368254e-02, 6.083617736790038e-01, 8.895130809912567e-01, -7.583293788261279e-02, 1.902756434366676e+00, 4.990926348569245e-01, 8.203878949177137e-01, 1.369270610562475e+00, -1.118096797194365e+00
14, 6.136192468049679e-01, 8.668801943640694e-02, 6.125950275466029e-01, 8.929452229840963e-01, -7.583731698737234e-02, 1.914827899338910e+00, 5.037342976048588e-01, 8.222957662948668e-01, 1.363433525017649e+00, -1.107735942846298e+00
