"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.990022379350557e+01, 1.585862767909595e+00, 9.996606862612153e-01, 9.466062684379779e-01, 1.689515833069251e-02, 2.947113269143983e+00, 9.995146835488294e-01, 9.998539477300724e-01, 8.004857865907378e-01, -1.083295649934283e-03
1, 1.962595815430531e+01, 1.455234706510426e+00, 9.990066502797288e-01, 9.471725942196328e-01, 1.713298410023983e-02, 2.945636931269982e+00, 9.985904104872509e-01, 9.995833463247104e-01, 8.016010151742394e-01, -3.146405162386283e-03
2, 1.957513495392965e+01, 3.907144903357163e+00, 9.998254323680154e-01, 9.465644128135412e-01, 1.814302219255952e-02, 2.947605191499195e+00, 9.997481063039894e-01, 9.999226604349892e-01, 8.003105305703111e-01, -5.622627143094668e-04
3, 1.937166023254400e+01, 4.973800182343000e+00, 9.997916532600289e-01, 9.465689366567333e-01, 1.827956488124582e-02, 2.947523848169197e+00, 9.997068032600221e-01, 9.999151323180884e-01, 8.003466266996953e-01, -6.544570088791349e-04
4, 1.901481423242465e+01, 6.072061720297245e+00, 9.997540000990537e-01, 9.465875767059510e-01, 1.838029772674593e-02, 2.947431539879188e+00, 9.996553287730774e-01, 9.999013043949145e-01, 8.003997081768930e-01, -7.693554172379700e-04
5, 1.943091979792035e+01, 1.291834175245877e+00, 9.987075693095281e-01, 9.475604310945865e-01, 1.760522302986084e-02, 2.944847251846365e+00, 9.980702901351315e-01, 9.993618961205658e-01, 8.022654884803265e-01, -4.307388091224358e-03
6, 1.969279193492246e+01, 1.260569870076311e+00, 9.987499826488930e-01, 9.476953106846215e-01, 1.674639111219815e-02, 2.945204492926663e+00, 9.981755425290092e-01, 9.994248409212880e-01, 8.023071327887635e-01, -4.072449712033045e-03
7, 1.991638005210244e+01, 1.329071996778395e+00, 9.994579796943887e-01, 9.469299745828625e-01, 1.611945613766855e-02, 2.946592945743162e+00, 9.991526513131611e-01, 9.996945060348401e-01, 8.009742771451519e-01, -1.891403318836807e-03
8, 1.987648831641165e+01, 1.963119136985207e+00, 9.997877659100276e-01, 9.465076106327922e-01, 1.741389380023609e-02, 2.947465170650600e+00, 9.997120400633931e-01, 9.999242580783476e-01, 8.002804570999107e-01, -6.427677156404186e-04
9, 1.956438574783133e+01, 1.727481562114094e+00, 9.992176649016932e-01, 9.468278733106770e-01, 1.743596218577805e-02, 2.946077779363609e+00, 9.989332773984910e-01, 9.997153898362775e-01, 8.010919182411271e-01, -2.381077235511103e-03
10, 1.929573691065599e+01, 1.499153026337133e+00, 9.989409208646415e-01, 9.471077726911457e-01, 1.773058205074546e-02, 2.945353782600614e+00, 9.984857420352590e-01, 9.995443385891244e-01, 8.016238625406057e-01, -3.380040099868367e-03
11, 1.913914574876650e+01, 1.314297837866343e+00, 9.989069533026868e-01, 9.473372869791932e-01, 1.804130984433115e-02, 2.945348639495785e+00, 9.983882945527766e-01, 9.994807737115101e-01, 8.018757804709112e-01, -3.597556801838045e-03
12, 1.972955620289922e+01, 3.097637749965102e+00, 9.997885111386733e-01, 9.465609824828457e-01, 1.796808269886771e-02, 2.947503124054425e+00, 9.997032209749005e-01, 9.999146917944919e-01, 8.003375545397697e-01, -6.624531810256761e-04
13, 1.984229087829600e+01, 2.506659984589000e+00, 9.997694864666660e-01, 9.465225325309237e-01, 1.773568186949671e-02, 2.947429210750878e+00, 9.996864648309105e-01, 9.999169592222215e-01, 8.003156728108647e-01, -6.998552881461969e-04
14, 1.906485020320862e+01, 3.209762809991334e+00, 9.996157516301546e-01, 9.466667178322049e-01, 1.810758538852449e-02, 2.947090579574940e+00, 9.994661573112826e-01, 9.998503481776593e-01, 8.005932645481798e-01, -1.191613144458410e-03
15, 1.861608999661398e+01, 4.023430001792162e+00, 9.996476235323088e-01, 9.466603735195755e-01, 1.825678604833304e-02, 2.947169194930341e+00, 9.995046400525924e-01, 9.998569661185097e-01, 8.005621489632738e-01, -1.105714168320469e-03
16, 1.800351483474272e+01, 5.410326971353385e+00, 9.996712449092000e-01, 9.466321552330661e-01, 1.835208318219201e-02, 2.947226182265700e+00, 9.995416638165975e-01, 9.998703762929440e-01, 8.005155678681346e-01, -1.023071837952052e-03
17, 1.859552955627400e+01, 7.362490177155000e+00, 9.997036900074389e-01, 9.466268755371182e-01, 1.842573041002358e-02, 2.947313641702562e+00, 9.995839261873964e-01, 9.998802006822225e-01, 8.004824011361723e-01, -9.287361888472253e-04
18, 1.697333472314126e+01, 7.063599218651746e+00, 9.996244243577831e-01, 9.466600685856585e-01, 1.839555861992178e-02, 2.947109881777274e+00, 9.994758500142370e-01, 9.998513698345840e-01, 8.005849820808798e-01, -1.169977646792412e-03
19, 1.935028248571031e+01, 1.163925507062283e+00, 9.986068259304468e-01, 9.478125915077206e-01, 1.795921253814714e-02, 2.944673174361346e+00, 9.978842709241585e-01, 9.992764369444250e-01, 8.025998061931381e-01, -4.722609544288964e-03
20, 1.965343421548179e+01, 1.130079273555644e+00, 9.983731781370483e-01, 9.478979338560981e-01, 1.678751876717272e-02, 2.944197427403825e+00, 9.976275966904072e-01, 9.992532036487276e-01, 8.028510459158807e-01, -5.295543101769563e-03
21, 1.992736158766682e+01, 1.154529298725854e+00, 9.988438489957732e-01, 9.470837032818605e-01, 1.513453936887410e-02, 2.944814886489614e+00, 9.982789364546170e-01, 9.994344335786578e-01, 8.016873613951165e-01, -3.841659699515714e-03
